

//
// Armor techs
// 
ARMOR_0_NAME     | Armatura di titanio
FUTUREFORCE_2_NAME    | Campo di Forza Futuristico III
FUTUREFORCE_2_DETAIL  | Miglioramenti Generali nella Tecnologia del Campo di Forza.

FUTUREFORCE_3_NAME    | Campo di Forza Futuristico IV
FUTUREFORCE_3_DETAIL  | Miglioramenti Generali nella Tecnologia del Campo di Forza.

FUTUREFORCE_4_NAME    | Campo di Forza Futuristico V
FUTUREFORCE_4_DETAIL  | Miglioramenti Generali nella Tecnologia del Campo di Forza.

FUTUREFORCE_5_NAME    | Campo di Forza Futuristico VI
FUTUREFORCE_5_DETAIL  | Miglioramenti Generali nella Tecnologia del Campo di Forza.

FUTUREFORCE_6_NAME    | Campo di Forza Futuristico VII
FUTUREFORCE_6_DETAIL  | Miglioramenti Generali nella Tecnologia del Campo di Forza.

FUTUREFORCE_7_NAME    | Campo di Forza Futuristico VIII
FUTUREFORCE_7_DETAIL  | Miglioramenti Generali nella Tecnologia del Campo di Forza.

FUTUREFORCE_8_NAME    | Campo di Forza Futuristico IX
FUTUREFORCE_8_DETAIL  | Miglioramenti Generali nella Tecnologia del Campo di Forza.

FUTUREFORCE_9_NAME    | Campo di Forza Futuristico X
FUTUREFORCE_9_DETAIL  | Miglioramenti Generali nella Tecnologia del Campo di Forza.


//
// Future Planetology techs
//
FUTUREPLANET_0_NAME    | Planetologia Futuristica I
FUTUREPLANET_0_DETAIL  | Miglioramenti Generali nella Tecnologia di Planetologia.

FUTUREPLANET_1_NAME    | Planetologia Futuristica II
FUTUREPLANET_1_DETAIL  | Miglioramenti Generali nella Tecnologia di Planetologia.

FUTUREPLANET_2_NAME    | FPlanetologia Futuristica III
FUTUREPLANET_2_DETAIL  | Miglioramenti Generali nella Tecnologia di Planetologia.

FUTUREPLANET_3_NAME    | Planetologia Futuristica IV
FUTUREPLANET_3_DETAIL  | Miglioramenti Generali nella Tecnologia di Planetologia.

FUTUREPLANET_4_NAME    | Planetologia Futuristica V
FUTUREPLANET_4_DETAIL  | Miglioramenti Generali nella Tecnologia di Planetologia.

FUTUREPLANET_5_NAME    | Planetologia Futuristica VI
FUTUREPLANET_5_DETAIL  | Miglioramenti Generali nella Tecnologia di Planetologia.

FUTUREPLANET_6_NAME    | Planetologia Futuristica VII
FUTUREPLANET_6_DETAIL  | Miglioramenti Generali nella Tecnologia di Planetologia.

FUTUREPLANET_7_NAME    | Planetologia Futuristica VIII
FUTUREPLANET_7_DETAIL  | Miglioramenti Generali nella Tecnologia di Planetologia.

FUTUREPLANET_8_NAME    | Planetologia Futuristica IX
FUTUREPLANET_8_DETAIL  | Miglioramenti Generali nella Tecnologia di Planetologia.

FUTUREPLANET_9_NAME    | Planetologia Futuristica X
FUTUREPLANET_9_DETAIL  | GMiglioramenti Generali nella Tecnologia di Planetologia.


//
// Future Propulsion techs
//
FUTUREPROP_0_NAME    | Propulsione Futuristica I
FUTUREPROP_0_DETAIL  | Miglioramenti Generali nella Tecnologia di Propulsione.

FUTUREPROP_1_NAME    | Propulsione Futuristica II
FUTUREPROP_1_DETAIL  | Miglioramenti Generali nella Tecnologia di Propulsione.

FUTUREPROP_2_NAME    | Propulsione Futuristica III
FUTUREPROP_2_DETAIL  | Miglioramenti Generali nella Tecnologia di Propulsione.

FUTUREPROP_3_NAME    | Propulsione Futuristica IV
FUTUREPROP_3_DETAIL  | Miglioramenti Generali nella Tecnologia di Propulsione.

FUTUREPROP_4_NAME    | Propulsione Futuristica V
FUTUREPROP_4_DETAIL  | Miglioramenti Generali nella Tecnologia di Propulsione.

FUTUREPROP_5_NAME    | Propulsione Futuristica VI
FUTUREPROP_5_DETAIL  | Miglioramenti Generali nella Tecnologia di Propulsione.

FUTUREPROP_6_NAME    | Propulsione Futuristica VII
FUTUREPROP_6_DETAIL  | Miglioramenti Generali nella Tecnologia di Propulsione.

FUTUREPROP_7_NAME    | Propulsione Futuristica VIII
FUTUREPROP_7_DETAIL  | Miglioramenti Generali nella Tecnologia di Propulsione..

FUTUREPROP_8_NAME    | Propulsione Futuristica IX
FUTUREPROP_8_DETAIL  | Miglioramenti Generali nella Tecnologia di Propulsione.

FUTUREPROP_9_NAME    | Propulsione Futuristica X
FUTUREPROP_9_DETAIL  | Miglioramenti Generali nella Tecnologia di Propulsione.


//
// Future Weapon techs
//
FUTUREWEAPON_0_NAME    | Arma Futuristica I
FUTUREWEAPON_0_DETAIL  | Miglioramenti Generali nella Tecnologia delle Armi.

FUTUREWEAPON_1_NAME    | Arma Futuristica II
FUTUREWEAPON_1_DETAIL  | Miglioramenti Generali nella Tecnologia delle Armi.

FUTUREWEAPON_2_NAME    | Arma Futuristica III
FUTUREWEAPON_2_DETAIL  | GMiglioramenti Generali nella Tecnologia delle Armi..

FUTUREWEAPON_3_NAME    | Arma Futuristica IV
FUTUREWEAPON_3_DETAIL  | Miglioramenti Generali nella Tecnologia delle Armi.

FUTUREWEAPON_4_NAME    | Arma Futuristica V
FUTUREWEAPON_4_DETAIL  | Miglioramenti Generali nella Tecnologia delle Armi.

FUTUREWEAPON_5_NAME    | Arma Futuristica VI
FUTUREWEAPON_5_DETAIL  | Miglioramenti Generali nella Tecnologia delle Armi.

FUTUREWEAPON_6_NAME    | Arma Futuristica VII
FUTUREWEAPON_6_DETAIL  | Miglioramenti Generali nella Tecnologia delle Armi.

FUTUREWEAPON_7_NAME    | Arma Futuristica VIII
FUTUREWEAPON_7_DETAIL  | Miglioramenti Generali nella Tecnologia delle Armi.

FUTUREWEAPON_8_NAME    | Arma Futuristica IX
FUTUREWEAPON_8_DETAIL  | Miglioramenti Generali nella Tecnologia delle Armi.

FUTUREWEAPON_9_NAME    | Arma Futuristica X
FUTUREWEAPON_9_DETAIL  | Miglioramenti Generali nella Tecnologia delle Armi. 


//
// Hand Weapon techs
//
HANDWEAPON_0_NAME      | 
HANDWEAPON_0_DETAIL    | 

HANDWEAPON_1_NAME      | Laser a Mano
HANDWEAPON_1_DETAIL    | Laser personali che aggiungono 5 ai tuoi tiri di combattimento a terra.

HANDWEAPON_2_NAME      | Fucile a Ioni
HANDWEAPON_2_DETAIL    | Armi a raggio personali che aggiungono 10 punti ai tuoi attacchi a terra.

HANDWEAPON_3_NAME      | Fucile a Fusione
HANDWEAPON_3_DETAIL    | Armi a raggio imprecise ma incredibilmente potenti che aggiungono 20 punti ai tuoi tiri di combattimento a terra.

HANDWEAPON_4_NAME      | Fasore a Mano
HANDWEAPON_4_DETAIL    | Potenti armi energetiche portatili in grado di ridurre un avversario ai suoi atomi componenti. Aggiunge 25 ai tuoi tiri per il combattimento a terra.

HANDWEAPON_5_NAME      | Fucile al Plasma
HANDWEAPON_5_DETAIL    | L'arma portatile più devastante disponibile. Aggiunge 30 ai tuoi attacchi a terra.


//
// Hyperspace Communication tech
//
HYPERSPACE_0_NAME      | Comunicazioni Iperspaziali
HYPERSPACE_0_DETAIL    | Le consente di comunicare con le flotte di navi nell'iperspazio e di modificare le loro destinazioni durante il viaggio.


//
// Improved Industrial techs
//
IMPRINDUSTRY_0_NAME     | Tecnologia Industriale Migliorata 9
IMPRINDUSTRY_0_DETAIL   | Riduce i costi di costruzione della fabbrica a 9 BC ciascuno.

IMPRINDUSTRY_1_NAME     | Tecnologia Industriale Migliorata 8
IMPRINDUSTRY_1_DETAIL   | RRiduce i costi di costruzione della fabbrica a 8 BC ciascuno..

IMPRINDUSTRY_2_NAME     | Tecnologia Industriale Migliorata 7
IMPRINDUSTRY_2_DETAIL   | Riduce i costi di costruzione della fabbrica a 7 BC ciascuno.

IMPRINDUSTRY_3_NAME     | Tecnologia Industriale Migliorata 6
IMPRINDUSTRY_3_DETAIL   | Riduce i costi di costruzione della fabbrica a 6 BC ciascuno.

IMPRINDUSTRY_4_NAME     | Tecnologia Industriale Migliorata 5
IMPRINDUSTRY_4_DETAIL   | Riduce i costi di costruzione della fabbrica a 5 BC ciascuno.

IMPRINDUSTRY_5_NAME     | Tecnologia Industriale Migliorata 4
IMPRINDUSTRY_5_DETAIL   | Riduce i costi di costruzione della fabbrica a 4 BC ciascuno.

IMPRINDUSTRY_6_NAME     | Tecnologia Industriale Migliorata 3
IMPRINDUSTRY_6_DETAIL   | Riduce i costi di costruzione della fabbrica a 3 BC ciascuno.

IMPRINDUSTRY_7_NAME     | Tecnologia Industriale Migliorata 2
IMPRINDUSTRY_7_DETAIL   | Riduce i costi di costruzione della fabbrica a 2 BC ciascuno.


//
// Improved Terraforming techs
//
IMPRTFORM_0_NAME        | Terraformazione Migliorata +10
IMPRTFORM_0_DETAIL      | Aumenta la capacità di popolazione dei pianeti di 10M per un costo di 5 BC per milione.

IMPRTFORM_1_NAME        | Terraformazione Migliorata +20
IMPRTFORM_1_DETAIL      | Aumenta la capacità di popolazione dei pianeti di 20M per un costo di 5 BC per milione.

IMPRTFORM_2_NAME        | Terraformazione Migliorata +30
IMPRTFORM_2_DETAIL      | Aumenta la capacità di popolazione dei pianeti di 30M per un costo di 4 BC per milione.

IMPRTFORM_3_NAME        | Terraformazione Migliorata +40
IMPRTFORM_3_DETAIL      | Aumenta la capacità di popolazione dei pianeti di 40M per un costo di 4 BC per milione.

IMPRTFORM_4_NAME        | Terraformazione Migliorata +50
IMPRTFORM_4_DETAIL      | Aumenta la capacità di popolazione dei pianeti di 50M per un costo di 3 BC per milione.

IMPRTFORM_5_NAME        | Terraformazione Migliorata +60
IMPRTFORM_5_DETAIL      | Aumenta la capacità di popolazione dei pianeti di 60M per un costo di 3 BC per milione.

IMPRTFORM_6_NAME        | Terraformazione Migliorata +80
IMPRTFORM_6_DETAIL      | Aumenta la capacità di popolazione dei pianeti di 80M per un costo di 2 BC per milione.

IMPRTFORM_7_NAME        | Terraformazione Migliorata +100
IMPRTFORM_7_DETAIL      | Aumenta la capacità di popolazione dei pianeti di 100M per un costo di 2 BC per milione.

IMPRTFORM_8_NAME        | Terraformazione Completa
IMPRTFORM_8_DETAIL      | Aumenta la capacità di popolazione dei pianeti di 120M per un costo di 2 BC per milione.


//
// Industrial Waste techs
//
INDWASTE_0_NAME         | Rifiuti Industriali Ridotti 80%
INDWASTE_0_DETAIL       | Riduce i livelli di inquinamento in fabbrica all'80% del tasso normale.

INDWASTE_1_NAME         | Rifiuti Industriali Ridotti 60%
INDWASTE_1_DETAIL       | Riduce i livelli di inquinamento in fabbrica all'60% del tasso normale..

INDWASTE_2_NAME         | Rifiuti Industriali Ridotti 40%
INDWASTE_2_DETAIL       | Riduce i livelli di inquinamento in fabbrica all'40% del tasso normale.

INDWASTE_3_NAME         | Rifiuti Industriali Ridotti 20%
INDWASTE_3_DETAIL       | Riduce i livelli di inquinamento in fabbrica all'20% del tasso normale.

INDWASTE_4_NAME         | Eliminazione dei Rifiuti Industriali
INDWASTE_4_DETAIL       | Le fabbriche cessano di inquinare.


//
// Missile Defense techs
//
MISSDEF_0_NAME      | Razzi Antimissile
MISSDEF_0_BRIEF     | 40% di possibilità che i missili vengano distrutti
MISSDEF_0_DETAIL    | Razzi trans-leggeri in grado di distruggere i missili nemici in arrivo il 40% delle volte, -1% per livello tecnologico del missile.

MISSDEF_1_NAME      | Scudo Zyro
MISSDEF_1_BRIEF     | 75% di possibilità che i missili vengano distrutti
MISSDEF_1_DETAIL    | Un campo energetico che distrugge i missili e siluri nemici in arrivo il 75% delle volte, -1% per livello tecnologico del missile.

MISSDEF_2_NAME      | Scudo di Fulmine
MISSDEF_2_BRIEF     | 100% di possibilità che i missili vengano distrutti
MISSDEF_2_DETAIL    | Un campo di energia che distrugge i missili e siluri nemici in arrivo il 100% delle volte, -1% per livello tecnologico del missile.


//
// Missile Weapon techs
//
MISSWPN_0_NAME      | Missile Nucleare
MISSWPN_0_BRIEF     | 2 colpi, +1 velocità
MISSWPN_0_BRIEF2    | 5 colpi
MISSWPN_0_DETAIL    | Missili con testate nucleari che esplodono per 4 punti di danno e si muovono a una velocità di 2.

MISSWPN_1_NAME      | Razzi Iper-V
MISSWPN_1_BRIEF     | 2 colpi, +1 velocità
MISSWPN_1_BRIEF2    | 5 colpi
MISSWPN_1_DETAIL    | Missili veloci che esplodono per 6 punti di danno e si muovono a una velocità di 2,5.

MISSWPN_2_NAME      | Razzi Iper-X
MISSWPN_2_BRIEF     | 2 colpi, +1 per colpire
MISSWPN_2_BRIEF2    | 5 colpi, +1 per colpire
MISSWPN_2_DETAIL    | Missili dotati di testate ad alta energia che esplodono per 8 punti di danno, si muovono a una velocità di 2,5 e sono controllati da un computer di puntamento di livello +1.

MISSWPN_3_NAME      | Rizzi Paccheto di Dispersione V
MISSWPN_3_BRIEF     | 2 colpi, +1 velocità
MISSWPN_3_BRIEF2    | 5 colpi
MISSWPN_3_DETAIL    | Versioni Mirv di Rizzi Iper-V, suddivise in cinque testate separate che esplodono ciascuna per 6 punti di danno e si muovono a una velocità di 2,5.

MISSWPN_4_NAME      | Missili Merculite
MISSWPN_4_BRIEF     | 2 colpi, +2 per colpire
MISSWPN_4_BRIEF2    | 5 colpi, +2 per colpire
MISSWPN_4_DETAIL    | Missili veloci e potenti che esplodono per 10 punti di danno, si muovono a una velocità di 3 e sono controllati da un computer di puntamento +2.

MISSWPN_5_NAME      | Missili Pungiglione
MISSWPN_5_BRIEF     | 2 colpi, +3 per colpire
MISSWPN_5_BRIEF2    | 5 colpi, +3 per colpire
MISSWPN_5_DETAIL    | Missili lenti e iper-accurati infliggono 15 punti di danno, si muovono a una velocità di 3,5 e sono controllati da un sofisticato computer di puntamento +3.

MISSWPN_6_NAME      | Missili Pacchetto di Dispersione VII
MISSWPN_6_BRIEF     | 2 colpi, MIRVS (testate multiple indipendenti) a 7
MISSWPN_6_BRIEF2    | 5 colpi, MIRVS (testate multiple indipendenti) a 7
MISSWPN_6_DETAIL    | Versioni MIRV di Razzi Iper-X, che si dividono in 7 testate separate che esplodono ciascuna per 10 punti di danno, si muovono a una velocità di 3 e sono guidate da un computer di puntamento +2.

MISSWPN_7_NAME      | Missili Pulson
MISSWPN_7_BRIEF     | 2 colpi, +4 per colpire
MISSWPN_7_BRIEF2    | 5 colpi, +4 per colpire
MISSWPN_7_DETAIL    | Potenti missili dotati di testate antimateria che esplodono per 20 punti di danno, si muovono a velocità 4 e sono controllati da un computer di puntamento +4.

MISSWPN_8_NAME      | Missili Ercolari
MISSWPN_8_BRIEF     | 2 colpi, +5 per colpire
MISSWPN_8_BRIEF2    | 5 colpi, +5 per colpire
MISSWPN_8_DETAIL    | Missile altamente avanzato che esplode per 25 punti di danno. Il missile hercular si muove alla velocità 4.5 ed è controllato da un computer di puntamento +5.

MISSWPN_9_NAME      | Missili Zeon
MISSWPN_9_BRIEF     | 2 colpi, +6 per colpire
MISSWPN_9_BRIEF2    | 5 colpi, +6 per colpire
MISSWPN_9_DETAIL    | Il missile più avanzato disponibile. Capace di colpire navi nemiche per 30 punti di danno e muoversi a una velocità di 5. Il missile è guidato da un computer di puntamento +6.

MISSWPN_10_NAME      | Missili Pacchetto di Dispersione X
MISSWPN_10_BRIEF     | 2 colpi, MIRVS(testate multiple indipendenti) a 10
MISSWPN_10_BRIEF2    | 5 colpi, MIRVS(testate multiple indipendenti) a 10
MISSWPN_10_DETAIL    | Versioni MIRV dei Missili Pungiglione, che si dividono in 10 testate separate che esplodono ciascuna per 15 punti di danno, si muovono a velocità 3.5 e sono guidate da un computer di puntamento +3.


//
// Personal Shield techs for ground combat
//
// default "no shield" tech that each player starts with
PERSSHIELD_0_NAME     | 
PERSSHIELD_0_DETAIL   | 

PERSSHIELD_1_NAME     | Scudo Deflettore Personale
PERSSHIELD_1_DETAIL   | Protegge le singole truppe di terra con un campo di forza direzionale. Aggiunge +10 a tutte le battaglie di combattimento a terra.

PERSSHIELD_2_NAME     | Scudo di Assorbimento Personale
PERSSHIELD_2_DETAIL   | Assorbe i danni di tutte le armi a una mano. Aggiunge +20 a tutte le battaglie di combattimento a terra..

PERSSHIELD_3_NAME     | Scudo Barriera Personale
PERSSHIELD_3_DETAIL   | Racchiude completamente il soldato in un campo di forza quasi impenetrabile. Aggiunge +30 a tutti i tiri per il combattimento a terra.

//
// Planetary Shield techs 
//
PLANETSHIELD_0_NAME    | Scudi Planetari di Classe V
PLANETSHIELD_0_DETAIL  | Assorbe 5 punti di danno da tutti gli attacchi contro le superfici dei pianeti, aggiungendo gli scudi deflettori della base missilistica.

PLANETSHIELD_1_NAME    | Scudi Planetari di Classe X
PLANETSHIELD_1_DETAIL  | Assorbe 10 punti di danno da tutti gli attacchi contro le superfici dei pianeti, aggiungendo gli scudi deflettori della base missilistica.

PLANETSHIELD_2_NAME    | Scudi Planetari di Classe XV
PLANETSHIELD_2_DETAIL  | Assorbe 15 punti di danno da tutti gli attacchi contro le superfici dei pianeti, aggiungendo gli scudi deflettori della base missilistica.

PLANETSHIELD_3_NAME    | Scudi Planetari di Classe XX
PLANETSHIELD_3_DETAIL  | Assorbe 20 punti di danno da tutti gli attacchi contro le superfici dei pianeti, aggiungendo gli scudi deflettori della base missilistica.


//
// Repulsor tech 
//
REPULSOR_0_NAME    | Raggio Repulsore
REPULSOR_0_BRIEF   | Sposta le navi nemiche indietro di 1 spazio
REPULSOR_0_DETAIL  | Respinge le navi nemiche indietro di uno spazio dalla nave in difesa. Quest'arma speciale ha una portata di uno spazio.

//
// Reserve Fuel tech 
//
RSRVFUEL_0_NAME    | Serbatoi Carburante di Riserva
RSRVFUEL_0_BRIEF   | Estende la portata della nave di %1 anni luce
RSRVFUEL_0_DETAIL  | I serbatoi di carburante di riserva aumentano la portata di una nave.


//
// Robotic Controls techs 
//
ROBOTCTRL_0_NAME     | Controlli Robotici Migliorati III
ROBOTCTRL_0_DETAIL   | Consente di gestire 3 fabbriche per popolazione. Il costo di riparazione per l'aggiornamento è la metà del costo standard di ogni fabbrica.

ROBOTCTRL_1_NAME     | Controlli Robotici Migliorati IV
ROBOTCTRL_1_DETAIL   | Consente di gestire 4 fabbriche per popolazione. Il costo di riparazione per l'aggiornamento è il costo standard di ogni fabbrica.

ROBOTCTRL_2_NAME     | Controlli Robotici Migliorati V
ROBOTCTRL_2_DETAIL   | Consente di gestire 5 fabbriche per popolazione. Il costo di riparazione per l'aggiornamento è una volta e mezza il costo standard di ogni fabbrica.

ROBOTCTRL_3_NAME     | Controlli Robotici Migliorati VI
ROBOTCTRL_3_DETAIL   | Consente di gestire 6 fabbriche per popolazione. Il costo di riparazione per l'aggiornamento è il doppio del costo standard di ogni fabbrica.

ROBOTCTRL_4_NAME     | Controlli Robotici Migliorati VII
ROBOTCTRL_4_DETAIL   | Consente di gestire 7 fabbriche per popolazione. Il costo di riparazione per l'aggiornamento è 2,5 volte il costo standard di ogni fabbrica.


//
// Scanner techs 
//
SCANNER_0_NAME       | Scanner da Battaglia
SCANNER_0_BRIEF      | Scansiona le navi nemiche in combattimento
SCANNER_0_DETAIL     | Rivela le specifiche tecniche delle navicelle nemiche in combattimento.

SCANNER_1_NAME       | Scanner dello Spazio Profondo
SCANNER_1_BRIEF      | Rileva navi fino a 5 anni luce di distanza
SCANNER_1_DETAIL     | Rileva le navi nemiche fino a 5 anni luce di distanza dalle tue colonie e 1 anno luce dalle tue navi.

SCANNER_2_NAME       | Scanner dello Spazio Migliorato
SCANNER_2_BRIEF      | Rileva navi e destinazioni fino a 7 anni luce di distanza
SCANNER_2_DETAIL     | Rileva le navi nemiche fino a 7 anni luce di distanza dalle tue colonie e 2 anni luce dalle tue navi. Le destinazioni dei nemici possono essere determinate.

SCANNER_3_NAME       | Scanner Spaziale Avanzato
SCANNER_3_BRIEF      | Consente l'esplorazione di pianeti fino a 9 anni luce di distanza
SCANNER_3_DETAIL     | Consente l'esplorazione di pianeti da basi di colonie fino a 9 anni luce di distanza e rileva le navi nemiche fino a 3 anni luce di distanza dalle tue navi.

//
// Ship Inertial techs 
//
SHIPINERTIAL_0_NAME     | Stabilizzatore Inerziale
SHIPINERTIAL_0_BRIEF    | Aggiunge +2 alla manovrabilità
SHIPINERTIAL_0_DETAIL   | Riduce l'inerzia delle navi, aggiungendo 2 classi di manovrabilità in combattimento (+2 difesa e +1 velocità di combattimento).

SHIPINERTIAL_1_NAME     | Nullificatore Inerziale
SHIPINERTIAL_1_BRIEF    | Aggiunge +4 alla manovrabilità
SHIPINERTIAL_1_DETAIL   | Annulla l'inerzia delle navi, aggiungendo 4 classi di manovrabilità in combattimento. Riduce anche l'effetto degli attacchi del buco nero del -30%.

//
// Ship Inertial techs 
//
SHIPNULLIFIER_0_NAME     | Nullificatore di Tecnologia
SHIPNULLIFIER_0_BRIEF    | Distrugge i computer nemici
SHIPNULLIFIER_0_DETAIL   | Rimescola i computer da battaglia nemici e l'ECM, riducendoli da 2 a 6 livelli per attacco. La sua portata supera la maggior parte delle armi delle navi.

SHIPNULLIFIER_1_NAME     | Dissipatore di Curvatura
SHIPNULLIFIER_1_BRIEF    | Riduce la velocità delle navi nemiche
SHIPNULLIFIER_1_DETAIL   | I dissipatori di curvatura sono armi a lungo raggio che interrompono i motori delle astronavi nemiche, riducendone la velocità a ogni attacco.


//
// Ship Weapon techs 
//
SHIPWPN_0_NAME         | Laser
SHIPWPN_0_ITEM2        | Laser pesante
SHIPWPN_0_DETAIL       | Arma a raggio a fuoco diretto che infligge 1-4 danni. I laser pesanti hanno un raggio di due spazi e infliggono 1-7 punti di danno.

SHIPWPN_1_NAME         | Laser Gatling
SHIPWPN_1_BRIEF        | Spara 4 volte/turno
SHIPWPN_1_DETAIL       | Un laser avanzato che spara fino a quattro volte per turno per 1-4 punti di danno a ogni colpo.

SHIPWPN_2_NAME         | Pistola a Pellet di Neutroni
SHIPWPN_2_BRIEF        | Dimezza la Forza dello Scudo
SHIPWPN_2_DETAIL       | Arma a flusso di particelle pesanti che dimezza l'efficacia degli scudi deflettori nemici e infligge da 2 a 5 punti di danno.

SHIPWPN_3_NAME         | Cannone a Ioni
SHIPWPN_3_ITEM2        | Cannone a Ioni Pesanti
SHIPWPN_3_DETAIL       | HArmi a raggio ad alta intensità in grado di infliggere 3-8 punti di danno. I cannoni a ioni pesanti colpiscono per 3-15 e hanno un raggio di due spazi.

SHIPWPN_4_NAME         | Trazione di Massa
SHIPWPN_4_BRIEF        | Dimezza la Forza dello Scudo
SHIPWPN_4_DETAIL       | Un acceleratore lineare che dimezza l'efficacia degli scudi deflettori nemici e infligge 5-8 punti di danno.

SHIPWPN_5_NAME         | Blaster di Neutroni
SHIPWPN_5_ITEM2        | Blaster Pesante a Neutroni
SHIPWPN_5_DETAIL       | Armi a raggio ad alta potenza in grado di infliggere 3-12 punti di danno. I blaster a neutroni pesanti colpiscono per 3-24 punti e hanno un raggio di 2 spazi.

SHIPWPN_6_NAME         | Raggio Gravitonico
SHIPWPN_6_BRIEF        | Attacco in Flusso
SHIPWPN_6_DETAIL       | Raggio trattore-repulsore in grado di fare a pezzi le navi. Colpisce per 1-15 punti di danno e l'effetto di streaming continuo consente di trasferire il danno in eccesso ad altre navi.

SHIPWPN_7_NAME         | Raggio Forte
SHIPWPN_7_BRIEF        | Dimezza la Forza dello Scudo
SHIPWPN_7_DETAIL       | Un'arma a raggio energia-materia che dimezza l'efficacia degli scudi deflettori nemici e infligge 8-12 punti di danno.

SHIPWPN_8_NAME         | Raggio di Fusione
SHIPWPN_8_ITEM2        | Raggio di Fusione Pesante
SHIPWPN_8_DETAIL       | Arma a raggio ad alta intensità in grado di infliggere 4-16 punti di danno. I raggi di fusione pesanti colpiscono per 4-30 punti e hanno un raggio di 2 spazi.

SHIPWPN_9_NAME         | Cannone Superfulmine
SHIPWPN_9_BRIEF        | +3 livelli per colpire
SHIPWPN_9_DETAIL       | Rilascia più scariche di pura energia in un ampio campo. Ha una probabilità bonus del +30% di colpire e colpire per 2-20 punti di danno.

SHIPWPN_10_NAME        | Fasore
SHIPWPN_10_ITEM2       | Fasore Pesante
SHIPWPN_10_DETAIL      | Raggi di energia a fasi in grado di infliggere da 5 a 20 punti di danno. I phasor pesanti colpiscono per 5-40 punti di danno e hanno un raggio di due spazi.

SHIPWPN_11_NAME        | Disintegratore Automatico
SHIPWPN_11_BRIEF       | Spara 3 volte/turno
SHIPWPN_11_DETAIL      | Un avanzato blaster a neutroni che spara fino a tre volte per turno per 4-16 punti di danno per colpo.

SHIPWPN_12_NAME        | Raggio Tachionico
SHIPWPN_12_BRIEF       | Attacco in Flusso
SHIPWPN_12_DETAIL      | Spara un intenso flusso di particelle tachioniche che colpiscono le navi nemiche per 1-25 colpi. L'effetto di streaming continuo consente di trasferire il danno in eccesso ad altre navi.

SHIPWPN_13_NAME        | Cannone Automatico Gauss
SHIPWPN_13_BRIEF       | 1/2 Scudi, Spara 4x
SHIPWPN_13_DETAIL      | Un avanzato acceleratore lineare in grado di sparare 4 colpi esplosivi per turno che infliggono da 7 a 10 punti di danno ciascuno. Questi proiettili dimezzano anche l'efficacia degli scudi nemici.

SHIPWPN_14_NAME        | Raggio di Particelle
SHIPWPN_14_BRIEF       | Dimezza la Forza dello Scudo
SHIPWPN_14_DETAIL      | Acceleratori di particelle ad alta intensità in grado di colpire le navi nemiche per 10-20 punti di danno e dimezzare l'efficacia degli scudi deflettori.

SHIPWPN_15_NAME        | Cannone al Plasma
SHIPWPN_15_DETAIL      | Spara intensi lampi di energia che infliggono 6-30 punti di danno a un raggio di 1.

SHIPWPN_16_NAME        | Raggio della Morte
SHIPWPN_16_DETAIL      | Un'antica arma dall'incredibile potere distruttivo che infligge 200-1000 punti di danno e ha una portata di uno spazio.

SHIPWPN_17_NAME        | Disgregatore
SHIPWPN_17_DETAIL      | Scatena tremendi dardi di pura energia che possono colpire bersagli nemici fino a due spazi di distanza per 10-40 punti di danno.

SHIPWPN_18_NAME        | Fasore di Pulso
SHIPWPN_18_BRIEF       | Spara 3 volte/turno
SHIPWPN_18_DETAIL      | Un fasore avanzato in grado di sparare 3 raffiche per turno per 5-20 punti di danno ad ogni colpo.

SHIPWPN_19_NAME        | Cannone al Plasma a Tre Fuochi
SHIPWPN_19_DETAIL      | Spara una triade di raggi al plasma ad alta intensità in grado di infliggere da 20 a 50 punti di danno.

SHIPWPN_20_NAME        | Convertitore Stellare
SHIPWPN_20_BRIEF       | Colpisce Tutti e Quattro gli Scudi
SHIPWPN_20_DETAIL      | Circonda il bersaglio con un campo di conversione materia-energia estremamente potente, infliggendo quattro attacchi da 10 a 35 punti. Ha una gamma di 3 spazi.

SHIPWPN_21_NAME        | Dispositivo Picchiatore
SHIPWPN_21_DETAIL      | Scatena enormi quantità di energia concentrata sui bersagli nemici, infliggendo 20-100 punti di danno.

SHIPWPN_22_NAME        | Il Flusso Dell'Ameba
SHIPWPN_22_DETAIL      | Un flusso che infligge 250-1000 punti di danno e ha un raggio di 3 spazi. Il suo effetto di streaming continuo gli consente di trasferire i danni da una nave all'altra.

SHIPWPN_23_NAME        | Il Raggio di Cristallo
SHIPWPN_23_DETAIL      | Un raggio che circonda gli scudi di un bersaglio, infliggendo 4 attacchi da 100-300 punti di danno ciascuno. Ha una gamma di 3 spazi.


//
// Soil Enrichment techs
//
SOILENRICH_0_NAME     | Arricchimento del Suolo
SOILENRICH_0_DETAIL   | Converte i pianeti standard in ambienti fertili, aumentando la crescita della popolazione del 50% e aumentando la dimensione planetaria di base del +25% per un costo una tantum di 150 BC.

SOILENRICH_1_NAME     | Arricchimento Avanzato del Suolo
