

//
// Armor techs
// 
ARMOR_0_NAME     | Armadura de Titânio
FUTURECONST_8_DETAIL  | Melhoramentos Gerais em Tecnologia de Engenharia.

FUTURECONST_9_NAME    | Engenharia do Futuro X
FUTURECONST_9_DETAIL  | Melhoramentos Gerais em Tecnologia de Engenharia. 


//
// Future Force Field techs
//
FUTUREFORCE_0_NAME    | Campos de Forças do Futuro I
FUTUREFORCE_0_DETAIL  | Melhoramentos Gerais em Tecnologia de Campos de Forças.

FUTUREFORCE_1_NAME    | Campos de Forças do Futuro II
FUTUREFORCE_1_DETAIL  | Melhoramentos Gerais em Tecnologia de Campos de Forças.

FUTUREFORCE_2_NAME    | Campos de Forças do Futuro III
FUTUREFORCE_2_DETAIL  | Melhoramentos Gerais em Tecnologia de Campos de Forças.

FUTUREFORCE_3_NAME    | Campos de Forças do Futuro IV
FUTUREFORCE_3_DETAIL  | Melhoramentos Gerais em Tecnologia de Campos de Forças.

FUTUREFORCE_4_NAME    | Campos de Forças do Futuro V
FUTUREFORCE_4_DETAIL  | Melhoramentos Gerais em Tecnologia de Campos de Forças.

FUTUREFORCE_5_NAME    | Campos de Forças do Futuro VI
FUTUREFORCE_5_DETAIL  | Melhoramentos Gerais em Tecnologia de Campos de Forças.

FUTUREFORCE_6_NAME    | Campos de Forças do Futuro VII
FUTUREFORCE_6_DETAIL  | Melhoramentos Gerais em Tecnologia de Campos de Forças.

FUTUREFORCE_7_NAME    | Campos de Forças do Futuro VIII
FUTUREFORCE_7_DETAIL  | Melhoramentos Gerais em Tecnologia de Campos de Forças.

FUTUREFORCE_8_NAME    | Campos de Forças do Futuro IX
FUTUREFORCE_8_DETAIL  | Melhoramentos Gerais em Tecnologia de Campos de Forças.

FUTUREFORCE_9_NAME    | Campos de Forças do Futuro X
FUTUREFORCE_9_DETAIL  | Melhoramentos Gerais em Tecnologia de Campos de Forças.


//
// Future Planetology techs
//
FUTUREPLANET_0_NAME    | Planetologia do Futuro I
FUTUREPLANET_0_DETAIL  | Melhoramentos Gerais em Tecnologia de Planetologia.

FUTUREPLANET_1_NAME    | Planetologia do Futuro II
FUTUREPLANET_1_DETAIL  | Melhoramentos Gerais em Tecnologia de Planetologia.

FUTUREPLANET_2_NAME    | Planetologia do Futuro III
FUTUREPLANET_2_DETAIL  | Melhoramentos Gerais em Tecnologia de Planetologia.

FUTUREPLANET_3_NAME    | Planetologia do Futuro IV
FUTUREPLANET_3_DETAIL  | Melhoramentos Gerais em Tecnologia de Planetologia.

FUTUREPLANET_4_NAME    | Planetologia do Futuro V
FUTUREPLANET_4_DETAIL  | Melhoramentos Gerais em Tecnologia de Planetologia.

FUTUREPLANET_5_NAME    | Planetologia do Futuro VI
FUTUREPLANET_5_DETAIL  | Melhoramentos Gerais em Tecnologia de Planetologia.

FUTUREPLANET_6_NAME    | Planetologia do Futuro VII
FUTUREPLANET_6_DETAIL  | Melhoramentos Gerais em Tecnologia de Planetologia.

FUTUREPLANET_7_NAME    | Planetologia do Futuro VIII
FUTUREPLANET_7_DETAIL  | Melhoramentos Gerais em Tecnologia de Planetologia.

FUTUREPLANET_8_NAME    | Planetologia do Futuro IX
FUTUREPLANET_8_DETAIL  | Melhoramentos Gerais em Tecnologia de Planetologia.

FUTUREPLANET_9_NAME    | Planetologia do Futuro X
FUTUREPLANET_9_DETAIL  | Melhoramentos Gerais em Tecnologia de Planetologia.


//
// Future Propulsion techs
//
FUTUREPROP_0_NAME    | Propulsão do Futuro I
FUTUREPROP_0_DETAIL  | Melhoramentos Gerais em Tecnologia de Propulsão.

FUTUREPROP_1_NAME    | Propulsão do Futuro II
FUTUREPROP_1_DETAIL  | Melhoramentos Gerais em Tecnologia de Propulsão.

FUTUREPROP_2_NAME    | Propulsão do Futuro III
FUTUREPROP_2_DETAIL  | Melhoramentos Gerais em Tecnologia de Propulsão.

FUTUREPROP_3_NAME    | Propulsão do Futuro IV
FUTUREPROP_3_DETAIL  | Melhoramentos Gerais em Tecnologia de Propulsão.

FUTUREPROP_4_NAME    | Propulsão do Futuro V
FUTUREPROP_4_DETAIL  | Melhoramentos Gerais em Tecnologia de Propulsão.

FUTUREPROP_5_NAME    | Propulsão do Futuro VI
FUTUREPROP_5_DETAIL  | Melhoramentos Gerais em Tecnologia de Propulsão.

FUTUREPROP_6_NAME    | Propulsão do Futuro VII
FUTUREPROP_6_DETAIL  | Melhoramentos Gerais em Tecnologia de Propulsão.

FUTUREPROP_7_NAME    | Propulsão do Futuro VIII
FUTUREPROP_7_DETAIL  | Melhoramentos Gerais em Tecnologia de Propulsão.

FUTUREPROP_8_NAME    | Propulsão do Futuro IX
FUTUREPROP_8_DETAIL  | Melhoramentos Gerais em Tecnologia de Propulsão.

FUTUREPROP_9_NAME    | Propulsão do Futuro X
FUTUREPROP_9_DETAIL  | Melhoramentos Gerais em Tecnologia de Propulsão.


//
// Future Weapon techs
//
FUTUREWEAPON_0_NAME    | Armamento do Futuro I
FUTUREWEAPON_0_DETAIL  | Melhoramentos Gerais em Tecnologia de Armamento.

FUTUREWEAPON_1_NAME    | Armamento do Futuro II
FUTUREWEAPON_1_DETAIL  | Melhoramentos Gerais em Tecnologia de Armamento.

FUTUREWEAPON_2_NAME    | Armamento do Futuro III
FUTUREWEAPON_2_DETAIL  | Melhoramentos Gerais em Tecnologia de Armamento.

FUTUREWEAPON_3_NAME    | Armamento do Futuro IV
FUTUREWEAPON_3_DETAIL  | Melhoramentos Gerais em Tecnologia de Armamento.

FUTUREWEAPON_4_NAME    | Armamento do Futuro V
FUTUREWEAPON_4_DETAIL  | Melhoramentos Gerais em Tecnologia de Armamento.

FUTUREWEAPON_5_NAME    | Armamento do Futuro VI
FUTUREWEAPON_5_DETAIL  | Melhoramentos Gerais em Tecnologia de Armamento.

FUTUREWEAPON_6_NAME    | Armamento do Futuro VII
FUTUREWEAPON_6_DETAIL  | Melhoramentos Gerais em Tecnologia de Armamento.

FUTUREWEAPON_7_NAME    | Armamento do Futuro VIII
FUTUREWEAPON_7_DETAIL  | Melhoramentos Gerais em Tecnologia de Armamento.

FUTUREWEAPON_8_NAME    | Armamento do Futuro IX
FUTUREWEAPON_8_DETAIL  | Melhoramentos Gerais em Tecnologia de Armamento.

FUTUREWEAPON_9_NAME    | Armamento do Futuro X
FUTUREWEAPON_9_DETAIL  | Melhoramentos Gerais em Tecnologia de Armamento. 


//
// Hand Weapon techs
//
HANDWEAPON_0_NAME      | 
HANDWEAPON_0_DETAIL    | 

HANDWEAPON_1_NAME      | Lasers Manuais
HANDWEAPON_1_DETAIL    | Lasers de uso pessoal que acrescentam 5 pontos ao valor aleatório atribuído às tuas tropas, de 1-100, em cada turno de combate terrestre. É eliminado um soldado ao perdedor de cada turno (aquele com o menor valor total).

HANDWEAPON_2_NAME      | Fuzil de Iões
HANDWEAPON_2_DETAIL    | Lasers de uso pessoal que acrescentam 10 pontos ao valor aleatório atribuído às tuas tropas, de 1-100, em cada turno de combate terrestre. É eliminado um soldado ao perdedor de cada turno (aquele com o menor valor total).

HANDWEAPON_3_NAME      | Fuzil Nuclear
HANDWEAPON_3_DETAIL    | Armas laser imprecisas mas incrivelmente potentes que acrescentam 20 pontos ao valor aleatório atribuído às tuas tropas, de 1-100, em cada turno de combate terrestre. É eliminado um soldado ao perdedor de cada turno (aquele com o menor valor total).

HANDWEAPON_4_NAME      | Pistola Phaser
HANDWEAPON_4_DETAIL    | Pistolas de energia potentes capazes de reduzir um adversário a partículas. Acrescentam 25 pontos ao valor aleatório atribuído às tuas tropas, de 1-100, em cada turno de combate terrestre. É eliminado um soldado ao perdedor de cada turno (aquele com o menor valor total).

HANDWEAPON_5_NAME      | Fuzil de Plasma
HANDWEAPON_5_DETAIL    | A arma mais devastadora ao alcance dos soldados. Acrescenta 30 pontos ao valor aleatório atribuído às tuas tropas, de 1-100, em cada turno de combate terrestre. É eliminado um soldado ao perdedor de cada turno (aquele com o menor valor total).
 

//
// Hyperspace Communication tech
//
HYPERSPACE_0_NAME      | Comunicação Hiperespacial
HYPERSPACE_0_DETAIL    | Permite comunicar com frotas no hiperespaço e mudar os seus destinos enquanto estas estão em trânsito.


//
// Improved Industrial techs
//
IMPRINDUSTRY_0_NAME     | Tecnologia Industrial Melhorada 9
IMPRINDUSTRY_0_DETAIL   | Reduz os custos da construção de fábricas para 9 BM cada uma.

IMPRINDUSTRY_1_NAME     | Tecnologia Industrial Melhorada 8
IMPRINDUSTRY_1_DETAIL   | Reduz os custos da construção de fábricas para 8 BM cada uma.

IMPRINDUSTRY_2_NAME     | Tecnologia Industrial Melhorada 7
IMPRINDUSTRY_2_DETAIL   | Reduz os custos da construção de fábricas para 7 BM cada uma.

IMPRINDUSTRY_3_NAME     | Tecnologia Industrial Melhorada 6
IMPRINDUSTRY_3_DETAIL   | Reduz os custos da construção de fábricas para 6 BM cada uma.

IMPRINDUSTRY_4_NAME     | Tecnologia Industrial Melhorada 5
IMPRINDUSTRY_4_DETAIL   | Reduz os custos da construção de fábricas para 5 BM cada uma.

IMPRINDUSTRY_5_NAME     | Tecnologia Industrial Melhorada 4
IMPRINDUSTRY_5_DETAIL   | Reduz os custos da construção de fábricas para 4 BM cada uma.

IMPRINDUSTRY_6_NAME     | Tecnologia Industrial Melhorada 3
IMPRINDUSTRY_6_DETAIL   | Reduz os custos da construção de fábricas para 3 BM cada uma.

IMPRINDUSTRY_7_NAME     | Tecnologia Industrial Melhorada 2
IMPRINDUSTRY_7_DETAIL   | Reduz os custos da construção de fábricas para 2 BM cada uma.


//
// Improved Terraforming techs
//
IMPRTFORM_0_NAME        | Terraformação Melhorada +10
IMPRTFORM_0_DETAIL      | Aumenta a capacidade populacional dos planetas em mais 10 milhões por um custo de 5 BM por milhão.

IMPRTFORM_1_NAME        | Terraformação Melhorada +20
IMPRTFORM_1_DETAIL      | Aumenta a capacidade populacional dos planetas em mais 20 milhões por um custo de 5 BM por milhão.

IMPRTFORM_2_NAME        | Terraformação Melhorada +30
IMPRTFORM_2_DETAIL      | Aumenta a capacidade populacional dos planetas em mais 30 milhões por um custo de 4 BM por milhão.

IMPRTFORM_3_NAME        | Terraformação Melhorada +40
IMPRTFORM_3_DETAIL      | Aumenta a capacidade populacional dos planetas em mais 40 milhões por um custo de 4 BM por milhão.

IMPRTFORM_4_NAME        | Terraformação Melhorada +50
IMPRTFORM_4_DETAIL      | Aumenta a capacidade populacional dos planetas em mais 50 milhões por um custo de 3 BM por milhão.

IMPRTFORM_5_NAME        | Terraformação Melhorada +60
IMPRTFORM_5_DETAIL      | Aumenta a capacidade populacional dos planetas em mais 60 milhões por um custo de 3 BM por milhão.

IMPRTFORM_6_NAME        | Terraformação Melhorada +80
IMPRTFORM_6_DETAIL      | Aumenta a capacidade populacional dos planetas em mais 80 milhões por um custo de 2 BM por milhão.

IMPRTFORM_7_NAME        | Terraformação Melhorada +100
IMPRTFORM_7_DETAIL      | Aumenta a capacidade populacional dos planetas em mais 100 milhões por um custo de 2 BM por milhão.

IMPRTFORM_8_NAME        | Terraformação Completa
IMPRTFORM_8_DETAIL      | Aumenta a capacidade populacional dos planetas em mais 120 milhões por um custo de 2 BM por milhão.


//
// Industrial Waste techs
//
INDWASTE_0_NAME         | Resíduos Industriais Reduzidos 80%
INDWASTE_0_DETAIL       | Baixa os níveis de poluição industrial para 80% da taxa normal.

INDWASTE_1_NAME         | Resíduos Industriais Reduzidos 60%
INDWASTE_1_DETAIL       | Baixa os níveis de poluição industrial para 60% da taxa normal.

INDWASTE_2_NAME         | Resíduos Industriais Reduzidos 40%
INDWASTE_2_DETAIL       | Baixa os níveis de poluição industrial para 40% da taxa normal.

INDWASTE_3_NAME         | Resíduos Industriais Reduzidos 20%
INDWASTE_3_DETAIL       | Baixa os níveis de poluição industrial para 20% da taxa normal.

INDWASTE_4_NAME         | Eliminação Total dos Resíduos
INDWASTE_4_DETAIL       | As fábricas deixam de poluir.


//
// Missile Defense techs
//
MISSDEF_0_NAME      | Mísseis Antibalísticos
MISSDEF_0_BRIEF     | 40% de chance de destruir mísseis
MISSDEF_0_DETAIL    | Mísseis defensivos capazes de destruir mísseis balísticos 40% das vezes, -1% por cada nível a mais da tecnologia do míssil inimigo.

MISSDEF_1_NAME      | Escudo Zyro
MISSDEF_1_BRIEF     | 75% de chance de destruir mísseis
MISSDEF_1_DETAIL    | Um escudo de energia que destrói mísseis balísticos e torpedos 75% das vezes, -1% por cada nível a mais da tecnologia do míssil inimigo.

MISSDEF_2_NAME      | Escudo Eletromagnético
MISSDEF_2_BRIEF     | 100% de chance de destruir mísseis
MISSDEF_2_DETAIL    | Um escudo de energia que destrói mísseis balísticos e torpedos 100% das vezes, -1% por cada nível a mais da tecnologia do míssil inimigo.


//
// Missile Weapon techs
//
MISSWPN_0_NAME      | Míssil Nuclear
MISSWPN_0_BRIEF     | 2 disparos, +1 quadrícula/turno
MISSWPN_0_BRIEF2    | 5 disparos
MISSWPN_0_DETAIL    | Mísseis com ogivas nucleares que explodem causando 4 pontos de dano e que se movem a uma velocidade de 2 quadrículas por turno.

MISSWPN_1_NAME      | Rockets Hipersónicos-V
MISSWPN_1_BRIEF     | 2 disparos, +1 quadrícula/turno
MISSWPN_1_BRIEF2    | 5 disparos
MISSWPN_1_DETAIL    | Mísseis velozes que explodem causando 6 pontos de dano e que se movem a uma velocidade de 2,5 quadrículas por turno.

MISSWPN_2_NAME      | Rockets Hipersónicos-X
MISSWPN_2_BRIEF     | 2 disparos, +1 de precisão
MISSWPN_2_BRIEF2    | 5 disparos, +1 de precisão
MISSWPN_2_DETAIL    | Mísseis equipados com ogivas altamente energizadas e que explodem causando 8 pontos de dano, movendo-se a uma velocidade de 2,5 quadrículas por turno e sendo controlados por um computador de controlo de disparo que equivale a mais 1 nível sobre o Nível de Ataque atual.

MISSWPN_3_NAME      | Rockets Hipersónicos-V MIRV
MISSWPN_3_BRIEF     | 2 disparos, +1 quadrícula/turno
MISSWPN_3_BRIEF2    | 5 disparos
MISSWPN_3_DETAIL    | Versão MIRV dos Rockets Hipersónicos-V que se desagrega em cinco ogivas separadas, explodindo cada uma com 6 pontos de dano e movendo-se a uma velocidade de 2,5 quadrículas por turno.

MISSWPN_4_NAME      | Mísseis de Merculite
MISSWPN_4_BRIEF     | 2 disparos, +2 de precisão
MISSWPN_4_BRIEF2    | 5 disparos, +2 de precisão
MISSWPN_4_DETAIL    | Mísseis velozes e contundentes que explodem causando 10 pontos de dano, movendo-se a uma velocidade de 3 quadrículas por turno, e sendo controlados por um computador de controlo de disparo que equivale a mais 2 níveis sobre o Nível de Ataque atual.

MISSWPN_5_NAME      | Mísseis Stinger
MISSWPN_5_BRIEF     | 2 disparos, +3 de precisão
MISSWPN_5_BRIEF2    | 5 disparos, +3 de precisão
MISSWPN_5_DETAIL    | Mísseis lentos mas hiperprecisos capazes de 15 pontos de dano, movendo-se a uma velocidade de  3.5, e sendo controlados por um sofisticado computador de controlo que equivale a mais 3 níveis sobre o Nível de Ataque atual.

MISSWPN_6_NAME      | Mísseis MIRV VII
MISSWPN_6_BRIEF     | 2 disparos, MIRV 7
MISSWPN_6_BRIEF2    | 5 disparos, MIRV 7
MISSWPN_6_DETAIL    | Versão MIRV dos Rockets Hipersónicos-X que se desagrega em 7 ogivas separadas que explodem causando 10 pontos de dano cada uma, movendo-se a uma velocidade de 3 quadrículas por turno, e sendo guiados por um computador de controlo de disparo que equivale a mais 2 níveis sobre o Nível de Ataque atual.

MISSWPN_7_NAME      | Mísseis Pulson
MISSWPN_7_BRIEF     | 2 disparos, +4 de precisão
MISSWPN_7_BRIEF2    | 5 disparos, +4 de precisão
MISSWPN_7_DETAIL    | Mísseis potentes equipados com ogivas de antimatéria que explodem causando 20 pontos de dano, movendo-se a uma velocidade de 4 quadrículas por turno, e sendo controlados por um computador de controlo de disparo que equivale a mais 4 níveis sobre o Nível de Ataque atual.

MISSWPN_8_NAME      | Mísseis Hercúleos
MISSWPN_8_BRIEF     | 2 disparos, +5 de precisão
MISSWPN_8_BRIEF2    | 5 disparos, +5 de precisão
MISSWPN_8_DETAIL    | Míssil altamente avançado que explode causando 25 pontos de dano. Os Mísseis Hercúleos movem-se a uma velocidade de 4.5 quadrículas por turno e são controlados por um computador de controlo de disparo que equivale a mais 5 níveis sobre o Nível de Ataque atual.

MISSWPN_9_NAME      | Mísseis Zeon
MISSWPN_9_BRIEF     | 2 disparos, +6 de precisão
MISSWPN_9_BRIEF2    | 5 disparos, +6 de precisão
MISSWPN_9_DETAIL    | O tipo de míssil mais avançado possível. Capaz de atingir as naves inimigas com 30 pontos de dano e movendo-se a uma velocidade de 5 quadrículas por turno, é guiado por um computador de controlo de disparo que equivale a mais 6 níveis sobre o Nível de Ataque atual.

MISSWPN_10_NAME      | Mísseis MIRV X
MISSWPN_10_BRIEF     | 2 disparos, MIRV 10
MISSWPN_10_BRIEF2    | 5 disparos, MIRV 10
MISSWPN_10_DETAIL    | Versão MIRV dos Mísseis Stinger que se desagrega em 10 ogivas separadas que explodem causando 15 pontos de dano cada uma, movendo-se a uma velocidade de 3,5 quadrículas por turno, e sendo guiados por um computador de controlo de disparo que equivale a mais 3 níveis sobre o Nível de Ataque atual.


//
// Personal Shield techs for ground combat
//
// default "no shield" tech that each player starts with
PERSSHIELD_0_NAME     | 
PERSSHIELD_0_DETAIL   | 

PERSSHIELD_1_NAME     | Escudo Defletor Pessoal
PERSSHIELD_1_DETAIL   | Protege soldados individuais com um campo de forças direcional. Acrescenta 10 pontos ao valor aleatório atribuído às tuas tropas, de 1-100, em cada turno de combate terrestre. É eliminado um soldado ao perdedor de cada turno (aquele com o menor valor total).

PERSSHIELD_2_NAME     | Escudo de Absorção Pessoal
PERSSHIELD_2_DETAIL   | Absorve dano de todas as armas portáteis. Acrescenta 20 pontos ao valor aleatório atribuído às tuas tropas, de 1-100, em cada turno de combate terrestre. É eliminado um soldado ao perdedor de cada turno (aquele com o menor valor total).

PERSSHIELD_3_NAME     | Escudo de Barreira Pessoal
PERSSHIELD_3_DETAIL   | Envolve completamente o soldado num campo de forças praticamente impenetrável. Acrescenta 30 pontos ao valor aleatório atribuído às tuas tropas, de 1-100, em cada turno de combate terrestre. É eliminado um soldado ao perdedor de cada turno (aquele com o menor valor total).

//
// Planetary Shield techs 
//
PLANETSHIELD_0_NAME    | Escudos Planetários de Classe V
PLANETSHIELD_0_DETAIL  | Absorve 5 pontos de dano de todos os ataques contra a superfície planetária, contribuindo para os escudos defletores das bases de mísseis.

PLANETSHIELD_1_NAME    | Escudos Planetários de Classe X
PLANETSHIELD_1_DETAIL  | Absorve 10 pontos de dano de todos os ataques contra a superfície planetária, contribuindo para os escudos defletores das bases de mísseis.

PLANETSHIELD_2_NAME    | Escudos Planetários de Classe XV
PLANETSHIELD_2_DETAIL  | Absorve 15 pontos de dano de todos os ataques contra a superfície planetária, contribuindo para os escudos defletores das bases de mísseis.

PLANETSHIELD_3_NAME    | Escudos Planetários de Classe XX
PLANETSHIELD_3_DETAIL  | Absorve 20 pontos de dano de todos os ataques contra a superfície planetária, contribuindo para os escudos defletores das bases de mísseis.


//
// Repulsor tech 
//
REPULSOR_0_NAME    | Raio Repulsor
REPULSOR_0_BRIEF   | As naves inimigas retrocedem 1 quadrícula
REPULSOR_0_DETAIL  | Repele as naves inimigas uma quadrícula para trás. Para esta arma especial funcionar, os alvos têm de estar numa quadrícula adjacente.


//
// Reserve Fuel tech 
//
RSRVFUEL_0_NAME    | Reserva dos Tanques de Combustível
RSRVFUEL_0_BRIEF   | Prolonga o alcance da nave por %1 anos-luz
RSRVFUEL_0_DETAIL  | Ter reservas de Combustível contribui para o alcance das naves.


//
// Robotic Controls techs 
//
ROBOTCTRL_0_NAME     | Controlos Robóticos Melhorados III
ROBOTCTRL_0_DETAIL   | Possibilita que 3 fábricas operem por unidade de população. O custo reajustado para efetuar melhorias equivale a metade do custo-padrão de cada fábrica individual.

ROBOTCTRL_1_NAME     | Controlos Robóticos Melhorados IV
ROBOTCTRL_1_DETAIL   | Possibilita que 4 fábricas operem por unidade de população. O custo reajustado para efetuar melhorias equivale ao custo-padrão de cada fábrica individual.

ROBOTCTRL_2_NAME     | Controlos Robóticos Melhorados V
ROBOTCTRL_2_DETAIL   | Possibilita que 5 fábricas operem por unidade de população. O custo reajustado para efetuar melhorias equivale a 1.5 vez o custo-padrão de cada fábrica individual.

ROBOTCTRL_3_NAME     | Controlos Robóticos Melhorados VI
ROBOTCTRL_3_DETAIL   | Possibilita que 6 fábricas operem por unidade de população. O custo reajustado para efetuar melhorias equivale ao dobro do custo-padrão de cada fábrica individual.

ROBOTCTRL_4_NAME     | Controlos Robóticos Melhorados VII
ROBOTCTRL_4_DETAIL   | Possibilita que 7 fábricas operem por unidade de população. O custo reajustado para efetuar melhorias equivale a 2.5 vezes o custo-padrão de cada fábrica individual.


//
// Scanner techs 
//
SCANNER_0_NAME       | Scanner de Batalha
SCANNER_0_BRIEF      | Deteta naves inimigas em combate
SCANNER_0_DETAIL     | Revela detalhes técnicos de cada uma das naves do inimigo quando em combate.

SCANNER_1_NAME       | Scanner do Espaço Profundo
SCANNER_1_BRIEF      | Deteta naves até 5 anos-luz de distância.
SCANNER_1_DETAIL     | Deteta naves inimigas até 5 anos-luz de distância das tuas colónias e 1 ano-luz de distância das tuas naves.

SCANNER_2_NAME       | Scanner do Espaço Melhorado
SCANNER_2_BRIEF      | Deteta naves e seus destinos até 7 anos-luz de distância
SCANNER_2_DETAIL     | Deteta naves inimigas até 7 anos-luz de distância das tuas colónias e 2 anos-luz de distância das tuas naves. Os destinos das naves podem ser determinados.

SCANNER_3_NAME       | Scanner do Espaço Avançado
SCANNER_3_BRIEF      | Permite a exploração de planetas até 9 anos-luz de distância 
SCANNER_3_DETAIL     | Permite a exploração de planetas a partir de bases das tuas colónias até 9 anos-luz de distância e deteta naves inimigas até 3 anos-luz de distância das tuas.


//
// Ship Inertial techs 
//
SHIPINERTIAL_0_NAME     | Estabilizador de Inércia
SHIPINERTIAL_0_BRIEF    | Acrescenta 2 pontos a categorias da movimentação das naves
SHIPINERTIAL_0_DETAIL   | Reduz a inércia das naves, contribuindo em 2 categorias (+2 pontos de defesa e +1 de deslocação).

SHIPINERTIAL_1_NAME     | Anulador de Inércia
SHIPINERTIAL_1_BRIEF    | Acrescenta 4 pontos a categorias da movimentação das naves
SHIPINERTIAL_1_DETAIL   | Anula a inércia das naves, contribuindo em 4 categorias. Também reduz o efeito de ataques de Buracos Negros em -30%.


//
// Ship Inertial techs 
//
SHIPNULLIFIER_0_NAME     | Anulador de Tecnologia
SHIPNULLIFIER_0_BRIEF    | Destrói os computadores inimigos
SHIPNULLIFIER_0_DETAIL   | Danifica os Controlos do Disparo e CME do inimigo, reduzindo-os em 2-6 níveis por ataque. O seu alcance excede o da maioria das armas.

SHIPNULLIFIER_1_NAME     | Dissipador de Dobra Espacial
SHIPNULLIFIER_1_BRIEF    | Reduz a velocidade das naves inimigas
SHIPNULLIFIER_1_DETAIL   | Os Dissipadores de Dobra Espacial são armas de longo alcance que perturbam os motores das naves inimigas, afetando a sua velocidade máxima a cada ataque.


//
// Ship Weapon techs 
//
SHIPWPN_0_NAME         | Laser
SHIPWPN_0_ITEM2        | Arma Laser
SHIPWPN_0_DETAIL       | Uma arma que dispara um raio laser capaz de inflingir 1-4 pontos de dano. Possuem um alcance de duas quadrículas e lasers have a two space range and do 1-7 pontos de dano.

SHIPWPN_1_NAME         | Laser Automático
SHIPWPN_1_BRIEF        | Dispara 4 vezes/turno
SHIPWPN_1_DETAIL       | Uma arma laser avançada capaz de disparar até quatro vezes por turno, com um dano de 1-4 pontos de dano a cada disparo.

SHIPWPN_2_NAME         | Espingarda de Neutrões
SHIPWPN_2_BRIEF        | Reduz para Metade a Força dos Escudos
SHIPWPN_2_DETAIL       | Dispara um intenso feixe de partículas que reduz para metade a capacidade dos escudos defletores do inimigo ao mesmo tempo que inflinge 2 a 5 pontos de dano.

SHIPWPN_3_NAME         | Canhão de Iões
SHIPWPN_3_ITEM2        | Canhão de Iões
SHIPWPN_3_DETAIL       | Arma de artilharia laser capaz de inflingir 3-8 pontos de dano. A versão pesada provoca 3-15 pontos de dano e tem um alcance de duas quadrículas.

SHIPWPN_4_NAME         | Acelerador de Massa
SHIPWPN_4_BRIEF        | Reduz para Metade a Força dos Escudos
SHIPWPN_4_DETAIL       | Um canhão eletromagnético linear que reduz para metade a capacidade dos escudos defletores do inimigo ao mesmo tempo que inflinge 5-8 pontos de dano.

SHIPWPN_5_NAME         | Blaster de Neutrões
SHIPWPN_5_ITEM2        | Arma Blaster de Neutrões
SHIPWPN_5_DETAIL       | Uma arma que dispara raios intensos capazes de inflingir 3-12 pontos de dano. A versão pesada provoca 3-24 pontos de dano e tem um alcance de duas quadrículas.

SHIPWPN_6_NAME         | Laser de Gravitões
SHIPWPN_6_BRIEF        | Feixe de Ataque Trator-repulsor
SHIPWPN_6_DETAIL       | Dispara um raio com trator-repulsor capaz de desfazer naves em pedaços. Ataca com 1-15 pontos de dano, e o efeito da corrente contínua faz com que o excesso de dano passe para as outras naves.

SHIPWPN_7_NAME         | Raio de Energia Convertida
SHIPWPN_7_BRIEF        | Reduz para Metade a Força dos Escudos
SHIPWPN_7_DETAIL       | Uma arma de raios de energia convertida em matéria que reduz para metade a capacidade dos escudos defletores do inimigo ao mesmo tempo de inflinge 8-12 pontos de dano.

SHIPWPN_8_NAME         | Raio de Fusão
SHIPWPN_8_ITEM2        | Raio de Fusão Nuclear
SHIPWPN_8_DETAIL       | Uma arma potente capaz de inflingir 4-16 pontos de dano. A versão pesada provoca 4-30 pontos de dano e possui um alcance de 2 quadrículas.

SHIPWPN_9_NAME         | Canhão de Megarraios
SHIPWPN_9_BRIEF        | +3 níveis de precisão
SHIPWPN_9_DETAIL       | Liberta raios de energia pura sobre um vasto campo. Possui uma chance bónus de acertar no alvo de +30%  e provoca 2-20 pontos de dano.

SHIPWPN_10_NAME        | Phaser
SHIPWPN_10_ITEM2       | Phaser Pesado
SHIPWPN_10_DETAIL      | Dispara raios de energia phaser capazes inflingir 5 a 20 pontos de dano. A versão pesada provoca 5-40 pontos de dano e possui um alcance de duas quadrículas.

SHIPWPN_11_NAME        | Blaster Automática
SHIPWPN_11_BRIEF       | Dispara 3 vezes/turno
SHIPWPN_11_DETAIL      | Uma blaster de neutrões avançada capaz de disparar até três vezes por turno, com um dano de 4-16 pontos a cada disparo.

SHIPWPN_12_NAME        | Laser Taquiónico
SHIPWPN_12_BRIEF       | Feixe de Ataque
SHIPWPN_12_DETAIL      | Dispara uma raio intenso de taquiões que atingem as naves inimigas com um dano de 1-25 pontos. O efeito da corrente contínua faz com que o excesso de dano passe para as outras naves.

SHIPWPN_13_NAME        | Canhão de Gauss Automático
SHIPWPN_13_BRIEF       | 1/2 dos Escudos, 4 Disparos
SHIPWPN_13_DETAIL      | Um canhão eletromagnético linear avançado capaz de 4 disparos de projéteis explosivos por turno, inflingindo 7 a 10 pontos de dano cada um. Os projéteis também reduzem para metade a capacidade dos escudos do inimigo.

SHIPWPN_14_NAME        | Feixe de Partículas
SHIPWPN_14_BRIEF       | Reduz para Metade a Força dos Escudos
SHIPWPN_14_DETAIL      | Um acelerador de partículas altamente carregadas capaz de inflingir 10-20 pontos de dano sobre as naves inimigas enquanto reduz para metade a capacidade dos seus escudos defletores.

SHIPWPN_15_NAME        | Canhão de Plasma
