

//
// Armor techs
// 
ARMOR_0_NAME     | Titánový pancier
FUTURECONST_7_DETAIL  | Pokročilé inovácie v oblasti strojárstva.

FUTURECONST_8_NAME    | Strojárstvo budúcnosti IX
FUTURECONST_8_DETAIL  | Pokročilé inovácie v oblasti strojárstva.

FUTURECONST_9_NAME    | Strojárstvo budúcnosti X
FUTURECONST_9_DETAIL  | Pokročilé inovácie v oblasti strojárstva.


//
// Future Force Field techs
//
FUTUREFORCE_0_NAME    | Silové pole budúcnosti I
FUTUREFORCE_0_DETAIL  | Pokročilé inovácie v oblasti silových polí.

FUTUREFORCE_1_NAME    | Silové pole budúcnosti II
FUTUREFORCE_1_DETAIL  | Pokročilé inovácie v oblasti silových polí.

FUTUREFORCE_2_NAME    | Silové pole budúcnosti III
FUTUREFORCE_2_DETAIL  | Pokročilé inovácie v oblasti silových polí.

FUTUREFORCE_3_NAME    | Silové pole budúcnosti IV
FUTUREFORCE_3_DETAIL  | Pokročilé inovácie v oblasti silových polí.

FUTUREFORCE_4_NAME    | Silové pole budúcnosti V
FUTUREFORCE_4_DETAIL  | Pokročilé inovácie v oblasti silových polí.

FUTUREFORCE_5_NAME    | Silové pole budúcnosti VI
FUTUREFORCE_5_DETAIL  | Pokročilé inovácie v oblasti silových polí.

FUTUREFORCE_6_NAME    | Silové pole budúcnosti VII
FUTUREFORCE_6_DETAIL  | Pokročilé inovácie v oblasti silových polí.

FUTUREFORCE_7_NAME    | Silové pole budúcnosti VIII
FUTUREFORCE_7_DETAIL  | Pokročilé inovácie v oblasti silových polí.

FUTUREFORCE_8_NAME    | Silové pole budúcnosti IX
FUTUREFORCE_8_DETAIL  | Pokročilé inovácie v oblasti silových polí.

FUTUREFORCE_9_NAME    | Silové pole budúcnosti X
FUTUREFORCE_9_DETAIL  | Pokročilé inovácie v oblasti silových polí.


//
// Future Planetology techs
//
FUTUREPLANET_0_NAME    | Planetológia budúcnosti I
FUTUREPLANET_0_DETAIL  | Pokročilé inovácie v oblasti planetológie.

FUTUREPLANET_1_NAME    | Planetológia budúcnostiII
FUTUREPLANET_1_DETAIL  | Pokročilé inovácie v oblasti planetológie.

FUTUREPLANET_2_NAME    | Planetológia budúcnosti III
FUTUREPLANET_2_DETAIL  | Pokročilé inovácie v oblasti planetológie.

FUTUREPLANET_3_NAME    | Planetológia budúcnosti IV
FUTUREPLANET_3_DETAIL  | Pokročilé inovácie v oblasti planetológie.

FUTUREPLANET_4_NAME    | Planetológia budúcnosti V
FUTUREPLANET_4_DETAIL  | Pokročilé inovácie v oblasti planetológie.

FUTUREPLANET_5_NAME    | Planetológia budúcnosti VI
FUTUREPLANET_5_DETAIL  | Pokročilé inovácie v oblasti planetológie.

FUTUREPLANET_6_NAME    | Planetológia budúcnosti VII
FUTUREPLANET_6_DETAIL  | Pokročilé inovácie v oblasti planetológie.

FUTUREPLANET_7_NAME    | Planetológia budúcnosti VIII
FUTUREPLANET_7_DETAIL  | Pokročilé inovácie v oblasti planetológie.

FUTUREPLANET_8_NAME    | Planetológia budúcnosti IX
FUTUREPLANET_8_DETAIL  | Pokročilé inovácie v oblasti planetológie.

FUTUREPLANET_9_NAME    | Planetológia budúcnosti X
FUTUREPLANET_9_DETAIL  | Pokročilé inovácie v oblasti planetológie.


//
// Future Propulsion techs
//
FUTUREPROP_0_NAME    | Pohon budúcnosti I
FUTUREPROP_0_DETAIL  | Pokročilé inovácie v oblasti pohonu.

FUTUREPROP_1_NAME    | Pohon budúcnosti II
FUTUREPROP_1_DETAIL  | Pokročilé inovácie v oblasti pohonu.

FUTUREPROP_2_NAME    | Pohon budúcnosti III
FUTUREPROP_2_DETAIL  | Pokročilé inovácie v oblasti pohonu.

FUTUREPROP_3_NAME    | Pohon budúcnosti IV
FUTUREPROP_3_DETAIL  | Pokročilé inovácie v oblasti pohonu.

FUTUREPROP_4_NAME    | Pohon budúcnosti V
FUTUREPROP_4_DETAIL  | Pokročilé inovácie v oblasti pohonu.

FUTUREPROP_5_NAME    | Pohon budúcnosti VI
FUTUREPROP_5_DETAIL  | Pokročilé inovácie v oblasti pohonu.

FUTUREPROP_6_NAME    | Pohon budúcnosti VII
FUTUREPROP_6_DETAIL  | Pokročilé inovácie v oblasti pohonu.

FUTUREPROP_7_NAME    | Pohon budúcnosti VIII
FUTUREPROP_7_DETAIL  | Pokročilé inovácie v oblasti pohonu.

FUTUREPROP_8_NAME    | Pohon budúcnosti IX
FUTUREPROP_8_DETAIL  | Pokročilé inovácie v oblasti pohonu.

FUTUREPROP_9_NAME    | Pohon budúcnosti X
FUTUREPROP_9_DETAIL  | Pokročilé inovácie v oblasti pohonu.


//
// Future Weapon techs
//
FUTUREWEAPON_0_NAME    | Zbraň budúcnosti I
FUTUREWEAPON_0_DETAIL  | Pokročilé inovácie v oblasti zbraní.

FUTUREWEAPON_1_NAME    | Zbraň budúcnosti II
FUTUREWEAPON_1_DETAIL  | Pokročilé inovácie v oblasti zbraní.

FUTUREWEAPON_2_NAME    | Zbraň budúcnosti III
FUTUREWEAPON_2_DETAIL  | Pokročilé inovácie v oblasti zbraní.

FUTUREWEAPON_3_NAME    | Zbraň budúcnosti IV
FUTUREWEAPON_3_DETAIL  | Pokročilé inovácie v oblasti zbraní.

FUTUREWEAPON_4_NAME    | Zbraň budúcnosti V
FUTUREWEAPON_4_DETAIL  | Pokročilé inovácie v oblasti zbraní.

FUTUREWEAPON_5_NAME    | Zbraň budúcnosti VI
FUTUREWEAPON_5_DETAIL  | Pokročilé inovácie v oblasti zbraní.

FUTUREWEAPON_6_NAME    | Zbraň budúcnosti VII
FUTUREWEAPON_6_DETAIL  | Pokročilé inovácie v oblasti zbraní.

FUTUREWEAPON_7_NAME    | Zbraň budúcnosti VIII
FUTUREWEAPON_7_DETAIL  | Pokročilé inovácie v oblasti zbraní.

FUTUREWEAPON_8_NAME    | Zbraň budúcnosti IX
FUTUREWEAPON_8_DETAIL  | Pokročilé inovácie v oblasti zbraní.

FUTUREWEAPON_9_NAME    | Zbraň budúcnosti X
FUTUREWEAPON_9_DETAIL  | Pokročilé inovácie v oblasti zbraní.


//
// Hand Weapon techs
//
HANDWEAPON_0_NAME      | 
HANDWEAPON_0_DETAIL    | 

HANDWEAPON_1_NAME      | Ručný laser
HANDWEAPON_1_DETAIL    | Osobné lasery pridávajú 5 bodov k zásahu pri pozemných súbojoch.

HANDWEAPON_2_NAME      | Iónová puška
HANDWEAPON_2_DETAIL    | Osobný lúčomet. Pridáva 10 bodov k zásahu pri pozemných súbojoch.

HANDWEAPON_3_NAME      | Fúzna puška
HANDWEAPON_3_DETAIL    | Nepresná, ale neuveriteľne silná energetická zbraň, ktorá pridáva 20 bodov k zásahu v boji na zemi.

HANDWEAPON_4_NAME      | Ručný fázer
HANDWEAPON_4_DETAIL    | Silné ručné energetické zbrane schopné rozložiť protivníka na atómy. Pridáva 25 k zásahu v pozemnom boji.

HANDWEAPON_5_NAME      | Plazmová puška
HANDWEAPON_5_DETAIL    | Najničivejšia dostupná ručná zbraň. Pridáva 30 bodov k zásahu v boji na zemi.


//
// Hyperspace Communication tech
//
HYPERSPACE_0_NAME      | Hyperpriestorová komunikácia
HYPERSPACE_0_DETAIL    | Umožní vám komunikovať s flotilami lodí v hyperpriestore a meniť ich destinácie, keď sú v tranzite.


//
// Improved Industrial techs
//
IMPRINDUSTRY_0_NAME     | Vylepšená priemyselná technika 9
IMPRINDUSTRY_0_DETAIL   | Zníži náklady na výstavbu továrne na 9 BC za kus.

IMPRINDUSTRY_1_NAME     | Vylepšená priemyselná technika 8
IMPRINDUSTRY_1_DETAIL   | Zníži náklady na výstavbu továrne na 8 BC za kus.

IMPRINDUSTRY_2_NAME     | Vylepšená priemyselná technika 7
IMPRINDUSTRY_2_DETAIL   | Zníži náklady na výstavbu továrne na 7 BC za kus.

IMPRINDUSTRY_3_NAME     | Vylepšená priemyselná technika 6
IMPRINDUSTRY_3_DETAIL   | Zníži náklady na výstavbu továrne na6 BC za kus.

IMPRINDUSTRY_4_NAME     | Vylepšená priemyselná technika 5
IMPRINDUSTRY_4_DETAIL   | Zníži náklady na výstavbu továrne na 5 BC za kus.

IMPRINDUSTRY_5_NAME     | Vylepšená priemyselná technika 4
IMPRINDUSTRY_5_DETAIL   | Zníži náklady na výstavbu továrne na 4 BC za kus.

IMPRINDUSTRY_6_NAME     | Vylepšená priemyselná technika 3
IMPRINDUSTRY_6_DETAIL   | Zníži náklady na výstavbu továrne na 3 BC za kus.

IMPRINDUSTRY_7_NAME     | Vylepšená priemyselná technika 2
IMPRINDUSTRY_7_DETAIL   | Zníži náklady na výstavbu továrne na 2 BC za kus.


//
// Improved Terraforming techs
//
IMPRTFORM_0_NAME        | Vylepšené teraformovanie +10
IMPRTFORM_0_DETAIL      | Navýši kapacitu populácie planét o 10 miliónov za cenu 5 BC na milión obyvateľov.

IMPRTFORM_1_NAME        | Vylepšené teraformovanie +20
IMPRTFORM_1_DETAIL      | Navýši kapacitu populácie planét o 20 miliónov za cenu 5 BC na milión obyvateľov.

IMPRTFORM_2_NAME        | Vylepšené teraformovanie +30
IMPRTFORM_2_DETAIL      | Navýši kapacitu populácie planét o 30 miliónov za cenu 4 BC na milión obyvateľov.

IMPRTFORM_3_NAME        | Vylepšené teraformovanie +40
IMPRTFORM_3_DETAIL      | Navýši kapacitu populácie planét o 40 miliónov za cenu 4 BC na milión obyvateľov.

IMPRTFORM_4_NAME        | Vylepšené teraformovanie +50
IMPRTFORM_4_DETAIL      | Navýši kapacitu populácie planét o 50 miliónov za cenu 3 BC na milión obyvateľov.

IMPRTFORM_5_NAME        | Vylepšené teraformovanie +60
IMPRTFORM_5_DETAIL      | Navýši kapacitu populácie planét o 60 miliónov za cenu 3 BC na milión obyvateľov.

IMPRTFORM_6_NAME        | Vylepšené teraformovanie +80
IMPRTFORM_6_DETAIL      | Navýši kapacitu populácie planét o 80 miliónov za cenu 2 BC na milión obyvateľov.

IMPRTFORM_7_NAME        | Vylepšené teraformovanie +100
IMPRTFORM_7_DETAIL      | Navýši kapacitu populácie planét o 100 miliónov za cenu 2 BC na milión obyvateľov.

IMPRTFORM_8_NAME        | Úplné teraformovanie
IMPRTFORM_8_DETAIL      | Navýši kapacitu populácie planét o 120 miliónov za cenu 2 BC na milión obyvateľov.


//
// Industrial Waste techs
//
INDWASTE_0_NAME         | Zníženie priemyselného odpadu 80%
INDWASTE_0_DETAIL       | Zníži úroveň znečistenia z tovární na 80%.

INDWASTE_1_NAME         | Zníženie priemyselného odpadu 60%
INDWASTE_1_DETAIL       | Zníži úroveň znečistenia z tovární na 60%.

INDWASTE_2_NAME         | Zníženie priemyselného odpadu 40%
INDWASTE_2_DETAIL       | Zníži úroveň znečistenia z tovární na 40%.

INDWASTE_3_NAME         | Zníženie priemyselného odpadu 20%
INDWASTE_3_DETAIL       | Zníži úroveň znečistenia z tovární na 20%.

INDWASTE_4_NAME         | Eliminácia priemyselného odpadu
INDWASTE_4_DETAIL       | Továrne viac neznečisťujú životné prostredie.


//
// Missile Defense techs
//
MISSDEF_0_NAME      | Protiraketové strely
MISSDEF_0_BRIEF     | 40% šanca na zničenie rakiet
MISSDEF_0_DETAIL    | Trans-svetelné rakety schopné zničiť prichádzajúce rakety v 40% prípadov, -1 % za technologickú úroveň rakety.

MISSDEF_1_NAME      | Štít Zyro
MISSDEF_1_BRIEF     | 75% šanca na zničenie rakiet
MISSDEF_1_DETAIL    | Energetické pole, ktoré zničí prichádzajúce rakety a torpéda v 75% prípadov, -1 % za technologickú úroveň rakety.

MISSDEF_2_NAME      | Bleskový štít
MISSDEF_2_BRIEF     | 100% šanca, že rakety budú zničené
MISSDEF_2_DETAIL    | Energetické pole, ktoré zničí prichádzajúce rakety a torpéda v 100% prípadov, -1 % za technologickú úroveň rakety.


//
// Missile Weapon techs
//
MISSWPN_0_NAME      | Jadrové strely
MISSWPN_0_BRIEF     | 2 strely, +1 rýchlosť
MISSWPN_0_BRIEF2    | 5 striel
MISSWPN_0_DETAIL    | Strely s jadrovými hlavicami spôsobia 4 body poškodenia a pohybujú sa rýchlosťou 2.

MISSWPN_1_NAME      | Rakety Hyper-V
MISSWPN_1_BRIEF     | 2 strely, +1 rýchlosť
MISSWPN_1_BRIEF2    | 5 striel
MISSWPN_1_DETAIL    | Rýchle strely, ktoré spôsobia 6 bodov poškodenia a pohybujú sa rýchlosťou 2,5.

MISSWPN_2_NAME      | Rakety Hyper-X
MISSWPN_2_BRIEF     | 2 strely, +1 k zásahu
MISSWPN_2_BRIEF2    | 5 striel, +1 k zásahu
MISSWPN_2_DETAIL    | Strely vybavené vysoko energetickými hlavicami spôsobia poškodenie za 8 bodov. Pohybujú sa rýchlosťou 2,5 a sú riadené zameriavacím počítačom úrovne +1.

MISSWPN_3_NAME      | Rozptylové rakety V
MISSWPN_3_BRIEF     | 2 strely, +1 rýchlosť
MISSWPN_3_BRIEF2    | 5 striel
MISSWPN_3_DETAIL    | Verzia rakiet Hyper-V, ktorá sa pri odpálení rozdelí na 5 samostatných hlavíc. Každá hlavica spôsobí 6 bodov poškodenia a pohybuje sa rýchlosťou 2,5.

MISSWPN_4_NAME      | Merkulitové rakety
MISSWPN_4_BRIEF     | 2 strely, +2 na zásah
MISSWPN_4_BRIEF2    | 5 striel, +2 na zásah
MISSWPN_4_DETAIL    | Rýchle strely s tvrdým zásahom, ktoré spôsobujú 10-bodové poškodenie. Pohybujú sa rýchlosťou 3 a sú riadené zameriavacím počítačom +2.

MISSWPN_5_NAME      | Rakety Stinger
MISSWPN_5_BRIEF     | 2 strely, +3 na zásah
MISSWPN_5_BRIEF2    | 5 striel, +3 na zásah
MISSWPN_5_DETAIL    | Pomalé, hyperpresné strely, ktoré spôsobujú 15-bodové poškodenie. Pohybujú sa rýchlosťou 3,5 a sú riadené sofistikovaným zameriavacím počítačom +3.

MISSWPN_6_NAME      | Rozptylové rakety VII
MISSWPN_6_BRIEF     | 2 strely, 7 hlavíc
MISSWPN_6_BRIEF2    | 5 striel, 7 hlavíc
MISSWPN_6_DETAIL    | Verzia rakiet Hyper-X. Pozostáva zo 7 samostatných hlavíc, pričom každá spôsobuje 10 bodov poškodenia. Pohybujú sa rýchlosťou 3 a sú navádzané zameriavacím počítačom +2.

MISSWPN_7_NAME      | Pulzné rakety
MISSWPN_7_BRIEF     | 2 strely, +4 na zásah
MISSWPN_7_BRIEF2    | 5 striel, +4 na zásah
MISSWPN_7_DETAIL    | Výkonné strely vybavené hlavicami plnené antihmotou. Spôsobujú 20-bodové poškodenie, pohybujú sa rýchlosťou 4 a sú riadené zameriavacím počítačom +4.

MISSWPN_8_NAME      | Herkulove strely
MISSWPN_8_BRIEF     | 2 strely, +5 na zásah
MISSWPN_8_BRIEF2    | 5 striel, +5 na zásah
MISSWPN_8_DETAIL    | Vysoko sofistikovaná strela, ktorá exploduje a spôsobuje poškodenie za 25 bodov. Herkulova strela sa pohybuje rýchlosťou 4,5 a je riadená zameriavacím počítačom +5.

MISSWPN_9_NAME      | Rakety Zeon
MISSWPN_9_BRIEF     | 2 strely, +6 na zásah
MISSWPN_9_BRIEF2    | 5 striel, +6 na zásah
MISSWPN_9_DETAIL    | Najvyspelejšia dostupná strela. Dokáže zasiahnuť nepriateľské lode s poškodením 30 bodov a pohybuje sa rýchlosťou 5. Strelu navádza zameriavací počítač +6.

MISSWPN_10_NAME      | Rozptylové rakety X 
MISSWPN_10_BRIEF     | 2 strely, 10 hlavíc
MISSWPN_10_BRIEF2    | 5 striel, 10 hlavíc
MISSWPN_10_DETAIL    | Verzie rakiet Stinger. Delia sa na 10 samostatných hlavíc, z ktorých každá spôsobí 15 bodov poškodenia. Pohybujú sa rýchlosťou 3,5 a sú navádzané zameriavacím počítačom +3.


//
// Personal Shield techs for ground combat
//
// default "no shield" tech that each player starts with
PERSSHIELD_0_NAME     | 
PERSSHIELD_0_DETAIL   | 

PERSSHIELD_1_NAME     | Osobný ochranný štít
PERSSHIELD_1_DETAIL   | Chráni pozemné jednotky pomocou silového poľa. Pridáva +10 ku všetkým pozemným bojom.

PERSSHIELD_2_NAME     | Osobný pohlcujúci štít
PERSSHIELD_2_DETAIL   | Absorbuje poškodenie od ručných zbraní. Pridáva +20 ku všetkým pozemným súbojom.

PERSSHIELD_3_NAME     | Osobný bariérový štít
PERSSHIELD_3_DETAIL   | Uzavrie vojaka do takmer nepreniknuteľného silového poľa. Pridáva +30 ku všetkým hodom v pozemnom boji.


//
// Planetary Shield techs 
//
PLANETSHIELD_0_NAME    | Planetárne štíty triedy V
PLANETSHIELD_0_DETAIL  | Absorbuje 5 bodov poškodenia z útokov na povrchu planéty. Obklopuje a opevňuje už existujúce štíty raketových základní.

PLANETSHIELD_1_NAME    | Planetárne štíty triedy X
PLANETSHIELD_1_DETAIL  | Absorbuje 10 bodov poškodenia z útokov na povrchu planéty. Obklopuje a opevňuje už existujúce štíty raketových základní.

PLANETSHIELD_2_NAME    | Planetárne štíty triedy XV
PLANETSHIELD_2_DETAIL  | Absorbuje 15 bodov poškodenia z útokov na povrchu planéty. Obklopuje a opevňuje už existujúce štíty raketových základní.

PLANETSHIELD_3_NAME    | Planetárne štíty triedy XX
PLANETSHIELD_3_DETAIL  | Absorbuje 20 bodov poškodenia z útokov na povrchu planéty. Obklopuje a opevňuje už existujúce štíty raketových základní.


//
// Repulsor tech 
//
REPULSOR_0_NAME    | Lúč odpudzovač
REPULSOR_0_BRIEF   | Vráti nepriateľské lode o 1 pole späť
REPULSOR_0_DETAIL  | Odpudzuje nepriateľské lode o jedno miesto od brániacej sa lode. Táto špeciálna zbraň má dosah jedno pole.


//
// Reserve Fuel tech 
//
RSRVFUEL_0_NAME    | Záložné palivové nádrže
RSRVFUEL_0_BRIEF   | Predĺži dosah lode o %1 svetelné roky
RSRVFUEL_0_DETAIL  | Rezervné palivové nádrže zväčšujú dolet lode.


//
// Robotic Controls techs 
//
ROBOTCTRL_0_NAME     | Vylepšená automatizácia III
ROBOTCTRL_0_DETAIL   | Umožňuje prevádzku 3 tovární na obyvateľa. Náklady na modernizáciu sú polovica štandardných obstarávacích nákladov za každú továreň.

ROBOTCTRL_1_NAME     | Vylepšená automatizácia IV
ROBOTCTRL_1_DETAIL   | Umožňuje prevádzku 4 tovární na obyvateľa. Náklady na modernizáciu sa rovnajú obstarávacím nákladom za každú továreň.

ROBOTCTRL_2_NAME     | Vylepšená automatizácia V
ROBOTCTRL_2_DETAIL   | Umožňuje prevádzku 5 tovární na obyvateľa. Náklady na modernizáciu sú jedenapolnásobkom obstarávacích nákladov za každú továreň.

ROBOTCTRL_3_NAME     | Vylepšená automatizácia VI
ROBOTCTRL_3_DETAIL   | Umožňuje prevádzku 6 tovární na obyvateľa. Náklady na modernizáciu sú dvojnásobkom obstarávacích nákladov za každú továreň.

ROBOTCTRL_4_NAME     | Vylepšená automatizácia VII
ROBOTCTRL_4_DETAIL   | Umožňuje prevádzku 7 tovární na obyvateľa. Náklady na modernizáciu sú 2,5-násobkom obstarávacích nákladov za každú továreň.


//
// Scanner techs 
//
SCANNER_0_NAME       | Bojový skener
SCANNER_0_BRIEF      | Skenuje nepriateľské lode v boji
SCANNER_0_DETAIL     | Odhaľuje technické špecifikácie nepriateľských vesmírnych lodí v boji.

SCANNER_1_NAME       | Skener hlbokého vesmíru
SCANNER_1_BRIEF      | Detekuje lode do vzdialenosti 5 svetelných rokov
SCANNER_1_DETAIL     | Odhalí nepriateľské lode do vzdialenosti 5 svetelných rokov od vašich kolónií a 1 svetelný rok od vašich lodí.

SCANNER_2_NAME       | Vylepšený vesmírny skener
SCANNER_2_BRIEF      | Detekuje lode do vzdialenosti 7 svetelných rokov
SCANNER_2_DETAIL     | Odhalí nepriateľské lode do vzdialenosti 7 svetelných rokov od vašich kolónií a 2 svetelné roky od vašich lodí. Dajú sa určiť ciele nepriateľských lodí.

SCANNER_3_NAME       | Pokročilý vesmírny skener
SCANNER_3_BRIEF      | Umožňuje prieskum planét do vzdialenosti 9 svetelných rokov
SCANNER_3_DETAIL     | Umožňuje prieskum planét z koloniálnych základní až do vzdialenosti 9 svetelných rokov a detekuje nepriateľské lode až do vzdialenosti 3 svetelných rokov od vašich lodí.


//
// Ship Inertial techs 
//
SHIPINERTIAL_0_NAME     | Inerciálny stabilizátor 
SHIPINERTIAL_0_BRIEF    | Pridáva +2 k manévrovateľnosti
SHIPINERTIAL_0_DETAIL   | Znižuje zotrvačnosť lodí a pridá 2 triedy k manévrovateľnosti v boji (+2 k obrane a +1 k bojovej rýchlosti).

SHIPINERTIAL_1_NAME     | Inerciálny vypínač
SHIPINERTIAL_1_BRIEF    | Pridáva +4 k manévrovateľnosti
SHIPINERTIAL_1_DETAIL   | Znižuje zotrvačnosť lodí a pridá 4 triedy manévrovateľnosti v boji. Znižuje tiež účinok útokov generátorom čiernych dier o -30 %.


//
// Ship Inertial techs 
//
SHIPNULLIFIER_0_NAME     | Technologická rušička
SHIPNULLIFIER_0_BRIEF    | Ničí nepriateľské počítače
SHIPNULLIFIER_0_DETAIL   | Znefunční nepriateľské bojové počítače a ECM rušičky.  Znižuje ich úroveň o 2-6 úrovní na útok. Jeho dosah prevyšuje väčšinu lodných zbraní.

SHIPNULLIFIER_1_NAME     | Rozptyľovač Warpového pola
SHIPNULLIFIER_1_BRIEF    | Znižuje rýchlosť nepriateľských lodí
SHIPNULLIFIER_1_DETAIL   | Rozptyľovače warpu sú zbrane dlhého dosahu, ktoré narušujú pohon nepriateľských lodí. Každým útokom znižujú ich celkovú rýchlosť.


//
// Ship Weapon techs 
//
SHIPWPN_0_NAME         | Laser
SHIPWPN_0_ITEM2        | Ťažký laser
SHIPWPN_0_DETAIL       | Priamo strieľajúca energetická zbraň. Spôsobuje 1 až 4 body poškodenia. Ťažké lasery majú dosah dve polia a spôsobujú 1-7 bodov poškodenia.

SHIPWPN_1_NAME         | Guľometný laser
SHIPWPN_1_BRIEF        | Strieľa 4-krát/ťah
SHIPWPN_1_DETAIL       | Pokročilá verzia laseru, ktorý vystrelí až štyrikrát za ťah a pri každom zásahu spôsobí poškodenie za 1 až 4 body.

SHIPWPN_2_NAME         | Delo na neutrónové broky
SHIPWPN_2_BRIEF        | Znižuje úroveň štítu
SHIPWPN_2_DETAIL       | Zbraň strieľajúca prúd častíc, ktoré znižujú účinnosť nepriateľských štítov na polovicu. Spôsobuje 2 až 5 bodov poškodenia.

SHIPWPN_3_NAME         | Iónové delo
SHIPWPN_3_ITEM2        | Ťažké iónové delo
SHIPWPN_3_DETAIL       | Vysoko intenzívne energetické zbrane schopné spôsobiť 3-8 bodov poškodenia. Ťažké iónové delá zasahujú za 3-15 bodov a majú dosah dve polia.

SHIPWPN_4_NAME         | Elektromagnetický katapult
SHIPWPN_4_BRIEF        | Znižuje efektivitu štítu na polovicu
SHIPWPN_4_DETAIL       | Lineárny urýchľovač, ktorý znižuje účinnosť nepriateľských  štítov na polovicu. Spôsobuje 5-8 bodov poškodenia.

SHIPWPN_5_NAME         | Neutrónový lúčomet
SHIPWPN_5_ITEM2        | Ťažký neutrónový lúčomet
SHIPWPN_5_DETAIL       | Vysoko výkonné energetické zbrane schopné spôsobiť 3-12 bodov poškodenia. Ťažké neutrónové blastery spôsobujú 3-24 bodov a majú dosah 2 polia.

SHIPWPN_6_NAME         | Gravitónový lúč
SHIPWPN_6_BRIEF        | Útok prúdom častíc
SHIPWPN_6_DETAIL       | Vlečný pulzný lúč je schopný roztrhať lode na kusy. Zasiahne za 1-15 bodov poškodenia a efekt nepretržitého prúdu umožňuje preniesť poškodenie na okolité lode.

SHIPWPN_7_NAME         | Tvrdý lúč
SHIPWPN_7_BRIEF        | Znižuje silu štítu na polovicu
SHIPWPN_7_DETAIL       | Zbraň založená na princípe tranformácie energie na hmotu, ktorá znižuje účinnosť nepriateľských štítov na polovicu. Spôsobuje 8-12 bodov poškodenia.

SHIPWPN_8_NAME         | Fúzny lúč
SHIPWPN_8_ITEM2        | Ťažký fúzny lúč
SHIPWPN_8_DETAIL       | Vysoko intenzívna energetická zbraň schopná spôsobiť 4-16 bodov poškodenia. Ťažké fúzne lúče spôsobujú 4-30 bodov a majú dosah 2 polia.

SHIPWPN_9_NAME         | Bleskový kanón
SHIPWPN_9_BRIEF        | +3 úrovne k zásahu
SHIPWPN_9_DETAIL       | Vystreľuje viacero bleskov čistej energie, ktoré majú široký záber. Má +30% bonusovú šancu na zásah a spôsobuje 2-20 bodov poškodenia.

SHIPWPN_10_NAME        | Fázer
SHIPWPN_10_ITEM2       | Ťažký fázer
SHIPWPN_10_DETAIL      | Fázové energetické lúče dokážu spôsobiť 5 až 20 bodov poškodenia. Ťažké fázové lúče spôsobujú 5 až 40 bodov poškodenia a majú dosah dve polia. 

SHIPWPN_11_NAME        | Lúčomet
SHIPWPN_11_BRIEF       | Strieľa 3-krát za ťah
SHIPWPN_11_DETAIL      | Pokročilý neutrónový lúčomet, ktorý vystrelí trikrát za ťah s poškodením 4-16 bodov na zásah.

SHIPWPN_12_NAME        | Tachyónový lúč
SHIPWPN_12_BRIEF       | Útok prúdom častíc
SHIPWPN_12_DETAIL      | Vystreľuje intenzívny prúd tachyónových častíc, ktoré zasiahnu nepriateľské lode a spôsobia 1-25 bodov poškodenia. Efekt nepretržitého prúdu umožňuje, aby sa nadmerné poškodenie prenieslo na okolité lode.

SHIPWPN_13_NAME        | Gaussovo automatické delo
SHIPWPN_13_BRIEF       | 1/2 štíty, 4x strely
SHIPWPN_13_DETAIL      | Pokročilý lineárny urýchľovač schopný vystreliť 4 výbušné strely za ťah, z ktorých každá dokáže spôsobiť 7 až 10 bodov poškodenia. Strely znižujú účinnosť nepriateľských štítov na polovicu.

SHIPWPN_14_NAME        | Lúč častíc
SHIPWPN_14_BRIEF       | Znižuje silu štítu na polovicu
SHIPWPN_14_DETAIL      | Vysoko intenzívne urýchľovače častíc schopné zasiahnuť nepriateľské lode s poškodením 10-20 bodov a znížiť účinnosť štítov na polovicu.

SHIPWPN_15_NAME        | Plazmové delo
SHIPWPN_15_DETAIL      | Vystreľuje intenzívne energetické blesky, ktoré spôsobujú 6-30 bodov poškodenia.

SHIPWPN_16_NAME        | Lúč smrti
SHIPWPN_16_DETAIL      | Starobylá zbraň s neuveriteľne ničivou silou, ktorá spôsobuje 200-1000 bodov poškodenia a má dosah jedného poľa.

SHIPWPN_17_NAME        | Dizruptor
SHIPWPN_17_DETAIL      | Vypúšťa silné blesky čistej energie, ktoré môžu zasiahnuť nepriateľské ciele vzdialené až dve polia a spôsobiť im 10-40 bodov poškodenia.

SHIPWPN_18_NAME        | Pulzný fázer
SHIPWPN_18_BRIEF       | Vystrelí 3-krát za ťah
SHIPWPN_18_DETAIL      | Pokročilý fázer schopný vystreliť 3 strely za ťah s poškodením 5-20 bodov pri každom zásahu.

SHIPWPN_19_NAME        | Plazmové trojdelo
SHIPWPN_19_DETAIL      | Vystreľuje trojicu vysoko intenzívnych plazmových lúčov schopných spôsobiť 20 až 50 bodov poškodenia.

SHIPWPN_20_NAME        | Stelárny konvertor
SHIPWPN_20_BRIEF       | Zasahuje všetky štyri štíty
SHIPWPN_20_DETAIL      | Obklopí cieľ extrémne silným poľom premeny hmoty na energiu a spôsobí štyri útoky s hodnotou 10 až 35 bodov. Má dosah 3 polia.

SHIPWPN_21_NAME        | Drvič
SHIPWPN_21_DETAIL      | Vypustí obrovské množstvo sústredenej energie na nepriateľské ciele a spôsobí im 20-100 bodov poškodenia.
