

//
// Armor techs
// 
ARMOR_0_NAME     | Titanium Panzerung
FUTUREFORCE_1_NAME    | Zukunftskraftfelder II
FUTUREFORCE_1_DETAIL  | Generelle Verbesserungen in der Kraftfeldtechnologie.

FUTUREFORCE_2_NAME    | Zukunftskraftfelder III
FUTUREFORCE_2_DETAIL  | Generelle Verbesserungen in der Kraftfeldtechnologie.

FUTUREFORCE_3_NAME    | Zukunftskraftfelder IV
FUTUREFORCE_3_DETAIL  | Generelle Verbesserungen in der Kraftfeldtechnologie.

FUTUREFORCE_4_NAME    | Zukunftskraftfelder V
FUTUREFORCE_4_DETAIL  | Generelle Verbesserungen in der Kraftfeldtechnologie.

FUTUREFORCE_5_NAME    | Zukunftskraftfelder VI
FUTUREFORCE_5_DETAIL  | Generelle Verbesserungen in der Kraftfeldtechnologie.

FUTUREFORCE_6_NAME    | Zukunftskraftfelder VII
FUTUREFORCE_6_DETAIL  | Generelle Verbesserungen in der Kraftfeldtechnologie.

FUTUREFORCE_7_NAME    | Zukunftskraftfelder VIII
FUTUREFORCE_7_DETAIL  | Generelle Verbesserungen in der Kraftfeldtechnologie.

FUTUREFORCE_8_NAME    | Zukunftskraftfelder IX
FUTUREFORCE_8_DETAIL  | Generelle Verbesserungen in der Kraftfeldtechnologie.

FUTUREFORCE_9_NAME    | Zukunftskraftfelder X
FUTUREFORCE_9_DETAIL  | Generelle Verbesserungen in der Kraftfeldtechnologie.


//
// Future Planetology techs
//
FUTUREPLANET_0_NAME    | Zukunftsplanetologie I
FUTUREPLANET_0_DETAIL  | Generelle Verbesserung in der Planetologie.

FUTUREPLANET_1_NAME    | Zukunftsplanetologie II
FUTUREPLANET_1_DETAIL  | Generelle Verbesserung in der Planetologie.

FUTUREPLANET_2_NAME    | Zukunftsplanetologie III
FUTUREPLANET_2_DETAIL  | Generelle Verbesserung in der Planetologie.

FUTUREPLANET_3_NAME    | Zukunftsplanetologie IV
FUTUREPLANET_3_DETAIL  | Generelle Verbesserung in der Planetologie.

FUTUREPLANET_4_NAME    | Zukunftsplanetologie V
FUTUREPLANET_4_DETAIL  | Generelle Verbesserung in der Planetologie.

FUTUREPLANET_5_NAME    | Zukunftsplanetologie VI
FUTUREPLANET_5_DETAIL  | Generelle Verbesserung in der Planetologie.

FUTUREPLANET_6_NAME    | Zukunftsplanetologie VII
FUTUREPLANET_6_DETAIL  | Generelle Verbesserung in der Planetologie.

FUTUREPLANET_7_NAME    | Zukunftsplanetologie VIII
FUTUREPLANET_7_DETAIL  | Generelle Verbesserung in der Planetologie.

FUTUREPLANET_8_NAME    | Zukunftsplanetologie IX
FUTUREPLANET_8_DETAIL  | Generelle Verbesserung in der Planetologie.

FUTUREPLANET_9_NAME    | Zukunftsplanetologie X
FUTUREPLANET_9_DETAIL  | Generelle Verbesserung in der Planetologie.


//
// Future Propulsion techs
//
FUTUREPROP_0_NAME    | Zukunftsantriebe I
FUTUREPROP_0_DETAIL  | Generelle Verbesserung in der Antriebstechnik.

FUTUREPROP_1_NAME    | Zukunftsantriebe II
FUTUREPROP_1_DETAIL  | Generelle Verbesserung in der Antriebstechnik.

FUTUREPROP_2_NAME    | Zukunftsantriebe III
FUTUREPROP_2_DETAIL  | Generelle Verbesserung in der Antriebstechnik.

FUTUREPROP_3_NAME    | Zukunftsantriebe IV
FUTUREPROP_3_DETAIL  | Generelle Verbesserung in der Antriebstechnik.

FUTUREPROP_4_NAME    | Zukunftsantriebe V
FUTUREPROP_4_DETAIL  | Generelle Verbesserung in der Antriebstechnik.

FUTUREPROP_5_NAME    | Zukunftsantriebe VI
FUTUREPROP_5_DETAIL  | Generelle Verbesserung in der Antriebstechnik.

FUTUREPROP_6_NAME    | Zukunftsantriebe VII
FUTUREPROP_6_DETAIL  | Generelle Verbesserung in der Antriebstechnik.

FUTUREPROP_7_NAME    | Zukunftsantriebe VIII
FUTUREPROP_7_DETAIL  | Generelle Verbesserung in der Antriebstechnik.

FUTUREPROP_8_NAME    | Zukunftsantriebe IX
FUTUREPROP_8_DETAIL  | Generelle Verbesserung in der Antriebstechnik.

FUTUREPROP_9_NAME    | Zukunftsantriebe X
FUTUREPROP_9_DETAIL  | Generelle Verbesserung in der Antriebstechnik.


//
// Future Weapon techs
//
FUTUREWEAPON_0_NAME    | Zukunftswaffen I
FUTUREWEAPON_0_DETAIL  | Generelle Verbesserung in der Waffentechnik.

FUTUREWEAPON_1_NAME    | Zukunftswaffen II
FUTUREWEAPON_1_DETAIL  | Generelle Verbesserung in der Waffentechnik.

FUTUREWEAPON_2_NAME    | Zukunftswaffen III
FUTUREWEAPON_2_DETAIL  | Generelle Verbesserung in der Waffentechnik.

FUTUREWEAPON_3_NAME    | Zukunftswaffen IV
FUTUREWEAPON_3_DETAIL  | Generelle Verbesserung in der Waffentechnik.

FUTUREWEAPON_4_NAME    | Zukunftswaffen V
FUTUREWEAPON_4_DETAIL  | Generelle Verbesserung in der Waffentechnik.

FUTUREWEAPON_5_NAME    | Zukunftswaffen VI
FUTUREWEAPON_5_DETAIL  | Generelle Verbesserung in der Waffentechnik.

FUTUREWEAPON_6_NAME    | Zukunftswaffen VII
FUTUREWEAPON_6_DETAIL  | Generelle Verbesserung in der Waffentechnik.

FUTUREWEAPON_7_NAME    | Zukunftswaffen VIII
FUTUREWEAPON_7_DETAIL  | Generelle Verbesserung in der Waffentechnik.

FUTUREWEAPON_8_NAME    | Zukunftswaffen IX
FUTUREWEAPON_8_DETAIL  | Generelle Verbesserung in der Waffentechnik.

FUTUREWEAPON_9_NAME    | Zukunftswaffen X
FUTUREWEAPON_9_DETAIL  | Generelle Verbesserung in der Waffentechnik.


//
// Hand Weapon techs
//
HANDWEAPON_0_NAME      | 
HANDWEAPON_0_DETAIL    | 

HANDWEAPON_1_NAME      | Handlaser
HANDWEAPON_1_DETAIL    | Lasergewehr, welches 5 zum Bodenkampf hinzufügt.

HANDWEAPON_2_NAME      | Iongewehre
HANDWEAPON_2_DETAIL    | Tragbare Strahlenwaffe, die 10 zum Bodenkampf hinzufügt.

HANDWEAPON_3_NAME      | Fusiongewehr
HANDWEAPON_3_DETAIL    | Ungenaue, aber mächtige Explosionswaffe, die 20 zum Bodenkampf hinzufügt.

HANDWEAPON_4_NAME      | Handphasor
HANDWEAPON_4_DETAIL    | Starke tragbare Energiewaffe, die den Gegner in seine einzelnen Atome zerlegen kann. Fügt 25 zum Bodenkampf hinzu.

HANDWEAPON_5_NAME      | Plasmagewehr
HANDWEAPON_5_DETAIL    | Die zerstörerischste tragbare Waffe. Fügt 30 zum Bodenkampf hinzu.


//
// Hyperspace Communication tech
//
HYPERSPACE_0_NAME      | Hyperspace Kommunikation
HYPERSPACE_0_DETAIL    | Erlaubt die Kommunikation im Hyperspace mit Schiffen udn Transporten, um diesen andere Befehle zu geben.


//
// Improved Industrial techs
//
IMPRINDUSTRY_0_NAME     | Verbesserte Fabriktechnologie 9
IMPRINDUSTRY_0_DETAIL   | Reduziert Fabrikkonstruktionskosten auf 9 BC pro Fabrik.

IMPRINDUSTRY_1_NAME     | Verbesserte Fabriktechnologie 8
IMPRINDUSTRY_1_DETAIL   | Reduziert Fabrikkonstruktionskosten auf 8 BC pro Fabrik.

IMPRINDUSTRY_2_NAME     | Verbesserte Fabriktechnologie 7
IMPRINDUSTRY_2_DETAIL   | Reduziert Fabrikkonstruktionskosten auf 7 BC pro Fabrik.

IMPRINDUSTRY_3_NAME     | Verbesserte Fabriktechnologie 6
IMPRINDUSTRY_3_DETAIL   | Reduziert Fabrikkonstruktionskosten auf 6 BC pro Fabrik.

IMPRINDUSTRY_4_NAME     | Verbesserte Fabriktechnologie 5
IMPRINDUSTRY_4_DETAIL   | Reduziert Fabrikkonstruktionskosten auf 5 BC pro Fabrik.

IMPRINDUSTRY_5_NAME     | Verbesserte Fabriktechnologie 4
IMPRINDUSTRY_5_DETAIL   | Reduziert Fabrikkonstruktionskosten auf 4 BC pro Fabrik.

IMPRINDUSTRY_6_NAME     | Verbesserte Fabriktechnologie 3
IMPRINDUSTRY_6_DETAIL   | Reduziert Fabrikkonstruktionskosten auf 3 BC pro Fabrik.

IMPRINDUSTRY_7_NAME     | Verbesserte Fabriktechnologie 2
IMPRINDUSTRY_7_DETAIL   | Reduziert Fabrikkonstruktionskosten auf 2 BC pro Fabrik.


//
// Improved Terraforming techs
//
IMPRTFORM_0_NAME        | Verbessertes Terraforming +10
IMPRTFORM_0_DETAIL      | Hebt die Bevölkerungsgrenze des Planeten um 10M bei Kosten von 5 BC pro Million

IMPRTFORM_1_NAME        | Verbessertes Terraforming +20
IMPRTFORM_1_DETAIL      | Hebt die Bevölkerungsgrenze des Planeten um 20M bei Kosten von 5 BC pro Million

IMPRTFORM_2_NAME        | Verbessertes Terraforming +30
IMPRTFORM_2_DETAIL      | Hebt die Bevölkerungsgrenze des Planeten um 30M bei Kosten von 4 BC pro Million

IMPRTFORM_3_NAME        | Verbessertes Terraforming +40
IMPRTFORM_3_DETAIL      | Hebt die Bevölkerungsgrenze des Planeten um 40M bei Kosten von 4 BC pro Million

IMPRTFORM_4_NAME        | Verbessertes Terraforming +50
IMPRTFORM_4_DETAIL      | Hebt die Bevölkerungsgrenze des Planeten um 50M bei Kosten von 3 BC pro Million

IMPRTFORM_5_NAME        | Verbessertes Terraforming +60
IMPRTFORM_5_DETAIL      | Hebt die Bevölkerungsgrenze des Planeten um 60M bei Kosten von 3 BC pro Million

IMPRTFORM_6_NAME        | Verbessertes Terraforming +80
IMPRTFORM_6_DETAIL      | Hebt die Bevölkerungsgrenze des Planeten um 80M bei Kosten von 2 BC pro Million

IMPRTFORM_7_NAME        | Verbessertes Terraforming +100
IMPRTFORM_7_DETAIL      | Hebt die Bevölkerungsgrenze des Planeten um 100M bei Kosten von 2 BC pro Million

IMPRTFORM_8_NAME        | Vollständiges Terraforming
IMPRTFORM_8_DETAIL      | Hebt die Bevölkerungsgrenze des Planeten um 120M bei Kosten von 2 BC pro Million


//
// Industrial Waste techs
//
INDWASTE_0_NAME         | Industrierecycling 80%
INDWASTE_0_DETAIL       | Verringert Verschmutzung durch Fabriken auf 80% des normalen Levels.

INDWASTE_1_NAME         | Industrierecycling 60%
INDWASTE_1_DETAIL       | Verringert Verschmutzung durch Fabriken auf 60% des normalen Levels.

INDWASTE_2_NAME         | Industrierecycling 40%
INDWASTE_2_DETAIL       | Verringert Verschmutzung durch Fabriken auf 40% des normalen Levels.

INDWASTE_3_NAME         | Industrierecycling 20%
INDWASTE_3_DETAIL       | Verringert Verschmutzung durch Fabriken auf 20% des normalen Levels.

INDWASTE_4_NAME         | Vollständige Müllvermeidung
INDWASTE_4_DETAIL       | Fabriken stoßen keine Verschmutzung mehr aus.


//
// Missile Defense techs
//
MISSDEF_0_NAME      | Antiballistik-Raketen
MISSDEF_0_BRIEF     | 40% Chance zur Raketenzerstörung
MISSDEF_0_DETAIL    | Überlicht-Raketen, die anfliegende gegnerische Raketen mit 40% Sicherheit, -1% pro Technologielevel der Rakete, ausschalten.

MISSDEF_1_NAME      | Zyro-Schild
MISSDEF_1_BRIEF     | 75% Chance zur Raketenzerstörung
MISSDEF_1_DETAIL    | Ein Energiefeld, dass angreifende Raketen und Torpedos mit 75% Sicherheit, -1% pro Technologielevel der Rakete, ausschaltet.

MISSDEF_2_NAME      | Hochspannungsfeld
MISSDEF_2_BRIEF     | 100% Chance zur Raketenzerstörung
MISSDEF_2_DETAIL    | Ein Energiefeld, dass angreifende Raketen und Torpedos mit 100% Sicherheit, -1% pro Technologielevel der Rakete, ausschaltet.


//
// Missile Weapon techs
//
MISSWPN_0_NAME      | Nuklearraketen
MISSWPN_0_BRIEF     | 2 Schuss, +1 Geschwindigkeit
MISSWPN_0_BRIEF2    | 5 Schuss
MISSWPN_0_DETAIL    | Rakete mit Nuklearsprengkopf, der mit 4 Schadenspunkten explodiert und mit einer Geschwindigkeit von 2 bewegt.

MISSWPN_1_NAME      | Hyper-V Raketen
MISSWPN_1_BRIEF     | 2 Schuss, +1 Geschwindigkeit
MISSWPN_1_BRIEF2    | 5 Schuss
MISSWPN_1_DETAIL    | Schnelle Raketen, die für 6 Punkte Schaden explodieren und sich mit einer Geschwindigkeit von 2,5 bewegen.

MISSWPN_2_NAME      | Hyper-X Raketen
MISSWPN_2_BRIEF     | 2 Schuss, +1 Treffer
MISSWPN_2_BRIEF2    | 5 Schuss, +1 Treffer
MISSWPN_2_DETAIL    | Raketen mit Hochenergiesprengkopf, die für 8 Schadenspunkte explodieren, mit einer Geschwindigkeit von 2,5 bewegen und einen Zielcomputer +1 haben.

MISSWPN_3_NAME      | Scatter Pack V Raketen
MISSWPN_3_BRIEF     | 2 Schuss, +1 Geschwindigkeit
MISSWPN_3_BRIEF2    | 5 Schuss
MISSWPN_3_DETAIL    | Mehrfachsprengkopfversion der Hyper-V Raketen. Jeder der 5 Sprengköpfe explodiert mit 6 Punkte Schaden, mit einer Geschwindigkeit von 2,5.

MISSWPN_4_NAME      | Merculit Raketen
MISSWPN_4_BRIEF     | 2 Schuss, +2 Treffer
MISSWPN_4_BRIEF2    | 5 Schuss, +2 Treffer
MISSWPN_4_DETAIL    | Hart auftreffende, schnelle Raketen mit 10 Schadenspunkten, Geschwindigkeit von 3 und einem Zielcomputer +2.

MISSWPN_5_NAME      | Stinger Raketen
MISSWPN_5_BRIEF     | 2 Schuss, +3 Treffer
MISSWPN_5_BRIEF2    | 5 Schuss, +3 Treffer
MISSWPN_5_DETAIL    | Hypergenaue Raketen mit 15 Schadenspunkten, Geschwindigkeit von 3,5 und mit einem +3 Zielcomputer ausgestattet.

MISSWPN_6_NAME      | Scatter Pack VII Raketen
MISSWPN_6_BRIEF     | 2 Schuss, 7 Sprengköpfe
MISSWPN_6_BRIEF2    | 5 Schuss, 7 Sprengköpfe
MISSWPN_6_DETAIL    | Mehrfachsprengkopfversion der Hyper-V Raketen. Jeder der 7 Sprengköpfe explodiert mit 10 Punkte Schaden, mit einer Geschwindigkeit von 3 und einem Zielcomputer +2.

MISSWPN_7_NAME      | Pulson Raketen
MISSWPN_7_BRIEF     | 2 Schuss, +4 Treffer
MISSWPN_7_BRIEF2    | 5 Schuss, +4 Treffer
MISSWPN_7_DETAIL    | Mächtige Rakete mit einem Antimateriesprengkopf, der mit einer Geschwindigkeit von 4 , 20 Schadenspunkten und einem Zielcomputer +4 ausgestattet ist.

MISSWPN_8_NAME      | Hercules Raketen
MISSWPN_8_BRIEF     | 2 Schuss, +5 Treffer
MISSWPN_8_BRIEF2    | 5 Schuss, +5 Treffer
MISSWPN_8_DETAIL    | Stark fortgeschrittene Rakete mit 25 Schadenspunkten, Geschwindigkeit von 4,5 und einem Zielcomputer +5.

MISSWPN_9_NAME      | Zeon Rakete
MISSWPN_9_BRIEF     | 2 Schuss, +6 Treffer
MISSWPN_9_BRIEF2    | 5 Schuss, +6 Treffer
MISSWPN_9_DETAIL    | Ultimative Rakete. 30 Schadenspunkte, eine Geschwindigkeit von 5 und einen Zielcomputer +6.

MISSWPN_10_NAME      | Scatter Pack X Rakete
MISSWPN_10_BRIEF     | 2 Schuss, 10 Sprengköpfe
MISSWPN_10_BRIEF2    | 5 Schuss, 10 Sprengköpfe
MISSWPN_10_DETAIL    | Mehrfachsprengkopfversion der Stinger Raketen. Jeder der 10 Sprengköpfe explodiert mit 15 Punkte Schaden, mit einer Geschwindigkeit von 3,5 und einem Zielcomputer +3.


//
// Personal Shield techs for ground combat
//
// default "no shield" tech that each player starts with
PERSSHIELD_0_NAME     | 
PERSSHIELD_0_DETAIL   | 

PERSSHIELD_1_NAME     | Persönliches Deflektorschild
PERSSHIELD_1_DETAIL   | Schützt Personen mit einem gerichteten Kraftfeld vor Schaden. Fügt +10 zu allen Bodenkämpfen hinzu.

PERSSHIELD_2_NAME     | Persönliches Absorptionschild
PERSSHIELD_2_DETAIL   | Absorbiert Schaden durch Handwaffen. Fügt +20 zu allen Bodenkämpfen hinzu.

PERSSHIELD_3_NAME     | Persönliches Barriereschild
PERSSHIELD_3_DETAIL   | Umhüllt den Soldaten mit einem nahezu undurchdringlichen Kraftfeld. Fügt +30 zu allen Bodenkämpfen hinzu.


//
// Planetary Shield techs 
//
PLANETSHIELD_0_NAME    | Planetarer Schild Klasse V
PLANETSHIELD_0_DETAIL  | Absorbiert 5 Schadenspunkte aller Attacken gegen den Planeten. Fügt Raketenbasen ein Deflektorschild hinzu.

PLANETSHIELD_1_NAME    | Planetarer Schild Klasse X
PLANETSHIELD_1_DETAIL  | Absorbiert 10 Schadenspunkte aller Attacken gegen den Planeten. Fügt Raketenbasen ein Deflektorschild hinzu.

PLANETSHIELD_2_NAME    | Planetarer Schild Klasse XV
PLANETSHIELD_2_DETAIL  | Absorbiert 15 Schadenspunkte aller Attacken gegen den Planeten. Fügt Raketenbasen ein Deflektorschild hinzu.

PLANETSHIELD_3_NAME    | Planetarer Schild Klasse XX
PLANETSHIELD_3_DETAIL  | Absorbiert 20 Schadenspunkte aller Attacken gegen den Planeten. Fügt Raketenbasen ein Deflektorschild hinzu.


//
// Repulsor tech 
//
REPULSOR_0_NAME    | Repulsorstrahl
REPULSOR_0_BRIEF   | Bewegt gegnerische Schiff 1 Feld zurück
REPULSOR_0_DETAIL  | Stößt gegnerische Schiffe ein Feld vom verteidigenden Schiff zurück. Die Reichweite beträgt ein Feld.


//
// Reserve Fuel tech 
//
RSRVFUEL_0_NAME    | Erweiterte Treibstofftanks
RSRVFUEL_0_BRIEF   | Erweitert die Schiffreichweite um %1 Lichtjahre.
RSRVFUEL_0_DETAIL  | Treibstofftanks erhöhen die Reichweite von Raumschiffen.


//
// Robotic Controls techs 
//
ROBOTCTRL_0_NAME     | Industrie 3.0
ROBOTCTRL_0_DETAIL   | Ermöglicht die Steuerung von 3 Fabriken pro Einwohner. Die Umbaukosten liegen bei der Hälfte der Standardkosten pro Fabrik.

ROBOTCTRL_1_NAME     | Industrie 4.0
ROBOTCTRL_1_DETAIL   | Ermöglicht die Steuerung von 4 Fabriken pro Einwohner. Die Umbaukosten liegen bei den Standardkosten pro Fabrik.

ROBOTCTRL_2_NAME     | Industrie 5.0
ROBOTCTRL_2_DETAIL   | Ermöglicht die Steuerung von 5 Fabriken pro Einwohner. Die Umbaukosten liegen bei dem Anderthalbfachen der Standardkosten pro Fabrik.

ROBOTCTRL_3_NAME     | Industrie 6.0
ROBOTCTRL_3_DETAIL   | Ermöglicht die Steuerung von 6 Fabriken pro Einwohner. Die Umbaukosten liegen bei dem Doppelten der Standardkosten pro Fabrik.

ROBOTCTRL_4_NAME     | Industrie 7.0
ROBOTCTRL_4_DETAIL   | Ermöglicht die Steuerung von 7 Fabriken pro Einwohner. Die Umbaukosten liegen bei dem Zweieinhalbfachen der Standardkosten pro Fabrik.


//
// Scanner techs 
//
SCANNER_0_NAME       | Gefechtscanner
SCANNER_0_BRIEF      | Scannt feindliche Schiffe im Kampf
SCANNER_0_DETAIL     | Zeigt technische Details von feindlichen Raumschiffen im Kampf.

SCANNER_1_NAME       | Tiefenraum-Scanner
SCANNER_1_BRIEF      | Spürt Schiffe bis 5 Lichtjahre Umgebung auf
SCANNER_1_DETAIL     | Spürt gegnerische Schiffe bis zu 5 Lichtjahre entfernt um eine Kolonie und bis zu 1 Lichtjahre um eigene Schiffe auf.

SCANNER_2_NAME       | Tachyonenscanner
SCANNER_2_BRIEF      | Spürt Schiffe und deren Ziel bis 7 Lichtjahre Umgebung auf
SCANNER_2_DETAIL     | Spürt gegnerische Schiffe bis zu 7 Lichtjahre entfernt um eine Kolonie und bis zu 2 Lichtjahre um eigene Schiffe auf. Kann gegnerische Flugziele bestimmen.

SCANNER_3_NAME       | Sensoren
SCANNER_3_BRIEF      | Erlaubt die Erkundschaftung fremder Planeten 9 Lichtjahre
SCANNER_3_DETAIL     | Erlaubt die Erkundschaftung fremder Planeten 9 Lichtjahre um eine Kolonie und spürt gegnerische Schiffe bis zu 3 Lichtjahre um eigene Schiffe entfernt auf.


//
// Ship Inertial techs 
//
SHIPINERTIAL_0_NAME     | Trägheitsstabilisatoren
SHIPINERTIAL_0_BRIEF    | Erhöht Manövrierbarkeit um 2
SHIPINERTIAL_0_DETAIL   | Reduziert die Schiffsträgheit und erhöht die Klasse der Manövrerbarkeit um 2. (+2 Verteidigung und +1 Geschwindigkeit)

SHIPINERTIAL_1_NAME     | Trägheitsaufhebung
SHIPINERTIAL_1_BRIEF    | Erhöht Manövrierbarkeit um 4
SHIPINERTIAL_1_DETAIL   | Neutralisiert die Schiffsträgheit und erhöht die Klasse der Manövrierbarkeit um 2. Reduziert auch den Effekt eines Singularitätsangriffs um -30%.


//
// Ship Nullifier techs 
//
SHIPNULLIFIER_0_NAME     | Technology Nullifier
SHIPNULLIFIER_0_BRIEF    | Zerstört feindlicher Computer
SHIPNULLIFIER_0_DETAIL   | Chiffriert gegnerische Computer und ECM und reduziert diese um 2-6 Level pro Attacke. Die Reichweite übertrifft die meisten Schiffswaffen.

SHIPNULLIFIER_1_NAME     | Warpfeldauflöser
SHIPNULLIFIER_1_BRIEF    | Reduziert die Geschwindigkeit von feindlichen Schiffen
SHIPNULLIFIER_1_DETAIL   | Warpfeldauflöser sind Langstreckenwaffen, die das Warpfeld um fremde Schiffe auflösen und deren Geschwindigkeit mit jeder Attacke reduzieren.


//
// Ship Weapon techs 
//
SHIPWPN_0_NAME         | Laser
SHIPWPN_0_ITEM2        | Schwerer Laser
SHIPWPN_0_DETAIL       | Direktfeuer-Strahlenwaffe, die 1-4 Schadenspunkte anrichtet. Schwere Laser haben 2 Felder Reichweite und richten 1-7 Schadenspunkte an.

SHIPWPN_1_NAME         | Gatling Laser
SHIPWPN_1_BRIEF        | Feuert 4 Mal pro Zug
SHIPWPN_1_DETAIL       | Ein verbesserter Laser, der bis zu 4 Mal pro Zug mit 1-4 Schadenspunkten pro Treffer schießt.

SHIPWPN_2_NAME         | Neutron Pellet Gun
SHIPWPN_2_BRIEF        | Halbiert Schildstärke
SHIPWPN_2_DETAIL       | Ein Schwerer-Teilchen-Strom halbiert die Effektivität von gegnerischen Deflektorschilden und verursacht 2 -5 Schadenspunkte.

SHIPWPN_3_NAME         | Ionenimpulskanone
SHIPWPN_3_ITEM2        | Schwerer Ionenimpulskanone
SHIPWPN_3_DETAIL       | Ein hochintensiver Teilchenstrahl verursacht 3-8 Schadenspunkte. Schwere Ionenimpulskanonen haben eine Reichtweite von 2 Feldern und richten 3-8 Schadenspunkte an.

SHIPWPN_4_NAME         | Massenkatapult
SHIPWPN_4_BRIEF        | Halbiert Schildstärke
SHIPWPN_4_DETAIL       | Ein Linearbeschleuniger, der große Massen mit 5-8 Schadenspunkten gegen die Gegner schleudert. Die Schildeffektivität wird halbiert.

SHIPWPN_5_NAME         | NeutronenBlaster
SHIPWPN_5_ITEM2        | Schwerer NeutronenBlaster
SHIPWPN_5_DETAIL       | Hochenergetische Strahlenwaffe, die 3-12 Schadenspunkte anrichtet. Schwere NeutronenBlaster verursachen 3-24 Schadenspunkte bei einer Reichweite von 2 Feldern.

SHIPWPN_6_NAME         | Gravitonstrahl
SHIPWPN_6_BRIEF        | Kontinuierliche Attacke
SHIPWPN_6_DETAIL       | Gravitationsstrahl, der Schiffe auseinanderreißen kann. Mit 1-15 Schadenspunkten und einem kontinuierlichen Angriff können weitere Schiffe getroffen werden.

SHIPWPN_7_NAME         | Hard Beam
SHIPWPN_7_BRIEF        | Halbiert Schildstärke
SHIPWPN_7_DETAIL       | Eine Energie-zu-Materie Waffe, welche die Schilde habiert und 8-12 Schadenspunkte verursacht.

SHIPWPN_8_NAME         | Fusionsstrahler
SHIPWPN_8_ITEM2        | Schwerer Fusionsstrahler
SHIPWPN_8_DETAIL       | Hochenergiewaffe mit 4 -16 Schadenspunkten. Schwere Fusionsstrahler habene 2 Felder Reichweite und 4-30 Schadenspunkte.

SHIPWPN_9_NAME         | Megaboltkanone
SHIPWPN_9_BRIEF        | +3 Level Trefferwahrscheinlichkeit
SHIPWPN_9_DETAIL       | Schießt mehrere Blitze purer Energie in einen weiten Bereich. Hat eine +30% Trefferwahrscheinlichkeit bei 2- 20 Schadenspunkten.

SHIPWPN_10_NAME        | Phasor
SHIPWPN_10_ITEM2       | Phasorlanzen
SHIPWPN_10_DETAIL      | Phasenenergiewaffen können 5-20 Schadenspunkte verursachen. Phasorlanzen haben 2 Felder Reichtweite und 5-40 Schadenspunkte.

SHIPWPN_11_NAME        | Autoblaster
SHIPWPN_11_BRIEF       | Feuert 3 Mal pro Zug
SHIPWPN_11_DETAIL      | Ein fortgeschrittener NeutronenBlaster, der bis zu 3 Mal pro Zug 4-16 Schadenspunkte pro Treffer verursacht.

SHIPWPN_12_NAME        | Tachyonstrahler
SHIPWPN_12_BRIEF       | Kontinuierliche Attacke
SHIPWPN_12_DETAIL      | Feuert einen verdichteten Tachyonenstrahl. Mit 1-15 Schadenspunkten und einem kontinuierlichen Angriff können weitere Schiffe getroffen werden.

SHIPWPN_13_NAME        | Gauss Autokanone
SHIPWPN_13_BRIEF       | 1/2 Schilde, Feuert 4x
SHIPWPN_13_DETAIL      | Ein fortgeschrittener Linearbeschleuniger feuert 4 explosive Projektiele pro Runde mit 7-10 Schadenspunkte/Projektil. Die Schildeffektivität wird halbiert.

SHIPWPN_14_NAME        | Partikelkanone
SHIPWPN_14_BRIEF       | Halbiert Schildstärke
SHIPWPN_14_DETAIL      | Ein hochenergetischer Strahl aus Partikeln verursacht 10-20 Schadenspunkte udn halbiert die Schildeffektivität.

SHIPWPN_15_NAME        | Plasmakanone
SHIPWPN_15_DETAIL      | Feuert verdichtete Energiepulse, die bei einer Entfernung von 1 einen Schaden von 6-30 Punkten anrichten.

SHIPWPN_16_NAME        | Todesstrahl
SHIPWPN_16_DETAIL      | Eine uralte Waffe mit unsagbarer zerstörerischer Gewalt. Auf die maximale Entfernung von 1 Feld verursacht sie 200-1000 Schadenspunkte.

SHIPWPN_17_NAME        | Disruptor
SHIPWPN_17_DETAIL      | Entfesselt einen gewaltigen Puls aus purer Energie mit einer Reichweite von 2 Feldern und einem Schaden von 10-40 Punkten.

SHIPWPN_18_NAME        | Pulsphasor
SHIPWPN_18_BRIEF       | Feuert 3 Mal pro Zug
SHIPWPN_18_DETAIL      | Ein fortgeschrittener Phasor, der bis zu 3 Mal pro Zug 5-20 Schadenspunkte pro Treffer verursacht.

SHIPWPN_19_NAME        | Tri-Focus Plasmakanone
SHIPWPN_19_DETAIL      | Feuert eine Triade aus Plasmastrahlen mit 20 bis 50 Schadenspunkte.

SHIPWPN_20_NAME        | Stellarkonverter
SHIPWPN_20_BRIEF       | Trifft alle vier Schilde
SHIPWPN_20_DETAIL      | Umhüllt das Ziel mit einem extrem kraftvollen Materie-Energie-Konversionsfeld. Bei einer Reichweite von 3 Feldern verursacht es 10-35 Schadenspunkte.

SHIPWPN_21_NAME        | Mauler Device
SHIPWPN_21_DETAIL      | Schleudert eine enorme Menge an fokussierter Energie auf das Ziel. Verursacht 20-100 Schadenspunkte.

SHIPWPN_22_NAME        | Amoebenstrahl
SHIPWPN_22_DETAIL      | Ein Strahl, der 250-1000 Schadenspunkte auf eine Entfernung von 3 Feldern verursacht. Der kontinuierliche Angriff kann weitere Schiffe treffen.

SHIPWPN_23_NAME        | The Kristallstrahl
SHIPWPN_23_DETAIL      | Ein Strahl, der das Schild des Ziels umhüllt und 4 Attacken mit je 100-300 Schadenspunkten auf 3 Felder Entfernung verursacht.


//
