

//
// Armor techs
// 
ARMOR_0_NAME     | Baju Logam Titanium
FUTURECONST_1_DETAIL  | Peningkatan Umum dalam Teknologi Konstruksi.

FUTURECONST_2_NAME    | Konstruksi Masa Depan III
FUTURECONST_2_DETAIL  | Peningkatan Umum dalam Teknologi Konstruksi.

FUTURECONST_3_NAME    | Konstruksi Masa Depan IV
FUTURECONST_3_DETAIL  | Peningkatan Umum dalam Teknologi Konstruksi.

FUTURECONST_4_NAME    | Konstruksi Masa Depan V
FUTURECONST_4_DETAIL  | Peningkatan Umum dalam Teknologi Konstruksi.

FUTURECONST_5_NAME    | Konstruksi Masa Depan VI
FUTURECONST_5_DETAIL  | Peningkatan Umum dalam Teknologi Konstruksi.

FUTURECONST_6_NAME    | Konstruksi Masa Depan VII
FUTURECONST_6_DETAIL  | Peningkatan Umum dalam Teknologi Konstruksi.

FUTURECONST_7_NAME    | Konstruksi Masa Depan VIII
FUTURECONST_7_DETAIL  | Peningkatan Umum dalam Teknologi Konstruksi.

FUTURECONST_8_NAME    | Konstruksi Masa Depan IX
FUTURECONST_8_DETAIL  | Peningkatan Umum dalam Teknologi Konstruksi.

FUTURECONST_9_NAME    | Konstruksi Masa Depan X
FUTURECONST_9_DETAIL  | Peningkatan Umum dalam Teknologi Konstruksi.


//
// Future Force Field techs
//
FUTUREFORCE_0_NAME    | Lapangan Angkatan Bersenjata Masa Depan I
FUTUREFORCE_0_DETAIL  | Peningkatan Umum dalam Teknologi Lapangan Angkatan Bersenjata.

FUTUREFORCE_1_NAME    | Lapangan Angkatan Bersenjata Masa Depan II
FUTUREFORCE_1_DETAIL  | Peningkatan Umum dalam Teknologi Lapangan Angkatan Bersenjata.

FUTUREFORCE_2_NAME    | Lapangan Angkatan Bersenjata Masa Depan III
FUTUREFORCE_2_DETAIL  | Peningkatan Umum dalam Teknologi Lapangan Angkatan Bersenjata.

FUTUREFORCE_3_NAME    | Lapangan Angkatan Bersenjata Masa Depan IV
FUTUREFORCE_3_DETAIL  | Peningkatan Umum dalam Teknologi Lapangan Angkatan Bersenjata.

FUTUREFORCE_4_NAME    | Lapangan Angkatan Bersenjata Masa Depan V
FUTUREFORCE_4_DETAIL  | Peningkatan Umum dalam Teknologi Lapangan Angkatan Bersenjata.

FUTUREFORCE_5_NAME    | Lapangan Angkatan Bersenjata Masa Depan VI
FUTUREFORCE_5_DETAIL  | Peningkatan Umum dalam Teknologi Lapangan Angkatan Bersenjata.

FUTUREFORCE_6_NAME    | Lapangan Angkatan Bersenjata Masa Depan VII
FUTUREFORCE_6_DETAIL  | Peningkatan Umum dalam Teknologi Lapangan Angkatan Bersenjata.

FUTUREFORCE_7_NAME    | Lapangan Angkatan Bersenjata Masa Depan VIII
FUTUREFORCE_7_DETAIL  | Peningkatan Umum dalam Teknologi Lapangan Angkatan Bersenjata.

FUTUREFORCE_8_NAME    | Lapangan Angkatan Bersenjata Masa Depan IX
FUTUREFORCE_8_DETAIL  | Peningkatan Umum dalam Teknologi Lapangan Angkatan Bersenjata.

FUTUREFORCE_9_NAME    | Lapangan Angkatan Bersenjata Masa Depan X
FUTUREFORCE_9_DETAIL  | Peningkatan Umum dalam Teknologi Lapangan Angkatan Bersenjata.


//
// Future Planetology techs
//
FUTUREPLANET_0_NAME    | Planetologi Masa Depan I
FUTUREPLANET_0_DETAIL  | Peningkatan Umum dalam Teknologi Planetologi.

FUTUREPLANET_1_NAME    | Planetologi Masa Depan II
FUTUREPLANET_1_DETAIL  | Peningkatan Umum dalam Teknologi Planetologi.

FUTUREPLANET_2_NAME    | Planetologi Masa Depan III
FUTUREPLANET_2_DETAIL  | Peningkatan Umum dalam Teknologi Planetologi.

FUTUREPLANET_3_NAME    | Planetologi Masa Depan IV
FUTUREPLANET_3_DETAIL  | Peningkatan Umum dalam Teknologi Planetologi.

FUTUREPLANET_4_NAME    | Planetologi Masa Depan V
FUTUREPLANET_4_DETAIL  | Peningkatan Umum dalam Teknologi Planetologi.

FUTUREPLANET_5_NAME    | Planetologi Masa Depan VI
FUTUREPLANET_5_DETAIL  | Peningkatan Umum dalam Teknologi Planetologi.

FUTUREPLANET_6_NAME    | Planetologi Masa Depan VII
FUTUREPLANET_6_DETAIL  | Peningkatan Umum dalam Teknologi Planetologi.

FUTUREPLANET_7_NAME    | Planetologi Masa Depan VIII
FUTUREPLANET_7_DETAIL  | Peningkatan Umum dalam Teknologi Planetologi.

FUTUREPLANET_8_NAME    | Planetologi Masa Depan IX
FUTUREPLANET_8_DETAIL  | Peningkatan Umum dalam Teknologi Planetologi.

FUTUREPLANET_9_NAME    | Planetologi Masa Depan X
FUTUREPLANET_9_DETAIL  | Peningkatan Umum dalam Teknologi Planetologi.


//
// Future Propulsion techs
//
FUTUREPROP_0_NAME    | Lontaran Masa Depan I
FUTUREPROP_0_DETAIL  | Peningkatan Umum dalam Teknologi Lontaran.

FUTUREPROP_1_NAME    | Lontaran Masa Depan II
FUTUREPROP_1_DETAIL  | Peningkatan Umum dalam Teknologi Lontaran.

FUTUREPROP_2_NAME    | Lontaran Masa Depan III
FUTUREPROP_2_DETAIL  | Peningkatan Umum dalam Teknologi Lontaran.

FUTUREPROP_3_NAME    | Lontaran Masa Depan IV
FUTUREPROP_3_DETAIL  | Peningkatan Umum dalam Teknologi Lontaran.

FUTUREPROP_4_NAME    | Lontaran Masa Depan V
FUTUREPROP_4_DETAIL  | Peningkatan Umum dalam Teknologi Lontaran.

FUTUREPROP_5_NAME    | Lontaran Masa Depan VI
FUTUREPROP_5_DETAIL  | Peningkatan Umum dalam Teknologi Lontaran.

FUTUREPROP_6_NAME    | Lontaran Masa Depan VII
FUTUREPROP_6_DETAIL  | Peningkatan Umum dalam Teknologi Lontaran.

FUTUREPROP_7_NAME    | Lontaran Masa Depan VIII
FUTUREPROP_7_DETAIL  | Peningkatan Umum dalam Teknologi Lontaran.

FUTUREPROP_8_NAME    | Lontaran Masa Depan IX
FUTUREPROP_8_DETAIL  | Peningkatan Umum dalam Teknologi Lontaran.

FUTUREPROP_9_NAME    | Lontaran Masa Depan X
FUTUREPROP_9_DETAIL  | Peningkatan Umum dalam Teknologi Lontaran.


//
// Future Weapon techs
//
FUTUREWEAPON_0_NAME    | Senjata Masa Depan I
FUTUREWEAPON_0_DETAIL  | Peningkatan Umum dalam Teknologi Senjata.

FUTUREWEAPON_1_NAME    | Senjata Masa Depan II
FUTUREWEAPON_1_DETAIL  | Peningkatan Umum dalam Teknologi Senjata.

FUTUREWEAPON_2_NAME    | Senjata Masa Depan III
FUTUREWEAPON_2_DETAIL  | Peningkatan Umum dalam Teknologi Senjata.

FUTUREWEAPON_3_NAME    | Senjata Masa Depan IV
FUTUREWEAPON_3_DETAIL  | Peningkatan Umum dalam Teknologi Senjata.

FUTUREWEAPON_4_NAME    | Senjata Masa Depan V
FUTUREWEAPON_4_DETAIL  | Peningkatan Umum dalam Teknologi Senjata.

FUTUREWEAPON_5_NAME    | Senjata Masa Depan VI
FUTUREWEAPON_5_DETAIL  | Peningkatan Umum dalam Teknologi Senjata.

FUTUREWEAPON_6_NAME    | Senjata Masa Depan VII
FUTUREWEAPON_6_DETAIL  | Peningkatan Umum dalam Teknologi Senjata.

FUTUREWEAPON_7_NAME    | Senjata Masa Depan VIII
FUTUREWEAPON_7_DETAIL  | Peningkatan Umum dalam Teknologi Senjata.

FUTUREWEAPON_8_NAME    | Senjata Masa Depan IX
FUTUREWEAPON_8_DETAIL  | Peningkatan Umum dalam Teknologi Senjata.

FUTUREWEAPON_9_NAME    | Senjata Masa Depan X
FUTUREWEAPON_9_DETAIL  | Peningkatan Umum dalam Teknologi Senjata.


//
// Hand Weapon techs
//
HANDWEAPON_0_NAME      | 
HANDWEAPON_0_DETAIL    | 

HANDWEAPON_1_NAME      | Laser Tangan
HANDWEAPON_1_DETAIL    | Laser personal yang menambahkan 5 poin terhadap gerakan pertempuran daratmu.

HANDWEAPON_2_NAME      | Senapan Ion
HANDWEAPON_2_DETAIL    | Senjata sinar personal yang menambah 10 poin terhadap serangan daratmu.

HANDWEAPON_3_NAME      | Senapan Fusi
HANDWEAPON_3_DETAIL    | Senjata sinar yang kurang akurat tetapi sangat kuat yang menambah 20 poin terhadap gerakan pertempuran daratmu.

HANDWEAPON_4_NAME      | Hand Phasor
HANDWEAPON_4_DETAIL    | Senjata energi pegangan tangan yang poten, yang bisa mengurangi komponen atom musuh. Menambahkan 25 poin terhadap gerakan pertempuran daratmu.

HANDWEAPON_5_NAME      | Senapan Plasma
HANDWEAPON_5_DETAIL    | Senjata pegangan tangan yang paling menyakitkan yang pernah ada. Menambahkan 30 poin teradap serangan daratmu.


//
// Hyperspace Communication tech
//
HYPERSPACE_0_NAME      | Komunikasi Hiper Ruang Angkasa
HYPERSPACE_0_DETAIL    | Memungkinkanmu berkomunikasi dengan kapal dalam hiper ruang angkasa, dan mengubah tujuan mereka saat mereka berjalan.


//
// Improved Industrial techs
//
IMPRINDUSTRY_0_NAME     | Peningkatan Teknologi Industri 9
IMPRINDUSTRY_0_DETAIL   | Mengurangi biaya konstruksi pabrik hingga 9 BC.

IMPRINDUSTRY_1_NAME     | Peningkatan Teknologi Industri 8
IMPRINDUSTRY_1_DETAIL   | Mengurangi biaya konstruksi pabrik hingga 8 BC.

IMPRINDUSTRY_2_NAME     | Peningkatan Teknologi Industri 7
IMPRINDUSTRY_2_DETAIL   | Mengurangi biaya konstruksi pabrik hingga 7 BC.

IMPRINDUSTRY_3_NAME     | Peningkatan Teknologi Industri 6
IMPRINDUSTRY_3_DETAIL   | Mengurangi biaya konstruksi pabrik hingga 6 BC.

IMPRINDUSTRY_4_NAME     | Peningkatan Teknologi Industri 5
IMPRINDUSTRY_4_DETAIL   | Mengurangi biaya konstruksi pabrik hingga 5 BC.

IMPRINDUSTRY_5_NAME     | Peningkatan Teknologi Industri 4
IMPRINDUSTRY_5_DETAIL   | Mengurangi biaya konstruksi pabrik hingga 4 BC.

IMPRINDUSTRY_6_NAME     | Peningkatan Teknologi Industri 3
IMPRINDUSTRY_6_DETAIL   | Mengurangi biaya konstruksi pabrik hingga 3 BC.

IMPRINDUSTRY_7_NAME     | Peningkatan Teknologi Industri 2
IMPRINDUSTRY_7_DETAIL   | Mengurangi biaya konstruksi pabrik hingga 2 BC.


//
// Improved Terraforming techs
//
IMPRTFORM_0_NAME        | Peningkatan Teraform atau pembentukan planet seperti bumi +10
IMPRTFORM_0_DETAIL      | Meningkatkan kapasitas populasi planet sebanyak 10M dengan biaya 5 BC per juta makhluk.

IMPRTFORM_1_NAME        | Peningkatan Terraforming +20
IMPRTFORM_1_DETAIL      | Meningkatkan kapasitas populasi planet sebanyak 20M dengan biaya 5 BC per juta makhluk.

IMPRTFORM_2_NAME        | Peningkatan Terraforming +30
IMPRTFORM_2_DETAIL      | Meningkatkan kapasitas populasi planet sebanyak 30M dengan biaya 4 BC per juta makhluk.

IMPRTFORM_3_NAME        | Peningkatan Terraforming +40
IMPRTFORM_3_DETAIL      | Meningkatkan kapasitas populasi planet sebanyak 40M dengan biaya 4 BC per juta makhluk.

IMPRTFORM_4_NAME        | Peningkatan Terraforming +50
IMPRTFORM_4_DETAIL      | Meningkatkan kapasitas populasi planet sebanyak 50M dengan biaya 3 BC per juta makhluk.

IMPRTFORM_5_NAME        | Peningkatan Terraforming +60
IMPRTFORM_5_DETAIL      | Meningkatkan kapasitas populasi planet sebanyak 60M dengan biaya 3 BC per juta makhluk.

IMPRTFORM_6_NAME        | Peningkatan Terraforming +80
IMPRTFORM_6_DETAIL      | Meningkatkan kapasitas populasi planet sebanyak 80M dengan biaya 2 BC per juta makhluk.

IMPRTFORM_7_NAME        | Peningkatan Terraforming +100
IMPRTFORM_7_DETAIL      | Meningkatkan kapasitas populasi planet sebanyak 100M dengan biaya 2 BC per juta makhluk.

IMPRTFORM_8_NAME        | Terraforming Lengkap
IMPRTFORM_8_DETAIL      | Meningkatkan kapasitas populasi planet sebanyak 120M dengan biaya 2 BC per juta makhluk.


//
// Industrial Waste techs
//
INDWASTE_0_NAME         | Penurunan Limbah Industri 80%
INDWASTE_0_DETAIL       | Menurunkan level polusi pabrik hingga 80% dari angka normal.

INDWASTE_1_NAME         | Penurunan Limbah Industri 60%
INDWASTE_1_DETAIL       | Menurunkan level polusi pabrik hingga 60% dari angka normal.

INDWASTE_2_NAME         | Penurunan Limbah Industri 40%
INDWASTE_2_DETAIL       | Menurunkan level polusi pabrik hingga 40% dari angka normal.

INDWASTE_3_NAME         | Penurunan Limbah Industri 20%
INDWASTE_3_DETAIL       | Menurunkan level polusi pabrik hingga 20% dari angka normal.

INDWASTE_4_NAME         | Penghilangan Limbah Industri
INDWASTE_4_DETAIL       | Pabrik tidak lagi mencemari lingkungan.


//
// Missile Defense techs
//
MISSDEF_0_NAME      | Roket Anti-misil
MISSDEF_0_BRIEF     | 40% kemungkinan misil dihancurkan
MISSDEF_0_DETAIL    | Roket trans-cahaya yang mampu menghancurkan misil energi yang dilontarkan musuh sebanyak 40% setiap kalinya, -1% per level teknologi misil.

MISSDEF_1_NAME      | Perisai Zyro
MISSDEF_1_BRIEF     | 75% kemungkinan misil dihancurkan
MISSDEF_1_DETAIL    | Bidang energi yang menghancurkan misil energi dan torpedo yang dilontarkan musuh sebanyak 75% setiap kalinya, -1% per level teknologi misil.

MISSDEF_2_NAME      | Perisai Kilat
MISSDEF_2_BRIEF     | 100% kemungkinan misil dihancurkan
MISSDEF_2_DETAIL    | Bidang energi yang menghancurkan misil energi dan torpedo yang dilontarkan musuh sebanyak 100% setiap kalinya, -1% per level teknologi misil.


//
// Missile Weapon techs
//
MISSWPN_0_NAME      | Misil Nuklir
MISSWPN_0_BRIEF     | 2 tembakan, +1 kecepatan
MISSWPN_0_BRIEF2    | 5 tembakan
MISSWPN_0_DETAIL    | Misil yang berujung nuklir yang meledak untuk 4 poin kerusakan dan bergerak pada kecepatan 2.

MISSWPN_1_NAME      | Roket Hyper-V
MISSWPN_1_BRIEF     | 2 tembakan, +1 speed
MISSWPN_1_BRIEF2    | 5 tembakan
MISSWPN_1_DETAIL    | Misil gerak cepat yang meledak untuk 6 poin kerusakan dan bergerak pada kecepatan 2,5.

MISSWPN_2_NAME      | Roket Hyper-X
MISSWPN_2_BRIEF     | 2 tembakan, +1 untuk memukul
MISSWPN_2_BRIEF2    | 5 tembakan, +1 untuk memukul
MISSWPN_2_DETAIL    | Misil yang dilengkapi dengan ujung berenergi tinggi yang meledak untuk 8 poin kerusakan, bergerak pada kecepatan 2,5 dan dikontrol oleh komputer penarget level +1.

MISSWPN_3_NAME      | Roket Penyebar Tentara V
MISSWPN_3_BRIEF     | 2 tembakan, +1 speed
MISSWPN_3_BRIEF2    | 5 tembakan
MISSWPN_3_DETAIL    | Versi MIRV dari Roket Hyper-V, membelah menjadi lima ujung bom yang setiap satunya meledak untuk 6 poin kerusakan dan bergerak pada kecepatan 2,5.

MISSWPN_4_NAME      | Misil Merculite
MISSWPN_4_BRIEF     | 2 tembakan, +2 untuk memukul
MISSWPN_4_BRIEF2    | 5 tembakan, +2 untuk memukul
MISSWPN_4_DETAIL    | Misil yang sulit dilumpuhkan, vergerak cepat, dan meledak untuk 10 poin kerusakan, bergerak pada kecepatan 3, dan dikontrol ole komputer penarget level +2.

MISSWPN_5_NAME      | Misil Stinger
MISSWPN_5_BRIEF     | 2 tembakan, +3 untuk memukul
MISSWPN_5_BRIEF2    | 5 tembakan, +3 untuk memukul
MISSWPN_5_DETAIL    | Misil yang lambat tetapi hiper-akurat untuk melakukan 15 poin kerusakan, bergerak pada kecepatan 3.5, dan dikontrol oleh komputer penarget +3 yang canggih.

MISSWPN_6_NAME      | Misil Penyebar Tentara VII
MISSWPN_6_BRIEF     | 2 tembakan, MIRVS sampai 7
MISSWPN_6_BRIEF2    | 5 tembakan, MIRVS sampai 7
MISSWPN_6_DETAIL    | Versi MIRV dari Roket Hyper-X, membelah menjadi 7 ujung bom yang setiap satunya meledak untuk 10 poin kerusakan, bergerak pada kecepatan 3, dan diarahkan oleh komputer penarget +2.

MISSWPN_7_NAME      | Misil Pulson
MISSWPN_7_BRIEF     | 2 tembakan, +4 untuk memukul
MISSWPN_7_BRIEF2    | 5 tembakan, +4 untuk memukul
MISSWPN_7_DETAIL    | Misil ampuh yang dilengkapi dengan ujung anti materi yang meledak untuk 20 poin kerusakan, bergerak pada kecepatan 4, dan dikontrol oleh komputer penarget +4.

MISSWPN_8_NAME      | Misil Hercular
MISSWPN_8_BRIEF     | 2 tembakan, +5 untuk memukul
MISSWPN_8_BRIEF2    | 5 tembakan, +5 untuk memukul
MISSWPN_8_DETAIL    | Misil sangat canggih yang meledak untuk 25 poin kerusakan. Misil Hercular ini bergerak pada kecepatan 4,5 dan dikontrol oleh komputer penarget +5.

MISSWPN_9_NAME      | Misil Zeon
MISSWPN_9_BRIEF     | 2 tembakan, +6 untuk memukul
MISSWPN_9_BRIEF2    | 5 tembakan, +6 untuk memukul
MISSWPN_9_DETAIL    | Misil paling canggih yang pernah ada. Mampu memukul kapal musuh untuk 30 poin kerusakan dan bergerak pada kecepatan 5. Misil ini diarahkan oleh komputer penarget +6.

MISSWPN_10_NAME      | Misil Penyebar Tentara X 
MISSWPN_10_BRIEF     | 2 tembakan, MIRVS sampai 10
MISSWPN_10_BRIEF2    | 5 tembakan, MIRVS sampai 10
MISSWPN_10_DETAIL    | Versi MIRV dari Misil Stinger, membelah menjadi 10 ujung bom terpisah yang setiap satunya meledak untuk 15 poin kerusakan, bergerak pada kecepatan 3,5 dan diarahkan oleh komputer penarget +3.


//
// Personal Shield techs for ground combat
//
// default "no shield" tech that each player starts with
PERSSHIELD_0_NAME     | 
PERSSHIELD_0_DETAIL   | 

PERSSHIELD_1_NAME     | Perisai Deflektor Personal
PERSSHIELD_1_DETAIL   | Melindungi tentara darat individual dengan lapangan angkatan bersenjata yang terarah. Menambahkan +10 untuk semua pertempuran darat.

PERSSHIELD_2_NAME     | Perisai Penyerap Personal
PERSSHIELD_2_DETAIL   | Menyerap kerusakan dari semua senjata tangan. Menambahkan +20 untuk semua pertempuran darat.

PERSSHIELD_3_NAME     | Perisai Rintangan Personal
PERSSHIELD_3_DETAIL   | Sepenuhnya melindungi prajurit dalam lapangan angkatan bersenjata yang hampir tidak dapat ditembus. Menambahkan +30 untuk semua gerakan pertempuran darat.


//
// Planetary Shield techs 
//
PLANETSHIELD_0_NAME    | Lapisan Pelindung Planet Kelas V
PLANETSHIELD_0_DETAIL  | Menyerap 5 poin kerusakan dari semua serangan terhadap permukaan planet, menambahkan kepada lapisan pelindung deflektor basis misil.

PLANETSHIELD_1_NAME    | Lapisan Pelindung Planet Kelas X
PLANETSHIELD_1_DETAIL  | Menyerap 10 poin kerusakan dari semua serangan terhadap permukaan planet, menambahkan kepada lapisan pelindung deflektor basis misil.

PLANETSHIELD_2_NAME    | Lapisan Pelindung Planet Kelas XV
PLANETSHIELD_2_DETAIL  | Menyerap 15 poin kerusakan dari semua serangan terhadap permukaan planet, menambahkan kepada lapisan pelindung deflektor basis misil.

PLANETSHIELD_3_NAME    | Lapisan Pelindung Planet Kelas XX
PLANETSHIELD_3_DETAIL  | Menyerap 20 poin kerusakan dari semua serangan terhadap permukaan planet, menambahkan kepada lapisan pelindung deflektor basis misil.


//
// Repulsor tech 
//
REPULSOR_0_NAME    | Penolak Sinar
REPULSOR_0_BRIEF   | Menggerakkan kapal musuh mundur 1 ruang
REPULSOR_0_DETAIL  | Menolak kapal musuh mundur satu ruang lebih jauh dari kapal pertahanan. Senjata spesial ini memiliki suatu jangkauan satu-ruang.


//
// Reserve Fuel tech 
//
RSRVFUEL_0_NAME    | Tangki Penyimpanan Bahan Bakar
RSRVFUEL_0_BRIEF   | Menambah jangkauan kapal sebanyak %1 tahun cahaya
RSRVFUEL_0_DETAIL  | Tangki Penyimpanan Bahan Bakar meningkatkan jangkauan kapal.


//
// Robotic Controls techs 
//
ROBOTCTRL_0_NAME     | Peningkatan Kontrol Robotik III
ROBOTCTRL_0_DETAIL   | Memungkinkan 3 pabrik dioperasikan per populasi. Biaya perbaikan untuk peningkatan ini adalah setengah biaya standar setiap pabrik.

ROBOTCTRL_1_NAME     | Peningkatan Kontrol Robotik IV
ROBOTCTRL_1_DETAIL   | Memungkinkan 4 pabrik dioperasikan per populasi. Biaya perbaikan untuk peningkatan ini adalah biaya standar setiap pabrik.

ROBOTCTRL_2_NAME     | Peningkatan Kontrol Robotik V
ROBOTCTRL_2_DETAIL   | Memungkinkan 5 pabrik dioperasikan per populasi. Biaya perbaikan untuk peningkatan ini adalah 1,5 kali biaya standar setiap pabrik.

ROBOTCTRL_3_NAME     | Peningkatan Kontrol Robotik VI
ROBOTCTRL_3_DETAIL   | Memungkinkan 6 pabrik dioperasikan per populasi. Biaya perbaikan untuk peningkatan ini adalah dua kali biaya standar setiap pabrik.

ROBOTCTRL_4_NAME     | Peningkatan Kontrol Robotik VII
ROBOTCTRL_4_DETAIL   | Memungkinkan 7 pabrik dioperasikan per populasi. Biaya perbaikan untuk peningkatan ini adalah 2.5 kali biaya standar setiap pabrik.


//
// Scanner techs 
//
SCANNER_0_NAME       | Pemindai Pertempuran
SCANNER_0_BRIEF      | Memindai kapal musuh dalam pertempuran
SCANNER_0_DETAIL     | Mengungkap spesifikasi teknis dari kendaraan musuh di suatu pertempuran.

SCANNER_1_NAME       | Pemindai Ruang Angkasa Dalam
SCANNER_1_BRIEF      | Mendeteksi kapal hingga sejauh 5 tahun cahaya
SCANNER_1_DETAIL     | Mendeteksi kapal musuh hingga sejauh 5 tahun cahaya dari kolonimu dan sejauh 1 tahun cahaya dari kapalmu.

SCANNER_2_NAME       | Pemindai Ruang Angkasa yang Telah Diperbaiki
SCANNER_2_BRIEF      | Mendeteksi kapal dan tujuan hingga sejauh 7 tahun cahaya
SCANNER_2_DETAIL     | Mendeteksi kapal musuh hingga sejauh 7 tahun cahaya dari kolonimu dan sejauh 2 tahun cahaya dari kapalmu. Tujuan musuh bisa diketahui pasti.

SCANNER_3_NAME       | Pemindai Ruang Angkasa Canggih
SCANNER_3_BRIEF      | Memungkinkan eksplorasi planet hingga sejauh 9 tahun cahaya 
SCANNER_3_DETAIL     | Memungkinkan eksplorasi planet dari basis koloni hingga sejauh 9 tahun cahaya dan mendeteksi kapal musuh hingga sejauh 3 tahun cahaya dari kapalmu.


//
// Ship Inertial techs 
//
SHIPINERTIAL_0_NAME     | Stabiliser Tidak Bergerak
SHIPINERTIAL_0_BRIEF    | Menambahkan +2 untuk kemampuan manuver
SHIPINERTIAL_0_DETAIL   | Mengurangi inersia kapal, menambah 2 kelas kemampuan manuver dalam pertempuran (+2 pertahanan dan +1 kecepatan pertempuran).

SHIPINERTIAL_1_NAME     | Nulifier Tidak Bergerak
SHIPINERTIAL_1_BRIEF    | Menambahkan +4 untuk kemampuan manuver
SHIPINERTIAL_1_DETAIL   | Meniadakan inersia kapal, menambah 4 kelas kemampuan manuver dalam pertempuran. Juga mengurangi efek serangan Lubang Hitam sebanyak -30%.


//
// Ship Inertial techs 
//
SHIPNULLIFIER_0_NAME     | Nulifier Teknologi
SHIPNULLIFIER_0_BRIEF    | Menghancurkan komputer musuh
SHIPNULLIFIER_0_DETAIL   | Mencacah ECM dan Komputer Pertempuran musuh, mengurangi level mereka sebanyak 2-6 levels per serangan. Jangkauannya melebihi kebanyakan senjata kapal.

SHIPNULLIFIER_1_NAME     | Penghilang Lipatan
SHIPNULLIFIER_1_BRIEF    | Mengurangi kecepatan kapal musuh
SHIPNULLIFIER_1_DETAIL   | Penghilang Lipatan adalah senjata jarak jauh yang mengganggu mesin kapal bintang milik musuh, mengurangi kecepatan mereka dengan setiap serangan.


//
// Ship Weapon techs 
//
SHIPWPN_0_NAME         | Laser
SHIPWPN_0_ITEM2        | Laser Berat
SHIPWPN_0_DETAIL       | Senjata sinar tembak-langsung yang menimbulkan 1-4 poin kerusakan. Laser berat memiliki dua jangkauan ruang dan melakukan 1-7 poin kerusakan.

SHIPWPN_1_NAME         | Laser Gatling
SHIPWPN_1_BRIEF        | Menembak 4 kali/putaran
SHIPWPN_1_DETAIL       | Laser canggih yang menembak sampai empat kali per putaran untuk 1-4 poin kerusanan dengan setiap pukulannya.

SHIPWPN_2_NAME         | Pistol Pelet Neutron
SHIPWPN_2_BRIEF        | Membelah kekuatan perisai atau pelindung
SHIPWPN_2_DETAIL       | Senjata arus partikel berat yang membelah efektivitas perisai deflektor musuh dan menimbulkan 2 sampai 5 poin kerusakan.

SHIPWPN_3_NAME         | Meriam Ion
SHIPWPN_3_ITEM2        | Meriam Ion Berat
SHIPWPN_3_DETAIL       | Senjata sinar intensitas tinggi yang bisa menimbulkan 3-8 poin kerusakan. Meriam Ion Berat memukul untuk 3-15 dan memiliki dua jangkauan ruang.

SHIPWPN_4_NAME         | Poros Massa
SHIPWPN_4_BRIEF        | Membelah Kekuatan Perisai
SHIPWPN_4_DETAIL       | Akselerator linear yang membelah efektivitas perisao deflektor musuh dan menimbulkan 5-8 poin kerusakan.

SHIPWPN_5_NAME         | Peledak Neutron
SHIPWPN_5_ITEM2        | Peledak Neutron Berat
SHIPWPN_5_DETAIL       | Senjata sinar kekuatan tinggi yang mampu menimbulkan 3-12 poin kerusakan. Peledak neutron berat memukul sebanyak 3-24 poin dan memiliki 2 jangkauan ruang.

SHIPWPN_6_NAME         | Sinar Graviton
SHIPWPN_6_BRIEF        | Serangan Arus
SHIPWPN_6_DETAIL       | Sinar Tractor-repulsor yang mampu membuat kapal pecah berkeping-keping. Senjata ini menyerang untuk  1-15 poin kerusakan, dan efek arus berkelanjutannya memungkinkan kerusakan berlebih untuk diteruskan kepada kapal lain.

SHIPWPN_7_NAME         | Sinar Berat
SHIPWPN_7_BRIEF        | Membelah Kekuatan Perisai
SHIPWPN_7_DETAIL       | Senjata sinar pengubah energi-menjadi-materi yang membelah efektivitas perisai deflektor musuh, dan menimbulkan 8-12 poin kerusakan.

SHIPWPN_8_NAME         | Sinar Fusi
SHIPWPN_8_ITEM2        | Sinar Fusi Berat
SHIPWPN_8_DETAIL       | Senjata sinar intensitas tinggi yang mampu melakukan 4-16 poin kerusakan. Sinar fusi berat memukul sebanyak 4-30 poin dan memiliki 2 jangkauan ruang.

SHIPWPN_9_NAME         | Meriam Megabolt
SHIPWPN_9_BRIEF        | +3 level untuk memukul
SHIPWPN_9_DETAIL       | Melepas banyak anak panah berenergi murni dalam bidang yang luas. Senjata ini memiliki +30% bonus kesempatan untuk memukul dan menyerang 2-20 poin kerusakan.

SHIPWPN_10_NAME        | Phasor
SHIPWPN_10_ITEM2       | Phasor Berat
SHIPWPN_10_DETAIL      | Sinar energi-phasa yang mampu menimbulkan 5 sampai 20 poin kerusakan. Phasor Berat memukul sebanyak 5-40 poin kerusakan dan memiliki dua jangkauan ruang.

SHIPWPN_11_NAME        | Peledak Otomatis
SHIPWPN_11_BRIEF       | Menembak 3 kali/putaran
SHIPWPN_11_DETAIL      | Peledak neutron canggih yang menembah hingga tiga kali per giliran untuk 4-16 poin kerusakan per pukulan.

SHIPWPN_12_NAME        | Sinar Tachyon
SHIPWPN_12_BRIEF       | Serangan Arus
SHIPWPN_12_DETAIL      | Menembakkan arus intens partikel tachyon yang memukul kapal musuh sebanyak 1-25 pukulan. Efek arus berkelanjutannya memungkinkan kerusakan berlebih untuk diteruskan kepada kapal lain.

SHIPWPN_13_NAME        | Meriam Otomatis Gauss
