

//
// Armor techs
// 
// 第1次校对：2021.12.14

ARMOR_0_NAME     | 钛装甲
FUTUREWEAPON_9_DETAIL  | 提高武器技术。 


//
// Hand Weapon techs
//
HANDWEAPON_0_NAME      | 
HANDWEAPON_0_DETAIL    | 

HANDWEAPON_1_NAME      | 手持镭射枪
HANDWEAPON_1_DETAIL    | 单体镭射枪，地面部队的战斗点数+5。

HANDWEAPON_2_NAME      | 离子步枪
HANDWEAPON_2_DETAIL    | 单体激光武器，地面部队的战斗点数+10。

HANDWEAPON_3_NAME      | 聚变步枪
HANDWEAPON_3_DETAIL    | 不稳定但强大的激光武器，地面部队的战斗点数+20。

HANDWEAPON_4_NAME      | 向量步枪
HANDWEAPON_4_DETAIL    | 强大的手持能量武器，遭到攻击的敌人会被原子化。 地面部队的战斗点数+25。

HANDWEAPON_5_NAME      | 等离子步枪
HANDWEAPON_5_DETAIL    | 最有破坏力的手持武器。地面部队的战斗点数+30。


//
// Hyperspace Communication tech
//
HYPERSPACE_0_NAME      | 超时空通讯
HYPERSPACE_0_DETAIL    | 允许你与舰队进行超时空通讯，让舰队在航行过程中改变目的地。


//
// Improved Industrial techs
//
IMPRINDUSTRY_0_NAME     | 工厂成本9
IMPRINDUSTRY_0_DETAIL   | 将每个工厂的建造成本降低为9BC。


IMPRINDUSTRY_1_NAME     | 工厂成本8
IMPRINDUSTRY_1_DETAIL   | 将每个工厂的建造成本降低为8BC。

IMPRINDUSTRY_2_NAME     | 工厂成本7
IMPRINDUSTRY_2_DETAIL   | 将每个工厂的建造成本降低为7BC。

IMPRINDUSTRY_3_NAME     | 工厂成本6
IMPRINDUSTRY_3_DETAIL   | 将每个工厂的建造成本降低为6BC。

IMPRINDUSTRY_4_NAME     | 工厂成本5
IMPRINDUSTRY_4_DETAIL   | 将每个工厂的建造成本降低为5BC。

IMPRINDUSTRY_5_NAME     | 工厂成本4
IMPRINDUSTRY_5_DETAIL   | 将每个工厂的建造成本降低为4BC。

IMPRINDUSTRY_6_NAME     | 工厂成本3
IMPRINDUSTRY_6_DETAIL   | 将每个工厂的建造成本降低为3BC。

IMPRINDUSTRY_7_NAME     | 工厂成本2
IMPRINDUSTRY_7_DETAIL   | 将每个工厂的建造成本降低为2BC。


//
// Improved Terraforming techs
//
IMPRTFORM_0_NAME        | 环境改造+10
IMPRTFORM_0_DETAIL      | 行星人口上限增加10单位，每单位成本为5。


IMPRTFORM_1_NAME        | 环境改造+20
IMPRTFORM_1_DETAIL      | 行星人口上限增加20单位，每单位成本为5。

IMPRTFORM_2_NAME        | 环境改造+30
IMPRTFORM_2_DETAIL      | 行星人口上限增加30单位，每单位成本为4。

IMPRTFORM_3_NAME        | 环境改造+40
IMPRTFORM_3_DETAIL      | 行星人口上限增加40，每单位成本为4。

IMPRTFORM_4_NAME        | 环境改造+50
IMPRTFORM_4_DETAIL      | 行星人口上限增加50，每单位成本为3。

IMPRTFORM_5_NAME        | 环境改造+60
IMPRTFORM_5_DETAIL      | 行星人口上限增加60，每单位成本为3。

IMPRTFORM_6_NAME        | 环境改造+80
IMPRTFORM_6_DETAIL      | 行星人口上限增加80，每单位成本为2。

IMPRTFORM_7_NAME        | 环境改造+100
IMPRTFORM_7_DETAIL      | 行星人口上限增加100，每单位成本为2。

IMPRTFORM_8_NAME        | 彻底环境改造
IMPRTFORM_8_DETAIL      | 行星人口上限增加120，每单位成本为2。


//
// Industrial Waste techs
//
INDWASTE_0_NAME         | 工业污染减少80%
INDWASTE_0_DETAIL       | 工厂造成的污染是正常水平的80%。

INDWASTE_1_NAME         | 工业污染减少60%
INDWASTE_1_DETAIL       | 工厂造成的污染是正常水平的60%。

INDWASTE_2_NAME         | 工业污染减少40%
INDWASTE_2_DETAIL       | 工厂造成的污染是正常水平的40%。

INDWASTE_3_NAME         | 工业污染减少20%
INDWASTE_3_DETAIL       | 工厂造成的污染是正常水平的20%。

INDWASTE_4_NAME         | 工业0污染
INDWASTE_4_DETAIL       | 工厂不再制造污染。


//
// Missile Defense techs
//
MISSDEF_0_NAME      | 反导弹火箭
MISSDEF_0_BRIEF     | 40%的概率摧毁导弹
MISSDEF_0_DETAIL    | 超光速反导火箭。能够以40%的概率摧毁以自己为目标的导弹。对方导弹等级每提高1级，反导效果降低1%。

MISSDEF_1_NAME      | 零盾反导系统
MISSDEF_1_BRIEF     | 75%的概率摧毁导弹
MISSDEF_1_DETAIL    | 初级能量盾。能够以75%的概率摧毁以自己为目标的导弹。对方导弹等级每提高1级，反导效果降低1%。


MISSDEF_2_NAME      | 闪电盾反导系统
MISSDEF_2_BRIEF     | 100%的概率摧毁导弹
MISSDEF_2_DETAIL    | 高级能量盾。能够以100%的概率摧毁以自己为目标的导弹。对方导弹等级每提高1级，反导效果降低1%。

//
// Missile Weapon techs
//
MISSWPN_0_NAME      | 核导弹
MISSWPN_0_BRIEF     | 2发, +1速度
MISSWPN_0_BRIEF2    | 5发
MISSWPN_0_DETAIL    | 搭载核弹头的导弹，爆炸时造成4点伤害，移动速度为2。


MISSWPN_1_NAME      | 五号火箭弹
MISSWPN_1_BRIEF     | 2发, +1速度
MISSWPN_1_BRIEF2    | 5发
MISSWPN_1_DETAIL    | 高速导弹，爆炸时造成6点伤害，移动速度为2.5。


MISSWPN_2_NAME      | 十号火箭弹
MISSWPN_2_BRIEF     | 2发, +1精准
MISSWPN_2_BRIEF2    | 5发, +1精准
MISSWPN_2_DETAIL    | 装载了高能弹头的导弹，爆炸时造成8点伤害，移动速度为2.5，精准度+1。

MISSWPN_3_NAME      | 5弹头分离式火箭弹
MISSWPN_3_BRIEF     | 2发, +1速度
MISSWPN_3_BRIEF2    | 5发
MISSWPN_3_DETAIL    | 多弹头型号的五号火箭弹，能在空中分离出5个弹头，每个造成6点伤害，移动速度为2.5。

MISSWPN_4_NAME      | 水星导弹
MISSWPN_4_BRIEF     | 2发, +2精准
MISSWPN_4_BRIEF2    | 5发, +2精准
MISSWPN_4_DETAIL    | 强力的高速导弹，爆炸时造成10点伤害，移动速度为2，精准度+2。

MISSWPN_5_NAME      | 毒刺导弹
MISSWPN_5_BRIEF     | 2发, +3精准
MISSWPN_5_BRIEF2    | 5发, +3精准
MISSWPN_5_DETAIL    | 非常精准的导弹。造成15点伤害，移动速度3.5，精准度+3。

MISSWPN_6_NAME      | 7弹头分离式火箭弹
MISSWPN_6_BRIEF     | 2发, 分离弹头7
MISSWPN_6_BRIEF2    | 5发, 分离弹头7
MISSWPN_6_DETAIL    | 多弹头型号的五号火箭弹，能在空中分离出7个弹头，每个造成10点伤害，移动速度为3，精准度+2。


MISSWPN_7_NAME      | 脉冲导弹
MISSWPN_7_BRIEF     | 2发, +4精准
MISSWPN_7_BRIEF2    | 5发, +4精准
MISSWPN_7_DETAIL    | 搭载了反物质弹头的导弹，爆炸时造成20点伤害，移动速度为4，精准度+4。


MISSWPN_8_NAME      | 赫拉克勒斯导弹
MISSWPN_8_BRIEF     | 2发, +5精准
MISSWPN_8_BRIEF2    | 5发, +5精准
MISSWPN_8_DETAIL    | 先进的导弹，爆炸时造成25伤害，移动速度为4.5，精准度+5。


MISSWPN_9_NAME      | 锡安导弹
MISSWPN_9_BRIEF     | 2发, +6精准
MISSWPN_9_BRIEF2    | 5发, +6精准
MISSWPN_9_DETAIL    | 导弹技术的精华产物，造成30点伤害，移动速度为5，精准度+6。


MISSWPN_10_NAME      | 10弹头分离式导弹
MISSWPN_10_BRIEF     | 2发, 分离弹头10
MISSWPN_10_BRIEF2    | 5发, 分离弹头10
MISSWPN_10_DETAIL    | 多弹头型号的毒刺导弹，能分离出10个弹头，每个弹头造成15点伤害，速度为3.5，制导系统等级+3。


//
// Personal Shield techs for ground combat
//
// default "no shield" tech that each player starts with
PERSSHIELD_0_NAME     | 
PERSSHIELD_0_DETAIL   | 

PERSSHIELD_1_NAME     | 单兵力场盾
PERSSHIELD_1_DETAIL   | 为地面部队提供单方向的立场盾。地面战斗的点数+10。


PERSSHIELD_2_NAME     | 单兵吸收盾
PERSSHIELD_2_DETAIL   | 吸收手持武器的伤害。地面战斗的点数+20。

PERSSHIELD_3_NAME     | 单兵无限盾
PERSSHIELD_3_DETAIL   | 将士兵包围在一个几乎不可穿透的力场中。地面战斗的点数+30。


//
// Planetary Shield techs 
//
PLANETSHIELD_0_NAME    | 5级行星盾
PLANETSHIELD_0_DETAIL  | 吸收5点对行星地表造成的伤害，增强导弹基地的力场盾等级。

PLANETSHIELD_1_NAME    | 10级行星盾
PLANETSHIELD_1_DETAIL  | 吸收10点对行星地表造成的伤害，增强导弹基地的力场盾等级。

PLANETSHIELD_2_NAME    | 15级行星盾
PLANETSHIELD_2_DETAIL  | 吸收15点对行星地表造成的伤害，增强导弹基地的力场盾等级。

PLANETSHIELD_3_NAME    | 20级行星盾
PLANETSHIELD_3_DETAIL  | 吸收20点对行星地表造成的伤害，增强导弹基地的力场盾等级。


//
// Repulsor tech 
//
REPULSOR_0_NAME    | 弹射激光
REPULSOR_0_BRIEF   | 将敌方飞船弹开1格
REPULSOR_0_DETAIL  | 将敌方飞船从防御飞船的身边弹开1格，这个武器对1格内的敌人起作用。




//
// Reserve Fuel tech 
//
RSRVFUEL_0_NAME    | 备用燃料箱
RSRVFUEL_0_BRIEF   | 将飞船的航行距离提高%1光年
RSRVFUEL_0_DETAIL  | 备用燃料箱可以提高飞船的航行距离


//
// Robotic Controls techs 
//
ROBOTCTRL_0_NAME     | 自动化控制3阶
ROBOTCTRL_0_DETAIL   | 允许每单位人口控制2个工厂。升级改装成本等于工厂的制造成本。

ROBOTCTRL_1_NAME     | 自动化控制4阶
ROBOTCTRL_1_DETAIL   | 允许每单位人口控制4个工厂。升级改装成本等于工厂的制造成本。

ROBOTCTRL_2_NAME     | 自动化控制5阶
ROBOTCTRL_2_DETAIL   | 允许每单位人口控制5个工厂。升级改装成本等于工厂制造成本的1.5倍。

ROBOTCTRL_3_NAME     | 自动化控制6阶
ROBOTCTRL_3_DETAIL   | 允许每单位人口控制6个工厂。升级改装成本等于工厂的制造成本的2倍。

ROBOTCTRL_4_NAME     | 自动化控制7阶
ROBOTCTRL_4_DETAIL   | 允许每单位人口控制7个工厂。升级改装成本等于工厂的制造成本的2.5倍。


//
// Scanner techs 
//
SCANNER_0_NAME       | 战场扫描
SCANNER_0_BRIEF      | 扫描战场上的敌方舰船
SCANNER_0_DETAIL     | 展示敌方舰船的科技参数。

SCANNER_1_NAME       | 太空雷达
SCANNER_1_BRIEF      | 探测5光年内的敌方舰船
SCANNER_1_DETAIL     | 能够探测到距离殖民地5光年、或距离己方舰船1光年的敌方舰船。


SCANNER_2_NAME       | 增强太空雷达
SCANNER_2_BRIEF      | 探测7光年内的敌方舰船
SCANNER_2_DETAIL     | 能够探测到距离殖民地7光年、或距离己方舰船2光年的敌方舰船。能够了解到对方的目的地。

SCANNER_3_NAME       | 高级太空雷达
SCANNER_3_BRIEF      | 探测9光年内的敌方舰船
SCANNER_3_DETAIL     | 能够探测到距离殖民地9光年、或距离己方舰船3光年的敌方舰船。


//
// Ship Inertial techs 
//
SHIPINERTIAL_0_NAME     | 惯性稳定器
SHIPINERTIAL_0_BRIEF    | 可操作性+2
SHIPINERTIAL_0_DETAIL   | 降低飞船的惯性，战斗中飞船的可操作性+2，且增加2点防御和1点速度。


SHIPINERTIAL_1_NAME     | 惯性吸收器
SHIPINERTIAL_1_BRIEF    | 可操作性+4
SHIPINERTIAL_1_DETAIL   | 抵消飞船的惯性，战斗中飞船的可操作性+4，同时让黑洞的效果减少30%。


//
// Ship Inertial techs 
//
SHIPNULLIFIER_0_NAME     | 科技破坏者
SHIPNULLIFIER_0_BRIEF    | 破坏敌舰的电脑
SHIPNULLIFIER_0_DETAIL   | 损坏敌舰的电脑和电子干扰器，每次攻击将其等级降低2到6级。它的射程超过大部分武器。

SHIPNULLIFIER_1_NAME     | 曲速干扰器
SHIPNULLIFIER_1_BRIEF    | 降低敌人飞船的速度
SHIPNULLIFIER_1_DETAIL   | 曲速干扰器是一种长距离武器，每次攻击时能够降低敌人的速度。

//
// Ship Weapon techs 
//
SHIPWPN_0_NAME         | 激光炮
SHIPWPN_0_ITEM2        | 重激光炮
SHIPWPN_0_DETAIL       | 激光武器，能造成1到4点伤害。重激光炮的射程有2格，能造成1到7点伤害。


SHIPWPN_1_NAME         | 加特林激光炮
SHIPWPN_1_BRIEF        | 每回合开火4次
SHIPWPN_1_DETAIL       | 一种进阶激光武器，一回合至多开火4次，每次击中能够造成1到4点伤害。

SHIPWPN_2_NAME         | 中子压力炮
SHIPWPN_2_BRIEF        | 力场盾减半
SHIPWPN_2_DETAIL       | 粒子光速武器，能将敌人力场盾的效果减半，并造成2到5点伤害。

SHIPWPN_3_NAME         | 离子炮
SHIPWPN_3_ITEM2        | 重型离子炮
SHIPWPN_3_DETAIL       | 离子炮是一种高强度的激光武器，能够造成3到8点伤害。重型离子炮造成3到15点伤害，有2格射程。


SHIPWPN_4_NAME         | 质量炮
SHIPWPN_4_BRIEF        | 力场盾减半
SHIPWPN_4_DETAIL       | 一种线性激光武器，能将敌舰的力场盾效果减半，造成5到8点伤害。


SHIPWPN_5_NAME         | 中子大炮
SHIPWPN_5_ITEM2        | 重型中子大炮
SHIPWPN_5_DETAIL       | 能量强大的激光武器，能造成3到12点伤害。重型中子大炮能造成3到24点伤害，有2格射程。

SHIPWPN_6_NAME         | 引力子激光炮
SHIPWPN_6_BRIEF        | 流体攻击
SHIPWPN_6_DETAIL       | 能将飞船瞬间摧毁的牵引光速炮，造成1到15点伤害。流体效果还能持续伤害到其他飞船。

SHIPWPN_7_NAME         | 硬质激光炮
SHIPWPN_7_BRIEF        | 力场盾减半
SHIPWPN_7_DETAIL       | 一种把能量转化为实体的激光炮，能将敌舰的效果减半，造成8到12点伤害。

SHIPWPN_8_NAME         | 融合激光炮
SHIPWPN_8_ITEM2        | 重型融合激光炮
SHIPWPN_8_DETAIL       | 高强度的激光武器，能造成4到16点伤害。重型融合激光炮能造成4到30点伤害，有2格攻击距离。

SHIPWPN_9_NAME         | 万束炮
SHIPWPN_9_BRIEF        | +3精准
SHIPWPN_9_DETAIL       | 往一个区域发射多束强光。增加30%的命中率，造成2到20点伤害。


SHIPWPN_10_NAME        | 相位炮
SHIPWPN_10_ITEM2       | 重型相位炮
SHIPWPN_10_DETAIL      | 基于相位能量的激光武器，造成5到20点伤害。重型相位炮造成5到40点伤害，有2格射程。


SHIPWPN_11_NAME        | 自动炮
SHIPWPN_11_BRIEF       | 每回合3次攻击
SHIPWPN_11_DETAIL      | 一种每回合能射击3次的中子激光炮，造成4到16点伤害。


SHIPWPN_12_NAME        | 速子激光炮
SHIPWPN_12_BRIEF       | 流体攻击
SHIPWPN_12_DETAIL      | 发出一道超光速粒子，造成1到25点伤害。持续的流体效果能伤害到其他飞船。



SHIPWPN_13_NAME        | 高斯机动炮
SHIPWPN_13_BRIEF       | 力场盾减半，开火4次
SHIPWPN_13_DETAIL      | 一种先进的粒子加速武器，能每回合开火4次，造成7到10点伤害，能将敌人的力场盾减半。


SHIPWPN_14_NAME        | 粒子激光炮
SHIPWPN_14_BRIEF       | 力场盾减半
SHIPWPN_14_DETAIL      | 高强度的粒子加速武器，造成10到20点伤害，将力场盾的效果减半。


SHIPWPN_15_NAME        | 等离子炮
SHIPWPN_15_DETAIL      | 发出数道等离子激光，造成6到10点伤害，射程为1格。


SHIPWPN_16_NAME        | 死亡光线
SHIPWPN_16_DETAIL      | 一种来自上古文明的致命武器，造成200到1000点伤害，有1格射程。



SHIPWPN_17_NAME        | 扰动炮
SHIPWPN_17_DETAIL      | 发出数导纯能量光线，击中至多两格外的敌人，造成10到40点伤害。


SHIPWPN_18_NAME        | 脉冲相位炮
SHIPWPN_18_BRIEF       | 每回合开火3次
SHIPWPN_18_DETAIL      | 一种先进的相位炮，每回合能够开火3次，造成5到20点伤害。


SHIPWPN_19_NAME        | 三合等离子炮
SHIPWPN_19_DETAIL      | 发出3道等离子光速，造成20到50点伤害。


SHIPWPN_20_NAME        | 恒星转换器
SHIPWPN_20_BRIEF       | 
SHIPWPN_20_DETAIL      | 创造一个包围敌舰的反物质能量场，每次攻击造成10到35点，攻击距离为3格。



SHIPWPN_21_NAME        | 毛勒炮
SHIPWPN_21_DETAIL      | 向敌人发出多束强烈激光，造成20到100点伤害。

SHIPWPN_22_NAME        | 变形光线
SHIPWPN_22_DETAIL      | 造成250到1000伤害的强力光线武器。流体效果能还能伤害到其他飞船。


SHIPWPN_23_NAME        | 水晶射线
SHIPWPN_23_DETAIL      | 包裹住敌方飞船的水晶射线，能发动4次攻击，造成100到300点伤害，有3格攻击距离。


//
// Soil Enrichment techs
//
SOILENRICH_0_NAME     | 土壤改良
SOILENRICH_0_DETAIL   | 将普通星球改造为肥沃星球，人口增长率提高50%，耗费150BC，将星球人口上限提高25%。


SOILENRICH_1_NAME     | 进阶土壤改良
SOILENRICH_1_DETAIL   | 将普通和肥沃星球改造为天堂星球，让人口增长率翻倍，耗费300BC，将星球的人口上限提高50%。


//
// Stargate tech
//
STARGATE_0_NAME      | 星门
STARGATE_0_DETAIL    | 让你的飞船在建造了星门的行星之间穿梭，建造费用为3000BC。


//
// Stasis Field tech
//
STASIS_0_NAME      | 极冻之域
STASIS_0_BRIEF     | 敌人无法行动1回合
STASIS_0_DETAIL    | 将敌舰冰冻1回合，射程为1格。被冰冻的飞船无法攻击和被攻击。


//
// Stream Weapon techs
//
STREAMWPN_0_NAME    | 离子束发射器
STREAMWPN_0_BRIEF   | 敌军护甲减少20%
STREAMWPN_0_DETAIL  | 发出一道强大的离子光束，降低敌舰20%的护甲。每多2艘飞船发射离子光束，效果加1%，至多减少50%的护甲。


STREAMWPN_1_NAME    | 中子束发射器
STREAMWPN_1_BRIEF   | 敌军护甲减少40%
STREAMWPN_1_DETAIL  | 发出一道强大的中子光束，降低敌舰40%的护甲。每多2艘飞船发射离子光束，效果加1%，至多减少75%的护甲。


//
// Subspace Interdictor tech
//
SUBSPACEINT_0_NAME    | 亚空间拦截器
SUBSPACEINT_0_DETAIL  | 限制敌人使用亚空间传送器和军队传送器。这个装置会被自动安装在行星的导弹基地上。


//
// Subspace Teleporter tech
//
SUBSPACETEL_0_NAME    | 亚空间传送器
SUBSPACETEL_0_BRIEF   | 飞船可以在战场上传送
SUBSPACETEL_0_DETAIL  | 飞船在移动或攻击前，可以直接把飞船传送到战场的任何位置。




//
// Ship Torpedo Weapon techs
//
TORPEDO_0_NAME        | 反物质鱼雷
TORPEDO_0_BRIEF       | 每2回合发射1次
TORPEDO_0_DETAIL      | 自动瞄准鱼雷，每次造成30点伤害，但隔1回合才能发射1次。每个鱼雷都配备了让精准度+4的制导设备。

TORPEDO_1_NAME        | 地狱火鱼雷
TORPEDO_1_BRIEF       | 
TORPEDO_1_DETAIL      | 高速鱼雷，它的速度为5，配备了精准度为6的制导设备，造成4次25点伤害。



TORPEDO_2_NAME        | 质子鱼雷
TORPEDO_2_BRIEF       | 每2回合发射1次
TORPEDO_2_DETAIL      | 一种能量鱼雷，造成75点伤害，但每隔1回合才能发射1次。配备了精准度+6的制导设备。



TORPEDO_3_NAME        | 等离子鱼雷
TORPEDO_3_BRIEF       | 伤害-15/每格
TORPEDO_3_DETAIL      | 一种高精度能量鱼雷，造成150点伤害，移动速度为6。每移动1格，它的伤害就减少15。每隔1回合才能发射1次。配备了精准度+7的制导设备。
