

//
// Armor techs
// 
ARMOR_0_NAME     | Titanijum Oklop
FUTURECONST_7_DETAIL  | Opšta Poboljšanja Tehnologija Konstrukcije.

FUTURECONST_8_NAME    | Buduća Konstrukcija IX
FUTURECONST_8_DETAIL  | Opšta Poboljšanja Tehnologija Konstrukcije.

FUTURECONST_9_NAME    | Buduća Konstrukcija X
FUTURECONST_9_DETAIL  | Opšta Poboljšanja Tehnologija Konstrukcije. 


//
// Future Force Field techs
//
FUTUREFORCE_0_NAME    | Buduća Polja Sile I
FUTUREFORCE_0_DETAIL  | Opšta Poboljšanja Tehnologija Polja Sile.

FUTUREFORCE_1_NAME    | Buduća Polja Sile II
FUTUREFORCE_1_DETAIL  | Opšta Poboljšanja Tehnologija Polja Sile.

FUTUREFORCE_2_NAME    | Buduća Polja Sile III
FUTUREFORCE_2_DETAIL  | Opšta Poboljšanja Tehnologija Polja Sile.

FUTUREFORCE_3_NAME    | Buduća Polja Sile IV
FUTUREFORCE_3_DETAIL  | Opšta Poboljšanja Tehnologija Polja Sile.

FUTUREFORCE_4_NAME    | Buduća Polja Sile V
FUTUREFORCE_4_DETAIL  | Opšta Poboljšanja Tehnologija Polja Sile.

FUTUREFORCE_5_NAME    | Buduća Polja Sile VI
FUTUREFORCE_5_DETAIL  | Opšta Poboljšanja Tehnologija Polja Sile.

FUTUREFORCE_6_NAME    | Buduća Polja Sile VII
FUTUREFORCE_6_DETAIL  | Opšta Poboljšanja Tehnologija Polja Sile.

FUTUREFORCE_7_NAME    | Buduća Polja Sile VIII
FUTUREFORCE_7_DETAIL  | Opšta Poboljšanja Tehnologija Polja Sile.

FUTUREFORCE_8_NAME    | Buduća Polja Sile IX
FUTUREFORCE_8_DETAIL  | Opšta Poboljšanja Tehnologija Polja Sile.

FUTUREFORCE_9_NAME    | Buduća Polja Sile X
FUTUREFORCE_9_DETAIL  | Opšta Poboljšanja Tehnologija Polja Sile.


//
// Future Planetology techs
//
FUTUREPLANET_0_NAME    | Buduća Planetologija I
FUTUREPLANET_0_DETAIL  | Opšta Poboljšanja Tehnologija Planetologije.

FUTUREPLANET_1_NAME    | Buduća Planetologija II
FUTUREPLANET_1_DETAIL  | Opšta Poboljšanja Tehnologija Planetologije.

FUTUREPLANET_2_NAME    | Buduća Planetologija III
FUTUREPLANET_2_DETAIL  | Opšta Poboljšanja Tehnologija Planetologije.

FUTUREPLANET_3_NAME    | Buduća Planetologija IV
FUTUREPLANET_3_DETAIL  | Opšta Poboljšanja Tehnologija Planetologije.

FUTUREPLANET_4_NAME    | Buduća Planetologija V
FUTUREPLANET_4_DETAIL  | Opšta Poboljšanja Tehnologija Planetologije.

FUTUREPLANET_5_NAME    | Buduća Planetologija VI
FUTUREPLANET_5_DETAIL  | Opšta Poboljšanja Tehnologija Planetologije.

FUTUREPLANET_6_NAME    | Buduća Planetologija VII
FUTUREPLANET_6_DETAIL  | Opšta Poboljšanja Tehnologija Planetologije.

FUTUREPLANET_7_NAME    | Buduća Planetologija VIII
FUTUREPLANET_7_DETAIL  | Opšta Poboljšanja Tehnologija Planetologije.

FUTUREPLANET_8_NAME    | Buduća Planetologija IX
FUTUREPLANET_8_DETAIL  | Opšta Poboljšanja Tehnologija Planetologije.

FUTUREPLANET_9_NAME    | Buduća Planetologija X
FUTUREPLANET_9_DETAIL  | Opšta Poboljšanja Tehnologija Planetologije.


//
// Future Propulsion techs
//
FUTUREPROP_0_NAME    | Budući Pogon I
FUTUREPROP_0_DETAIL  | Opšta Poboljšanja Tehnologija Pogona.

FUTUREPROP_1_NAME    | Budući Pogon II
FUTUREPROP_1_DETAIL  | Opšta Poboljšanja Tehnologija Pogona.

FUTUREPROP_2_NAME    | Budući Pogon III
FUTUREPROP_2_DETAIL  | Opšta Poboljšanja Tehnologija Pogona.

FUTUREPROP_3_NAME    | Budući Pogon IV
FUTUREPROP_3_DETAIL  | Opšta Poboljšanja Tehnologija Pogona.

FUTUREPROP_4_NAME    | Budući Pogon V
FUTUREPROP_4_DETAIL  | Opšta Poboljšanja Tehnologija Pogona.

FUTUREPROP_5_NAME    | Budući Pogon VI
FUTUREPROP_5_DETAIL  | Opšta Poboljšanja Tehnologija Pogona.

FUTUREPROP_6_NAME    | Budući Pogon VII
FUTUREPROP_6_DETAIL  | Opšta Poboljšanja Tehnologija Pogona.

FUTUREPROP_7_NAME    | Budući Pogon VIII
FUTUREPROP_7_DETAIL  | Opšta Poboljšanja Tehnologija Pogona.

FUTUREPROP_8_NAME    | Budući Pogon IX
FUTUREPROP_8_DETAIL  | Opšta Poboljšanja Tehnologija Pogona.

FUTUREPROP_9_NAME    | Budući Pogon X
FUTUREPROP_9_DETAIL  | Opšta Poboljšanja Tehnologija Pogona.


//
// Future Weapon techs
//
FUTUREWEAPON_0_NAME    | Buduće Oružje I
FUTUREWEAPON_0_DETAIL  | Opšta Poboljšanja Tehnologija Oružja.

FUTUREWEAPON_1_NAME    | Buduće Oružje II
FUTUREWEAPON_1_DETAIL  | Opšta Poboljšanja Tehnologija Oružja.

FUTUREWEAPON_2_NAME    | Buduće Oružje III
FUTUREWEAPON_2_DETAIL  | Opšta Poboljšanja Tehnologija Oružja.

FUTUREWEAPON_3_NAME    | Buduće Oružje IV
FUTUREWEAPON_3_DETAIL  | Opšta Poboljšanja Tehnologija Oružja.

FUTUREWEAPON_4_NAME    | Buduće Oružje V
FUTUREWEAPON_4_DETAIL  | Opšta Poboljšanja Tehnologija Oružja.

FUTUREWEAPON_5_NAME    | Buduće Oružje VI
FUTUREWEAPON_5_DETAIL  | Opšta Poboljšanja Tehnologija Oružja.

FUTUREWEAPON_6_NAME    | Buduće Oružje VII
FUTUREWEAPON_6_DETAIL  | Opšta Poboljšanja Tehnologija Oružja.

FUTUREWEAPON_7_NAME    | Buduće Oružje VIII
FUTUREWEAPON_7_DETAIL  | Opšta Poboljšanja Tehnologija Oružja.

FUTUREWEAPON_8_NAME    | Buduće Oružje IX
FUTUREWEAPON_8_DETAIL  | Opšta Poboljšanja Tehnologija Oružja.

FUTUREWEAPON_9_NAME    | Buduće Oružje X
FUTUREWEAPON_9_DETAIL  | Opšta Poboljšanja Tehnologija Oružja. 


//
// Hand Weapon techs
//
HANDWEAPON_0_NAME      | 
HANDWEAPON_0_DETAIL    | 

HANDWEAPON_1_NAME      | Ručni Laseri
HANDWEAPON_1_DETAIL    | Lični laseri koji dodaju 5 poena na sve napade na tlu.

HANDWEAPON_2_NAME      | Jonska Puška
HANDWEAPON_2_DETAIL    | Lično zrakovno oružje koje dodaje 10 poena na sve napade na tlu.

HANDWEAPON_3_NAME      | Fuziona Puška
HANDWEAPON_3_DETAIL    | Neprecizno ali neverovatno snažno zrakovno oružje koje dodaje 20 poena na sve napade na tlu.

HANDWEAPON_4_NAME      | Ručni Fazor
HANDWEAPON_4_DETAIL    | Moćno ručno energetsko oružje sposobno da rastvori neprijatelje u atome. Dodaje 25 poena na sve napade na tlu.

HANDWEAPON_5_NAME      | Plazma Puška
HANDWEAPON_5_DETAIL    | Najrazornije ručno oružje koje je dostupno. Dodaje 30 poena na sve napade na tlu.


//
// Hyperspace Communication tech
//
HYPERSPACE_0_NAME      | Hiperprostorna Komunikacija
HYPERSPACE_0_DETAIL    | Omogućava vam da komunicirate sa brodskim flotama u hiperprostoru i menjate njihova odredišta dok su na putu.


//
// Improved Industrial techs
//
IMPRINDUSTRY_0_NAME     | Poboljšana Industrijska Teh 9
IMPRINDUSTRY_0_DETAIL   | Smanjuje cenu proizvodnje fabrika na 9 MK.

IMPRINDUSTRY_1_NAME     | Poboljšana Industrijska Teh 8
IMPRINDUSTRY_1_DETAIL   | Smanjuje cenu proizvodnje fabrika na 8 MK.

IMPRINDUSTRY_2_NAME     | Poboljšana Industrijska Teh 7
IMPRINDUSTRY_2_DETAIL   | Smanjuje cenu proizvodnje fabrika na 7 MK.

IMPRINDUSTRY_3_NAME     | Poboljšana Industrijska Teh 6
IMPRINDUSTRY_3_DETAIL   | Smanjuje cenu proizvodnje fabrika na 6 MK.

IMPRINDUSTRY_4_NAME     | Poboljšana Industrijska Teh 5
IMPRINDUSTRY_4_DETAIL   | Smanjuje cenu proizvodnje fabrika na 5 MK.

IMPRINDUSTRY_5_NAME     | Poboljšana Industrijska Teh 4
IMPRINDUSTRY_5_DETAIL   | Smanjuje cenu proizvodnje fabrika na 4 MK.

IMPRINDUSTRY_6_NAME     | Poboljšana Industrijska Teh 3
IMPRINDUSTRY_6_DETAIL   | Smanjuje cenu proizvodnje fabrika na 3 MK.

IMPRINDUSTRY_7_NAME     | Poboljšana Industrijska Teh 2
IMPRINDUSTRY_7_DETAIL   | Smanjuje cenu proizvodnje fabrika na 2 MK.


//
// Improved Terraforming techs
//
IMPRTFORM_0_NAME        | Poboljšano Teraformiranje +10
IMPRTFORM_0_DETAIL      | Povećava kapacitet stanovništva vaših planeta za 10M po ceni od 5 MK po milionu.

IMPRTFORM_1_NAME        | Poboljšano Teraformiranje +20
IMPRTFORM_1_DETAIL      | Povećava kapacitet stanovništva vaših planeta za 20M po ceni od 5 MK po milionu.

IMPRTFORM_2_NAME        | Poboljšano Teraformiranje +30
IMPRTFORM_2_DETAIL      | Povećava kapacitet stanovništva vaših planeta za 30M po ceni od 4 MK po milionu.

IMPRTFORM_3_NAME        | Poboljšano Teraformiranje +40
IMPRTFORM_3_DETAIL      | Povećava kapacitet stanovništva vaših planeta za 40M po ceni od 4 MK po milionu.

IMPRTFORM_4_NAME        | Poboljšano Teraformiranje +50
IMPRTFORM_4_DETAIL      | Povećava kapacitet stanovništva vaših planeta za 50M po ceni od 3 MK po milionu.

IMPRTFORM_5_NAME        | Poboljšano Teraformiranje +60
IMPRTFORM_5_DETAIL      | Povećava kapacitet stanovništva vaših planeta za 60M po ceni od 3 MK po milionu.

IMPRTFORM_6_NAME        | Poboljšano Teraformiranje +80
IMPRTFORM_6_DETAIL      | Povećava kapacitet stanovništva vaših planeta za 80M po ceni od 2 MK po milionu.

IMPRTFORM_7_NAME        | Poboljšano Teraformiranje +100
IMPRTFORM_7_DETAIL      | Povećava kapacitet stanovništva vaših planeta za 100M po ceni od 2 MK po milionu.

IMPRTFORM_8_NAME        | Potpuno Teraformiranje
IMPRTFORM_8_DETAIL      | Povećava kapacitet stanovništva vaših planeta za 120M po ceni od 2 MK po milionu.


//
// Industrial Waste techs
//
INDWASTE_0_NAME         | Smanjen Industrijski Otpad 80%
INDWASTE_0_DETAIL       | Smanjuje zagađenje fabrika na nivo koji je 80% od normalne stope.

INDWASTE_1_NAME         | Smanjen Industrijski Otpad 60%
INDWASTE_1_DETAIL       | Smanjuje zagađenje fabrika na nivo koji je 60% od normalne stope.

INDWASTE_2_NAME         | Smanjen Industrijski Otpad 40%
INDWASTE_2_DETAIL       | Smanjuje zagađenje fabrika na nivo koji je 40% od normalne stope.

INDWASTE_3_NAME         | Smanjen Industrijski Otpad 20%
INDWASTE_3_DETAIL       | Smanjuje zagađenje fabrika na nivo koji je 20% od normalne stope.

INDWASTE_4_NAME         | Smanjen Industrijski Otpad
INDWASTE_4_DETAIL       | Fabrike prestaju da zagađuju.


//
// Missile Defense techs
//
MISSDEF_0_NAME      | Protiv-Raketni Sistem
MISSDEF_0_BRIEF     | 40% šansi za uništenje projektila
MISSDEF_0_DETAIL    | Nad-svetlosne rakete sposobne da unište nadolazeće neprijateljske projektile u 40% slučajeva, -1% po tehnološkom nivou projektila.

MISSDEF_1_NAME      | Nulti Štit
MISSDEF_1_BRIEF     | 75% šansi za uništenje projektila
MISSDEF_1_DETAIL    | Energetsko polje koje uništava neprijateljske rakete i torpeda u 75% slučajeva, -1% po tehnološkom nivou projektila.

MISSDEF_2_NAME      | Elektro-Energetski Štit
MISSDEF_2_BRIEF     | 100% šansi za uništenje projektila
MISSDEF_2_DETAIL    | Energetsko polje koje uništava neprijateljske rakete i torpeda u 100% slučajeva, -1% po tehnološkom nivou projektila.


//
// Missile Weapon techs
//
MISSWPN_0_NAME      | Nuklearna Raketa
MISSWPN_0_BRIEF     | 2 hica, +1 brzina
MISSWPN_0_BRIEF2    | 5 hitaca
MISSWPN_0_DETAIL    | Rakete sa nuklearnom bojevom glavom je eksplodiraju nanoseći 4 poena štete i kreću se brzinom 2.

MISSWPN_1_NAME      | Hiper-V Rakete
MISSWPN_1_BRIEF     | 2 hica, +1 brzina
MISSWPN_1_BRIEF2    | 5 hitaca
MISSWPN_1_DETAIL    | Brze rakete koje eksplodiraju nanoseći 6 poena štete i kreću se brzinom of 2.5.

MISSWPN_2_NAME      | Hiper-X Rakete
MISSWPN_2_BRIEF     | 2 hica, +1 da pogodi
MISSWPN_2_BRIEF2    | 5 hitaca, +1 da pogodi
MISSWPN_2_DETAIL    | Rakete opremljene visoko energetskim bojevim glavama koje eksplodiraju nanoseći 8 poena štete, kreću se brzinom 2.5, i kontrolisane su +1 računarom za ciljanje.

MISSWPN_3_NAME      | Rasprskavajuće V Rakete
MISSWPN_3_BRIEF     | 2 hica, +1 brzina
MISSWPN_3_BRIEF2    | 5 hitaca
MISSWPN_3_DETAIL    | Kasetne verzije Hiper-V Raketa, rasprašuju se u 5 odvojeni bojevih glava od kojih svaka eksplodira nanoseći 6 poena štete i kreću se brzinom 2.5.

MISSWPN_4_NAME      | Merkulitne Rakete
MISSWPN_4_BRIEF     | 2 hica, +2 da pogodi
MISSWPN_4_BRIEF2    | 5 hitaca, +2 da pogodi
MISSWPN_4_DETAIL    | Razarajuće, brze rakete koje eksplodiraju nanoseći 10 poena štete, kreću se brzinom 3, i kontrolisane su +2 računarom za ciljanje.

MISSWPN_5_NAME      | Stinger Rakete
MISSWPN_5_BRIEF     | 2 hica, +3 da pogodi
MISSWPN_5_BRIEF2    | 5 hitaca, +3 da pogodi
MISSWPN_5_DETAIL    | Spore, ultra precizne rakete koje nanose 15 poena štete, kreću se brzinom of 3.5, i kontrolisane su sofisticiranim +3 računarom za ciljanje.

MISSWPN_6_NAME      | Rasprskavajuće VII Rakete
MISSWPN_6_BRIEF     | 2 hica, Rasprašuje u 7
MISSWPN_6_BRIEF2    | 5 hitaca, Rasprašuje u 7
MISSWPN_6_DETAIL    | Kasetne verzije Hiper-X Rakete, razdvajaju se u 7 odvojenih bojevih glava od kojih svaka eksplodira nanoseći 10 poena štete, kreću se brzinom 3, i navodi ih +2 računar za ciljanje.

MISSWPN_7_NAME      | Pulsonske Rakete
MISSWPN_7_BRIEF     | 2 hica, +4 da pogodi
MISSWPN_7_BRIEF2    | 5 hitaca, +4 da pogodi
MISSWPN_7_DETAIL    | Moćne rakete opremljene anti-materijskim bojevim glavama koje eksplodiraju nanoseći 20 poena štete, kreću se brzinom 4, i navodi ih +4 računar za ciljanje.

MISSWPN_8_NAME      | Herkularne Rakete
MISSWPN_8_BRIEF     | 2 hica, +5 da pogodi
MISSWPN_8_BRIEF2    | 5 hitaca, +5 da pogodi
MISSWPN_8_DETAIL    | Visoko napredne rakete koje eksplodiraju nanoseći 25 poena štete. Herkularne rakete se kreću brzinom 4.5 i kotrolisane su +5 računarom za ciljanje.

MISSWPN_9_NAME      | Zeon Rakete
MISSWPN_9_BRIEF     | 2 hica, +6 da pogodi
MISSWPN_9_BRIEF2    | 5 hitaca, +6 da pogodi
MISSWPN_9_DETAIL    | Najnaprednije dostupne rakete. Sposobne da svojom eksplozijom nanesu 30 poena štete i kreću se brzinom 5. Rakete navodi +6 računar za ciljanje.

MISSWPN_10_NAME      | Rasprskavajuće X Rakete
MISSWPN_10_BRIEF     | 2 hica, Rasprašuje u 10
MISSWPN_10_BRIEF2    | 5 hitaca, Rasprašuje u 10
MISSWPN_10_DETAIL    | Kasetne verzije Stinger Raketa, razdvaja se u 10 odvojenih bojevih glava od kojih svaka eksplodira nanoseći 15 poena štete, kreću se brzinom 3.5, i navodi ih +3 računar za ciljanje.


//
// Personal Shield techs for ground combat
//
// default "no shield" tech that each player starts with
PERSSHIELD_0_NAME     | 
PERSSHIELD_0_DETAIL   | 

PERSSHIELD_1_NAME     | Lični Deflektorski Štit
PERSSHIELD_1_DETAIL   | Štiti individualne kopnene trupe svojim direkcionalnim poljem sile. Dodaje +10 na sve borbe na tlu.

PERSSHIELD_2_NAME     | Lični Apsorpcijski Štit
PERSSHIELD_2_DETAIL   | Apsorbuje štetu nanetu svim ručnim oružjem. Dodaje +20 na sve borbe na tlu.

PERSSHIELD_3_NAME     | Lični Barijera Štit
PERSSHIELD_3_DETAIL   | Kompletno ograđuje vojnika u gotovo neprobojno polje sile. Dodaje +30 na sve borbe na tlu.


//
// Planetary Shield techs 
//
PLANETSHIELD_0_NAME    | Klasa V Planetarni Štitovi
PLANETSHIELD_0_DETAIL  | Apsorbuje 5 poena štete svih napada protiv planetarne površine, dodajući na postojeću zaštitu deflektorskih štitova raketnih baza.

PLANETSHIELD_1_NAME    | Klasa X Planetarni Štitovi
PLANETSHIELD_1_DETAIL  | Apsorbuje 10 poena štete svih napada protiv planetarne površine, dodajući na postojeću zaštitu deflektorskih štitova raketnih baza.

PLANETSHIELD_2_NAME    | Klasa XV Planetarni Štitovi
PLANETSHIELD_2_DETAIL  | Apsorbuje 15 poena štete svih napada protiv planetarne površine, dodajući na postojeću zaštitu deflektorskih štitova raketnih baza.

PLANETSHIELD_3_NAME    | Klasa XX Planetarni Štitovi
PLANETSHIELD_3_DETAIL  | Apsorbuje 20 poena štete svih napada protiv planetarne površine, dodajući na postojeću zaštitu deflektorskih štitova raketnih baza.


//
// Repulsor tech 
//
REPULSOR_0_NAME    | Odbijajući Zrak
REPULSOR_0_BRIEF   | Odbija neprijateljske brodove nazad 1 mesto
REPULSOR_0_DETAIL  | Odbija neprijateljske brodove jedno mesto unazad od odbrambenog broda. Ovo specijalno oružje ima domet jedan kvadrat.


//
// Reserve Fuel tech 
//
RSRVFUEL_0_NAME    | Rezervni Gorivni Tankeri
RSRVFUEL_0_BRIEF   | Povećava domet brodova za %1 svetlosne godine
RSRVFUEL_0_DETAIL  | Rezervni gorivni tankeri povećavaju domet brodova.


//
// Robotic Controls techs 
//
ROBOTCTRL_0_NAME     | Poboljšana Kontrola Fabrika III
ROBOTCTRL_0_DETAIL   | Dozvoljava da se upravlja sa 3 fabrike po stanovniku. Cena prepravke da bi se fabrike nadogradile je pola cene svake fabrike.

ROBOTCTRL_1_NAME     | Poboljšana Kontrola Fabrika IV
ROBOTCTRL_1_DETAIL   | Dozvoljava da se upravlja sa 4 fabrike po stanovniku. Cena prepravke da bi se fabrike nadogradile je jednaka standardnoj ceni svake fabrike.

ROBOTCTRL_2_NAME     | Poboljšana Kontrola Fabrika V
ROBOTCTRL_2_DETAIL   | Dozvoljava da se upravlja sa 5 fabrike po stanovniku. Cena prepravke da bi se fabrike nadogradile je jedna i po od cene svake fabrike.

ROBOTCTRL_3_NAME     | Poboljšana Kontrola Fabrika VI
ROBOTCTRL_3_DETAIL   | Dozvoljava da se upravlja sa 6 fabrike po stanovniku. Cena prepravke da bi se fabrike nadogradile je duplo od cene svake fabrike.

ROBOTCTRL_4_NAME     | Poboljšana Kontrola Fabrika VII
ROBOTCTRL_4_DETAIL   | Dozvoljava da se upravlja sa 7 fabrike po stanovniku. Cena prepravke da bi se fabrike nadogradile je dva i po puta od cene svake fabrike.


//
// Scanner techs 
//
SCANNER_0_NAME       | Borbeni Skener
SCANNER_0_BRIEF      | Skenira neprijateljske brodove u borbi
SCANNER_0_DETAIL     | Otkriva tehničke specifikacije neprijateljskih brodova u borbi.

SCANNER_1_NAME       | Duboki Svemirski Skener
SCANNER_1_BRIEF      | Detektuje brodove udaljene do 5 svetlosnih godina
SCANNER_1_DETAIL     | Detektuje neprijateljske brodove udaljene do 5 svetlosnih godina od vaših kolonija i do 1 svetlosnu godinu od vaših brodova.

SCANNER_2_NAME       | Poboljšani Svemirski Skener
SCANNER_2_BRIEF      | Detektuje brodove i njihove destinacije destinacije udaljeni do 7 svetlosnih godina
SCANNER_2_DETAIL     | Detektuje neprijateljske brodove udaljene do 7 svetlosnih godina od vaših kolonija i do 2 svetlosne godine od vaših brodova. Mogu se utvrditi neprijateljske destinacije.

SCANNER_3_NAME       | Napredni Svemirski Skener
SCANNER_3_BRIEF      | Omogućava istraživanje planeta udaljenih do 9 svetlosnih godina  
SCANNER_3_DETAIL     | Omogućava istraživanje planeta iz vaših kolonija udaljenih do 9 svetlosnih godina i otkriva neprijateljske brodove udaljene do 3 svetlosne godine od vaših brodova. 


//
// Ship Inertial techs 
//
SHIPINERTIAL_0_NAME     | Inercijalni Stabilizator 
SHIPINERTIAL_0_BRIEF    | Dodaje +2 manevarsku sposobnost
SHIPINERTIAL_0_DETAIL   | Smanjuje inerciju brodova, dodajući 2 klase manevarske sposobnosti u borbi (+2 odbrana i +1 borbena brzina).

SHIPINERTIAL_1_NAME     | Inercijalni Nulifikator
SHIPINERTIAL_1_BRIEF    | Dodaje +4 manevarsku sposobnost
SHIPINERTIAL_1_DETAIL   | Negira inerciju brodova, dodajući 4 klase manevarske sposobnosti u borbi. Takođe smanjuje efekat napada Crnom Rupom za -30%.


//
// Ship Inertial techs 
//
SHIPNULLIFIER_0_NAME     | Tehnološki Nulifikator
SHIPNULLIFIER_0_BRIEF    | Uništava neprijateljske računare
SHIPNULLIFIER_0_DETAIL   | Kompromituje neprijateljske borbene računare i EPM, smanjujući ih za 2-6 nivoa po napadu. Njegov domet premašuje većinu brodskog naoružanja.

SHIPNULLIFIER_1_NAME     | Rasipač Hiperbrzine
SHIPNULLIFIER_1_BRIEF    | Smanjuje brzinu neprijateljskih brodova
SHIPNULLIFIER_1_DETAIL   | Rasipači Hiperbrzine su oružja velikog dometa koja ometaju neprijateljske brodove, smanjujući njihovu brzinu svakim napadom.


//
// Ship Weapon techs 
//
SHIPWPN_0_NAME         | Laser
SHIPWPN_0_ITEM2        | Težak Laser
SHIPWPN_0_DETAIL       | Oružje direktne vatre koje nanosi 1-4 poena štete. Teški laseri imaju domet dva kvadrata i nanose 1-7 poena štete.

SHIPWPN_1_NAME         | Rafalni Laser
SHIPWPN_1_BRIEF        | Ispaljuje 4 puta/potezu
SHIPWPN_1_DETAIL       | Napredni laser koji ispaljuje do četiri puta po potezu za 1-4 poena oštećenja svakim hicem.

SHIPWPN_2_NAME         | Neutronska Sačmara
SHIPWPN_2_BRIEF        | Prepolovljava Snagu Štitova
SHIPWPN_2_DETAIL       | Oružje sa teškim česticama koje prepolovljava efikasnost neprijateljskih štitova i nanosi 2 do 5 poena oštećenja.

SHIPWPN_3_NAME         | Jonski Top
SHIPWPN_3_ITEM2        | Težak Jonski Top
SHIPWPN_3_DETAIL       | Oružje visokog intenziteta koje može naneti 3-8 poena oštećenja. Teški jonski topovi pogađaju za 3-15 i imaju domet dva kvadrata.

SHIPWPN_4_NAME         | Akcelerator Mase
SHIPWPN_4_BRIEF        | Prepolovljava Snagu Štitova
SHIPWPN_4_DETAIL       | Linearni akcelerator koji prepolovljava efikasnost neprijateljskih štitova i nanosi 5-8 poena oštećenja.

SHIPWPN_5_NAME         | Neutronski Blaster
SHIPWPN_5_ITEM2        | Težak Neutronski Blaster
SHIPWPN_5_DETAIL       | Oružje velike moći koje može naneti 3-12 poena štete. Teški neutronski blasteri udaraju za 3-24 poena i imaju domet 2.

SHIPWPN_6_NAME         | Gravitonski Zrak
SHIPWPN_6_BRIEF        | Strujni Napad
SHIPWPN_6_DETAIL       | Snop koji velikom brzinom privlači i odbija brodove, sposoban da razbije brodove u komadiće. Nanosi 1-15 poena štete, i neprekidni strujni efekat dozvoljava da se oštećenje prenese na druge brodove.

SHIPWPN_7_NAME         | Tvrdi Zrak
SHIPWPN_7_BRIEF        | Prepolovljava Snagu Štitova
SHIPWPN_7_DETAIL       | Energija-u-materiju zrakovno oružje koje prepolovljava snagu neprijateljskih deflektorskih štitova, i nanosi 8-12 poena oštećenja.

SHIPWPN_8_NAME         | Fuzioni Zrak
SHIPWPN_8_ITEM2        | Težak Fuzioni Zrak
SHIPWPN_8_DETAIL       | Oružje visokog intenziteta koje može naneti 4-16 poena oštećenja. Teški fuzioni zrak udara za 4-30 poena i ima domet 2.

SHIPWPN_9_NAME         | Megagrom Top
SHIPWPN_9_BRIEF        | +3 nivoa da pogodi
SHIPWPN_9_DETAIL       | Oslobađa više snopova čiste energije u širokom polju. Ima +30% bonus šansi da pogodi i zadaje 2-20 poena oštećenja.

SHIPWPN_10_NAME        | Fazor
SHIPWPN_10_ITEM2       | Težak Fazor
SHIPWPN_10_DETAIL      | Oružje koje koristi faznu energiju sposobno da nanese 5 do 20 poena oštećenja. Teški fazori udaraju za 5-40 poena oštećenja i imaju domet od dva kvadrata.

SHIPWPN_11_NAME        | Auto Blaster
SHIPWPN_11_BRIEF       | Ispaljuje 3 puta/potezu
SHIPWPN_11_DETAIL      | Napredni neutronski blaster koji puca do tri puta po potezu za 4-16 poena oštećenja po pogotku.

SHIPWPN_12_NAME        | Tahionski Zrak
SHIPWPN_12_BRIEF       | Strujni Napad
SHIPWPN_12_DETAIL      | Ispaljuje intenzivnu struju čestica tahiona koji udaraju neprijateljske brodove za 1-25 poena. Efekat kontinuiranog strujanja omogućava da se višak oštećenja prenese na druge brodove.

SHIPWPN_13_NAME        | Gaus Automat
SHIPWPN_13_BRIEF       | 1/2 Štitovi, Ispaljuje 4x
SHIPWPN_13_DETAIL      | Napredni linearni akcelerator koji može da ispali 4 eksplozivna metka po potezu od kojih svaki nanosi 7 do 10 poena oštećenja. Ovi projektili takođe prepolovljavaju efikasnost neprijateljskih štitova.

SHIPWPN_14_NAME        | Zrak Čestica
SHIPWPN_14_BRIEF       | Prepolovljava Snagu Štitova
SHIPWPN_14_DETAIL      | Ubrzivači čestica visokog intenziteta sposobni su pogoditi neprijateljske brodove za 10-20 poena oštećenja i prepoloviti efikasnost deflektorskih štitova.

SHIPWPN_15_NAME        | Plazma Top
SHIPWPN_15_DETAIL      | Puca snažnom energijom koja nanosi 6-30 poena oštećenja i dometa 1.

SHIPWPN_16_NAME        | Zrak Smrti
SHIPWPN_16_DETAIL      | Drevno oružje neverovatno razorne moći koje nanosi 200-1000 poena oštećenja i ima domet jedan kvadrat.

SHIPWPN_17_NAME        | Remetnik
SHIPWPN_17_DETAIL      | Oslobađa ogromne gomile čiste energije koje mogu pogoditi neprijateljske ciljeve u dometu do dva kvadrata za 10-40 poena oštećenja.

SHIPWPN_18_NAME        | Pulsirajući Fazor
SHIPWPN_18_BRIEF       | Ispaljuje 3 puta/potezu
SHIPWPN_18_DETAIL      | Napredni fazor sposoban da ispuca 3 rafala po potezu za 5-20 poena oštećenja pri svakom pogotku.

SHIPWPN_19_NAME        | Tri-fokusni Plazma Top
SHIPWPN_19_DETAIL      | Ispaljuje trijadu plazma zraka visokog intenziteta koji mogu naneti 20 do 50 poena oštećenja.

SHIPWPN_20_NAME        | Stelarni Konvertor
SHIPWPN_20_BRIEF       | Pogađa Sva Četiri Štita
SHIPWPN_20_DETAIL      | Okružuje metu izuzetno moćnim poljem za pretvaranje energije u materiju, nanoseći četiri napada od 10 do 35 poena. Ima domet od 3 kvadrata.

SHIPWPN_21_NAME        | Izobličujući Uređaj
SHIPWPN_21_DETAIL      | Oslobađa ogromne količine usredsređene energije na neprijateljske ciljeve, nanoseći 20-100 poena štete.

SHIPWPN_22_NAME        | Ameba Tok
