//
// Armor techs
// 
ARMOR_0_NAME     | Pancerz z Tytanu
FUTURECONST_7_DETAIL  | Ogólne usprawnienia technologii konstrukcyjnych.

FUTURECONST_8_NAME    | Konstrukcja Przyszłości IX
FUTURECONST_8_DETAIL  | Ogólne usprawnienia technologii konstrukcyjnych.

FUTURECONST_9_NAME    | Konstrukcja Przyszłości X
FUTURECONST_9_DETAIL  | Ogólne usprawnienia technologii konstrukcyjnych.


//
// Future Force Field techs
//
FUTUREFORCE_0_NAME    | Pole Siłowe Przyszłości I
FUTUREFORCE_0_DETAIL  | Ogólne usprawnienia technologii pola siłowego.

FUTUREFORCE_1_NAME    | Pole Siłowe Przyszłości II
FUTUREFORCE_1_DETAIL  | Ogólne usprawnienia technologii pola siłowego.

FUTUREFORCE_2_NAME    | Pole Siłowe Przyszłości III
FUTUREFORCE_2_DETAIL  | Ogólne usprawnienia technologii pola siłowego.

FUTUREFORCE_3_NAME    | Pole Siłowe Przyszłości IV
FUTUREFORCE_3_DETAIL  | Ogólne usprawnienia technologii pola siłowego.

FUTUREFORCE_4_NAME    | Pole Siłowe Przyszłości V
FUTUREFORCE_4_DETAIL  | Ogólne usprawnienia technologii pola siłowego.

FUTUREFORCE_5_NAME    | Pole Siłowe Przyszłości VI
FUTUREFORCE_5_DETAIL  | Ogólne usprawnienia technologii pola siłowego.

FUTUREFORCE_6_NAME    | Pole Siłowe Przyszłości VII
FUTUREFORCE_6_DETAIL  | Ogólne usprawnienia technologii pola siłowego.

FUTUREFORCE_7_NAME    | Pole Siłowe Przyszłości VIII
FUTUREFORCE_7_DETAIL  | Ogólne usprawnienia technologii pola siłowego.

FUTUREFORCE_8_NAME    | Pole Siłowe Przyszłości IX
FUTUREFORCE_8_DETAIL  | Ogólne usprawnienia technologii pola siłowego.

FUTUREFORCE_9_NAME    | Pole Siłowe Przyszłości X
FUTUREFORCE_9_DETAIL  | Ogólne usprawnienia technologii pola siłowego.


//
// Future Planetology techs
//
FUTUREPLANET_0_NAME    | Planetologia Przyszłości I
FUTUREPLANET_0_DETAIL  | Ogólne usprawnienia technologii planetologicznych.

FUTUREPLANET_1_NAME    | Planetologia Przyszłości II
FUTUREPLANET_1_DETAIL  | Ogólne usprawnienia technologii planetologicznych.

FUTUREPLANET_2_NAME    | Planetologia Przyszłości III
FUTUREPLANET_2_DETAIL  | Ogólne usprawnienia technologii planetologicznych.

FUTUREPLANET_3_NAME    | Planetologia Przyszłości IV
FUTUREPLANET_3_DETAIL  | Ogólne usprawnienia technologii planetologicznych.

FUTUREPLANET_4_NAME    | Planetologia Przyszłości V
FUTUREPLANET_4_DETAIL  | Ogólne usprawnienia technologii planetologicznych.

FUTUREPLANET_5_NAME    | Planetologia Przyszłości VI
FUTUREPLANET_5_DETAIL  | Ogólne usprawnienia technologii planetologicznych.

FUTUREPLANET_6_NAME    | Planetologia Przyszłości VII
FUTUREPLANET_6_DETAIL  | Ogólne usprawnienia technologii planetologicznych.

FUTUREPLANET_7_NAME    | Planetologia Przyszłości VIII
FUTUREPLANET_7_DETAIL  | Ogólne usprawnienia technologii planetologicznych.

FUTUREPLANET_8_NAME    | Planetologia Przyszłości IX
FUTUREPLANET_8_DETAIL  | Ogólne usprawnienia technologii planetologicznych.

FUTUREPLANET_9_NAME    | Planetologia Przyszłości X
FUTUREPLANET_9_DETAIL  | Ogólne usprawnienia technologii planetologicznych.


//
// Future Propulsion techs
//
FUTUREPROP_0_NAME    | Napęd Przyszłości I
FUTUREPROP_0_DETAIL  | Ogólne usprawnienia technologii napędowych.

FUTUREPROP_1_NAME    | Napęd Przyszłości II
FUTUREPROP_1_DETAIL  | Ogólne usprawnienia technologii napędowych.

FUTUREPROP_2_NAME    | Napęd Przyszłości III
FUTUREPROP_2_DETAIL  | Ogólne usprawnienia technologii napędowych.

FUTUREPROP_3_NAME    | Napęd Przyszłości IV
FUTUREPROP_3_DETAIL  | Ogólne usprawnienia technologii napędowych.

FUTUREPROP_4_NAME    | Napęd Przyszłości V
FUTUREPROP_4_DETAIL  | Ogólne usprawnienia technologii napędowych.

FUTUREPROP_5_NAME    | Napęd Przyszłości VI
FUTUREPROP_5_DETAIL  | Ogólne usprawnienia technologii napędowych.

FUTUREPROP_6_NAME    | Napęd Przyszłości VII
FUTUREPROP_6_DETAIL  | Ogólne usprawnienia technologii napędowych.

FUTUREPROP_7_NAME    | Napęd Przyszłości VIII
FUTUREPROP_7_DETAIL  | Ogólne usprawnienia technologii napędowych.

FUTUREPROP_8_NAME    | Napęd Przyszłości IX
FUTUREPROP_8_DETAIL  | Ogólne usprawnienia technologii napędowych.

FUTUREPROP_9_NAME    | Napęd Przyszłości X
FUTUREPROP_9_DETAIL  | Ogólne usprawnienia technologii napędowych.


//
// Future Weapon techs
//
FUTUREWEAPON_0_NAME    | Broń Przyszłości I
FUTUREWEAPON_0_DETAIL  | Ogólne usprawnienia technologii militarnych.

FUTUREWEAPON_1_NAME    | Broń Przyszłości II
FUTUREWEAPON_1_DETAIL  | Ogólne usprawnienia technologii militarnych.

FUTUREWEAPON_2_NAME    | Broń Przyszłości III
FUTUREWEAPON_2_DETAIL  | Ogólne usprawnienia technologii militarnych.

FUTUREWEAPON_3_NAME    | Broń Przyszłości IV
FUTUREWEAPON_3_DETAIL  | Ogólne usprawnienia technologii militarnych.

FUTUREWEAPON_4_NAME    | Broń Przyszłości V
FUTUREWEAPON_4_DETAIL  | Ogólne usprawnienia technologii militarnych.

FUTUREWEAPON_5_NAME    | Broń Przyszłości VI
FUTUREWEAPON_5_DETAIL  | Ogólne usprawnienia technologii militarnych.

FUTUREWEAPON_6_NAME    | Broń Przyszłości VII
FUTUREWEAPON_6_DETAIL  | Ogólne usprawnienia technologii militarnych.

FUTUREWEAPON_7_NAME    | Broń Przyszłości VIII
FUTUREWEAPON_7_DETAIL  | Ogólne usprawnienia technologii militarnych.

FUTUREWEAPON_8_NAME    | Broń Przyszłości IX
FUTUREWEAPON_8_DETAIL  | Ogólne usprawnienia technologii militarnych.

FUTUREWEAPON_9_NAME    | Broń Przyszłości X
FUTUREWEAPON_9_DETAIL  | Ogólne usprawnienia technologii militarnych.


//
// Hand Weapon techs
//
HANDWEAPON_0_NAME      | 
HANDWEAPON_0_DETAIL    | 

HANDWEAPON_1_NAME      | Laser Ręczny
HANDWEAPON_1_DETAIL    | Osobisty laser dodający 5 do wszystkich ataków naziemnych.

HANDWEAPON_2_NAME      | Karabin Jonowy
HANDWEAPON_2_DETAIL    | Osobista broń promieniowa dodająca 10 do wszystkich ataków naziemnych.

HANDWEAPON_3_NAME      | Karabin Fuzyjny
HANDWEAPON_3_DETAIL    | Niecelna lecz niesamowicie silna broń promieniowa dodająca 20 do wszystkich ataków naziemnych.

HANDWEAPON_4_NAME      | Fazor Ręczny
HANDWEAPON_4_DETAIL    | Potężna ręczna broń energetyczna zdolna zredukować wroga do cząstek elementarnych. Dodaje 25 do wszystkich ataków naziemnych.

HANDWEAPON_5_NAME      | Karabin Plazmowy
HANDWEAPON_5_DETAIL    | Najsilniejsza znana broń ręczna, dodająca 30 do wszystkich ataków naziemnych.


//
// Hyperspace Communication tech
//
HYPERSPACE_0_NAME      | Komunikacja Hiperprzestrzenna
HYPERSPACE_0_DETAIL    | Pozwala na komunikację ze statkami przebywającym w hiperprzestrzeni i modyfikację ich celu.


//
// Improved Industrial techs
//
IMPRINDUSTRY_0_NAME     | Ulepszona Technologia Przemysłowa 9
IMPRINDUSTRY_0_DETAIL   | Redukuje koszt produkcji fabryki do 9 BC.

IMPRINDUSTRY_1_NAME     | Ulepszona Technologia Przemysłowa 8
IMPRINDUSTRY_1_DETAIL   | Redukuje koszt produkcji fabryki do 8 BC.

IMPRINDUSTRY_2_NAME     | Ulepszona Technologia Przemysłowa 7
IMPRINDUSTRY_2_DETAIL   | Redukuje koszt produkcji fabryki do 7 BC.

IMPRINDUSTRY_3_NAME     | Ulepszona Technologia Przemysłowa 6
IMPRINDUSTRY_3_DETAIL   | Redukuje koszt produkcji fabryki do 6 BC.

IMPRINDUSTRY_4_NAME     | Ulepszona Technologia Przemysłowa 5
IMPRINDUSTRY_4_DETAIL   | Redukuje koszt produkcji fabryki do 5 BC.

IMPRINDUSTRY_5_NAME     | Ulepszona Technologia Przemysłowa 4
IMPRINDUSTRY_5_DETAIL   | Redukuje koszt produkcji fabryki do 4 BC.

IMPRINDUSTRY_6_NAME     | Ulepszona Technologia Przemysłowa 3
IMPRINDUSTRY_6_DETAIL   | Redukuje koszt produkcji fabryki do 3 BC.

IMPRINDUSTRY_7_NAME     | Ulepszona Technologia Przemysłowa 2
IMPRINDUSTRY_7_DETAIL   | Redukuje koszt produkcji fabryki do 2 BC.


//
// Improved Terraforming techs
//
IMPRTFORM_0_NAME        | Ulepszona Terraformacja +10
IMPRTFORM_0_DETAIL      | Zwiększa maksymalną populację planety o 10M kosztem 5 BC za milion.

IMPRTFORM_1_NAME        | Ulepszona Terraformacja +20
IMPRTFORM_1_DETAIL      | Zwiększa maksymalną populację planety o 20M kosztem 5 BC za milion.

IMPRTFORM_2_NAME        | Ulepszona Terraformacja +30
IMPRTFORM_2_DETAIL      | Zwiększa maksymalną populację planety o 30M kosztem 4 BC za milion.

IMPRTFORM_3_NAME        | Ulepszona Terraformacja +40
IMPRTFORM_3_DETAIL      | Zwiększa maksymalną populację planety o 40M kosztem 4 BC za milion.

IMPRTFORM_4_NAME        | Ulepszona Terraformacja +50
IMPRTFORM_4_DETAIL      | Zwiększa maksymalną populację planety o 50M kosztem 3 BC za milion.

IMPRTFORM_5_NAME        | Ulepszona Terraformacja +60
IMPRTFORM_5_DETAIL      | Zwiększa maksymalną populację planety o 60M kosztem 3 BC za milion.

IMPRTFORM_6_NAME        | Ulepszona Terraformacja +80
IMPRTFORM_6_DETAIL      | Zwiększa maksymalną populację planety o 80M kosztem 2 BC za milion.

IMPRTFORM_7_NAME        | Ulepszona Terraformacja +100
IMPRTFORM_7_DETAIL      | Zwiększa maksymalną populację planety o 100M kosztem 2 BC za milion.

IMPRTFORM_8_NAME        | Terraformacja Całkowita
IMPRTFORM_8_DETAIL      | Zwiększa maksymalną populację planety o 120M kosztem 2 BC za milion.


//
// Industrial Waste techs
//
INDWASTE_0_NAME         | Zredukowane Odpady Przemysłowe 80%
INDWASTE_0_DETAIL       | Redukuje stopień skażenia środowiska przez fabryki do 80% normalnego.

INDWASTE_1_NAME         | Zredukowane Odpady Przemysłowe 60%
INDWASTE_1_DETAIL       | Redukuje stopień skażenia środowiska przez fabryki do 60% normalnego.

INDWASTE_2_NAME         | Zredukowane Odpady Przemysłowe 40%
INDWASTE_2_DETAIL       | Redukuje stopień skażenia środowiska przez fabryki do 40% normalnego.

INDWASTE_3_NAME         | Zredukowane Odpady Przemysłowe 20%
INDWASTE_3_DETAIL       | Redukuje stopień skażenia środowiska przez fabryki do 20% normalnego.

INDWASTE_4_NAME         | Eliminacja Odpadów Przemysłowych
INDWASTE_4_DETAIL       | Przemysł całkowicie przestaje zanieczyszczać środowisko.


//
// Missile Defense techs
//
MISSDEF_0_NAME      | Pociski Przeciwrakietowe
MISSDEF_0_BRIEF     | 40% szansy na zniszczenie rakiet
MISSDEF_0_DETAIL    | Międzyświetlne pociski zdolne do zniszczenia wrogich rakiet w 40% przypadków, -1% na poziom technologii rakiet.

MISSDEF_1_NAME      | Tarcza Zyro
MISSDEF_1_BRIEF     | 75% szansy na zniszczenie rakiet
MISSDEF_1_DETAIL    | Pole energii niszczące wrogie rakiety w 75% przypadków, -1% na poziom technologii rakiet.

MISSDEF_2_NAME      | Tarcza Błyskawiczna
MISSDEF_2_BRIEF     | 100% szansy na zniszczenie rakiet
MISSDEF_2_DETAIL    | Pole energii niszczące wrogie rakiety i torpedy w 100% przypadków, -1% na poziom technologii rakiet.


//
// Missile Weapon techs
//
MISSWPN_0_NAME      | Pocisk Nuklearny
MISSWPN_0_BRIEF     | 2 strzały, +1 szybkość
MISSWPN_0_BRIEF2    | 5 strzałów
MISSWPN_0_DETAIL    | Pociski zakończone głowicami nuklearnymi eksplodującymi za 4 pkt obrażeń, poruszające się z prędkością 2.

MISSWPN_1_NAME      | Rakieta Hiper-V
MISSWPN_1_BRIEF     | 2 strzały, +1 szybkość
MISSWPN_1_BRIEF2    | 5 strzałów
MISSWPN_1_DETAIL    | Szybkie pociski eksplodujące za 6 pkt obrażeń, poruszające się z prędkością 2.5.

MISSWPN_2_NAME      | Rakieta Hiper-X
MISSWPN_2_BRIEF     | 2 strzały, +1 do trafienia
MISSWPN_2_BRIEF2    | 5 strzałów, +1 do trafienia
MISSWPN_2_DETAIL    | Rakiety wyposażone w wysokoenergetyczne głowice eksplodujące za 8 pkt obrażeń, poruszające się z prędkością 2.5 i kontrolowane przez komputer celowniczy +1.

MISSWPN_3_NAME      | Rakieta rozpraszająca V
MISSWPN_3_BRIEF     | 2 strzały, +1 szybkość
MISSWPN_3_BRIEF2    | 5 strzałów
MISSWPN_3_DETAIL    | Wersja MIRV rakiet typu Hiper-V, rozpraszająca się na 5 osobnych głowic eksplodujących za 6 pkt obrażeń każda i poruszających się z prędkością 2.5.

MISSWPN_4_NAME      | Pocisk Merculite
MISSWPN_4_BRIEF     | 2 strzały, +2 do trafienia
MISSWPN_4_BRIEF2    | 5 strzałów, +2 do trafienia
MISSWPN_4_DETAIL    | Silne, szybkie pociski eksplodujące za 10 pkt obrażeń, poruszające się z prędkością 3 i kontrolowane przez komputer celowniczy +2.

MISSWPN_5_NAME      | Pocisk Żądło
MISSWPN_5_BRIEF     | 2 strzały, +3 do trafienia
MISSWPN_5_BRIEF2    | 5 strzałów, +3 do trafienia
MISSWPN_5_DETAIL    | Wolne, super celne pociski uderzające za 15 pkt obrażeń, poruszające się z prędkością 3.5 i kontrolowane przez komputer celowniczy +3.

MISSWPN_6_NAME      | Rakieta rozpraszająca VII
MISSWPN_6_BRIEF     | 2 strzały, MIRV do 7
MISSWPN_6_BRIEF2    | 5 strzałów, MIRV do 7
MISSWPN_6_DETAIL    | Wersja MIRV rakiet typu Hiper-X, rozpraszająca się na 7 osobnych głowic eksplodujących za 10 pkt obrażeń każda, poruszających się z prędkością 3 i kontrolowanych przez kontroler celowniczy +2.

MISSWPN_7_NAME      | Pocisk Pulson
MISSWPN_7_BRIEF     | 2 strzały, +4 do trafienia
MISSWPN_7_BRIEF2    | 5 strzałów, +4 do trafienia
MISSWPN_7_DETAIL    | Potężne pociski wyposażone w głowice z przeciwmaterią, eksplodujące za 20 pkt obrażeń, poruszające się z prędkością 4 i kontrolowane przez kontroler celowniczy +4.

MISSWPN_8_NAME      | Pocisk Hercular
MISSWPN_8_BRIEF     | 2 strzały, +5 do trafienia
MISSWPN_8_BRIEF2    | 5 strzałów, +5 do trafienia
MISSWPN_8_DETAIL    | Highly advanced missile that explodes for 25 points of damage. The hercular missiles moves at speed 4.5 and is controlled by a +5 targeting computer.

MISSWPN_9_NAME      | Pocisk Zeon
MISSWPN_9_BRIEF     | 2 strzały, +6 do trafienia
MISSWPN_9_BRIEF2    | 5 strzałów, +6 do trafienia
MISSWPN_9_DETAIL    | Wysoce zaawansowane pociski eksplodujące za 25 pkt obrażeń. Pociski Hercular poruszają się z prędkością 4.5 i są kontrolowane przez kontroler celowniczy +5.

MISSWPN_10_NAME      | Rakieta rozpraszająca X
MISSWPN_10_BRIEF     | 2 strzały, MIRV do 10
MISSWPN_10_BRIEF2    | 5 strzałów, MIRV do 10
MISSWPN_10_DETAIL    | Wersja MIRV rakiet typu Żądło, rozpraszająca się na 10 osobnych głowic eksplodujących za 15 pkt obrażeń każda, poruszających się z prędkością 3.5 i kontrolowanych przez kontroler celowniczy +3.


//
// Personal Shield techs for ground combat
//
// default "no shield" tech that each player starts with
PERSSHIELD_0_NAME     | 
PERSSHIELD_0_DETAIL   | 

PERSSHIELD_1_NAME     | Osobista Tarcza Deflektorowa
PERSSHIELD_1_DETAIL   | Chroni żołnierzy kierunkowym polem siłowym. Plus 10 do wszystkich bitew naziemnych.

PERSSHIELD_2_NAME     | Osobista Tarcza Pochłaniająca
PERSSHIELD_2_DETAIL   | Pochłania ataki z broni ręcznych. Plus 20 do wszystkich bitew naziemnych.

PERSSHIELD_3_NAME     | Osobista Zapora Tarczowa
PERSSHIELD_3_DETAIL   | Całkowicie otacza żołnierza niemal niezniszczalnym polem siłowym. Plus 30 do wszystkich bitew naziemnych.


//
// Planetary Shield techs 
//
PLANETSHIELD_0_NAME    | Tarcza Planetarna Klasy V
PLANETSHIELD_0_DETAIL  | Pochłania 5 pkt obrażeń ze wszystkich ataków przeciwko powierzchni planety, wzmacniając tarcze deflektorowe baz rakietowych.

PLANETSHIELD_1_NAME    | Tarcza Planetarna Klasy X
PLANETSHIELD_1_DETAIL  | Pochłania 10 pkt obrażeń ze wszystkich ataków przeciwko powierzchni planety, wzmacniając tarcze deflektorowe baz rakietowych.

PLANETSHIELD_2_NAME    | Tarcza Planetarna Klasy XV
PLANETSHIELD_2_DETAIL  | Pochłania 15 pkt obrażeń ze wszystkich ataków przeciwko powierzchni planety, wzmacniając tarcze deflektorowe baz rakietowych.

PLANETSHIELD_3_NAME    | Tarcza Planetarna Klasy XX
PLANETSHIELD_3_DETAIL  | Pochłania 20 pkt obrażeń ze wszystkich ataków przeciwko powierzchni planety, wzmacniając tarcze deflektorowe baz rakietowych.


//
// Repulsor tech 
//
REPULSOR_0_NAME    | Promień Odpychający
REPULSOR_0_BRIEF   | Odpycha wrogie statki o 1 pole
REPULSOR_0_DETAIL  | Odpycha wrogie statki o 1 pole od broniącego się statku. Ta specjalna broń ma zasięg 1 pola.


//
// Reserve Fuel tech 
//
RSRVFUEL_0_NAME    | Rezerwowe Zbiorniki Paliwa
RSRVFUEL_0_BRIEF   | Zwiększa zasięg statku o %1 lata świetlne.
RSRVFUEL_0_DETAIL  | Rezerwowe Zbiorniki Paliwa zwiększają zasięg statku kosmicznego.


//
// Robotic Controls techs 
//
ROBOTCTRL_0_NAME     | Ulepszona Robotyka III
ROBOTCTRL_0_DETAIL   | Pozwala jednostce populacji obsługiwać 3 fabryki. Koszt modernizacji to połowa standardowego kosztu budowy fabryki.

ROBOTCTRL_1_NAME     | Ulepszona Robotyka IV
ROBOTCTRL_1_DETAIL   | Pozwala jednostce populacji obsługiwać 4 fabryki. Koszt modernizacji to połowa standardowego kosztu budowy fabryki.

ROBOTCTRL_2_NAME     | Ulepszona Robotyka V
ROBOTCTRL_2_DETAIL   | Pozwala jednostce populacji obsługiwać 5 fabryki. Koszt modernizacji to połowa standardowego kosztu budowy fabryki.

ROBOTCTRL_3_NAME     | Ulepszona Robotyka VI
ROBOTCTRL_3_DETAIL   | Pozwala jednostce populacji obsługiwać 6 fabryki. Koszt modernizacji to połowa standardowego kosztu budowy fabryki.

ROBOTCTRL_4_NAME     | Ulepszona Robotyka VII
ROBOTCTRL_4_DETAIL   | Pozwala jednostce populacji obsługiwać 7 fabryk. Koszt modernizacji to 2.5 standardowego kosztu budowy fabryki.



//
// Scanner techs 
//
SCANNER_0_NAME       | Skaner Bitewny
SCANNER_0_BRIEF      | Scanuje wrogie statki podczas bitwy
SCANNER_0_DETAIL     | Pokazuje techniczne specyfikacje wrogich statków podczas bitwy.

SCANNER_1_NAME       | Głęboki Skaner Przestrzeni
SCANNER_1_BRIEF      | Wykrywa wrogie statki w odległości do 5 lś
SCANNER_1_DETAIL     | Wykrywa wrogie statki do 5 lat świetlnych od twoich kolonii i 1 rok świetlny od twoich statków.

SCANNER_2_NAME       | Ulepszony Skaner Przestrzeni
SCANNER_2_BRIEF      | Wykrywa wrogie statki i punkty docelowe w odległości do 7 lś
SCANNER_2_DETAIL     | Wykrywa wrogie statki do 7 lat świetlnych od twoich kolonii i 2 lata świetlne od twoich statków. Ujawnia punkt docelowy wrogiej floty.

SCANNER_3_NAME       | Zaawansowany Skaner Przestrzeni
SCANNER_3_BRIEF      | Pozwala na wykrycie planet w odległości do 9 lś
SCANNER_3_DETAIL     | Wykrywa wrogie statki do 9 lat świetlnych od twoich kolonii i 3 lata świetlne od twoich statków.



//
// Ship Inertial techs 
//
SHIPINERTIAL_0_NAME     | Stabilizator Inercyjny
SHIPINERTIAL_0_BRIEF    | Plus 2 do manewrowości
SHIPINERTIAL_0_DETAIL   | Redukuje inercję statków, dodając 2 klasy manewrowości w walce (+2 obrona, +1 prędkość w walce).

SHIPINERTIAL_1_NAME     | Eliminator Inercyjny
SHIPINERTIAL_1_BRIEF    | Plus +4 do manewrowości
SHIPINERTIAL_1_DETAIL   | Eliminuje inercję statków, dodając 2 klasy manewrowości w walce. Dodatkowo redukuje efekty ataku typu Czarna Dziura o 30%.



//
// Ship Inertial techs 
//
SHIPNULLIFIER_0_NAME     | Eliminator Technologiczny
SHIPNULLIFIER_0_BRIEF    | Niszczy komputery wroga
SHIPNULLIFIER_0_DETAIL   | Hackuje komputery bitewne i systemy ECM wroga, redukując ich poziom o 2-6 na atak. Zasięg działania eliminatora przekracza zasięg większości broni.

SHIPNULLIFIER_1_NAME     | Rozpraszacz Przestrzeni
SHIPNULLIFIER_1_BRIEF    | Redukuje prędkość wrogich statków
SHIPNULLIFIER_1_DETAIL   | Rozpraszacz Przestrzeni to broń dalekiego zasięgu, która zmniejsza wydajność silników statku kosmicznego redukując jego prędkość przy każdym ataku.


//
// Ship Weapon techs 
//
SHIPWPN_0_NAME         | Laser
SHIPWPN_0_ITEM2        | Ciężki Laser
SHIPWPN_0_DETAIL       | Broń promieniowa zadająca 1-4 pkt obrażeń. Ciężki laser posiada zasięg 2 pól i zadaje 1-7 pkt obrażeń.

SHIPWPN_1_NAME         | Laser Kartaczowy
SHIPWPN_1_BRIEF        | 4 strzały/tura
SHIPWPN_1_DETAIL       | Zaawansowany laser, który strzela do 4 razy na turę każdym strzałem zadając 1-4 pkt obrażeń.

SHIPWPN_2_NAME         | Działo Neutronowe
SHIPWPN_2_BRIEF        | Ignoruje połowę tarcz
SHIPWPN_2_DETAIL       | Ciężka broń strumieniowa, której cząsteczki ignorują połowę tarcz deflektorowych wroga i zadają 2-5 pkt obrażeń.

SHIPWPN_3_NAME         | Działo Jonowe
SHIPWPN_3_ITEM2        | Ciężkie Działo Jonowe
SHIPWPN_3_DETAIL       | Broń promieniowa o wysokiej intensywności zadająca 3-8 pkt obrażeń. Ciężkie działo jonowe uderza za 3-15 pkt obrażeń i ma zasięg 2 pól.

SHIPWPN_4_NAME         | Akcelerator Masy
SHIPWPN_4_BRIEF        | Ignoruje połowę tarcz
SHIPWPN_4_DETAIL       | Liniowy akcelerator, którego atak ignoruje połowę tarcz deflektorowych wroga i zadaje 5-8 pkt obrażeń.

SHIPWPN_5_NAME         | Blaster Neutronowy
SHIPWPN_5_ITEM2        | Ciężki Blaster Neutronowy
SHIPWPN_5_DETAIL       | Wysokoenergetyczna broń promieniowa zadająca 3-12 pkt obrażeń. Ciężki blaster neutronowy uderza za 3-24 pkt obrażeń i ma zasięg 2 pól.

SHIPWPN_6_NAME         | Strumień Grawitonowy
SHIPWPN_6_BRIEF        | Atak strumieniowy
SHIPWPN_6_DETAIL       | Zaawansowana broń promieniowa zdolna rozbić wrogi statek na cząstki elementarne. Uderza za 1-15 pkt obrażeń a ciągły efekt strumieniowy pozwala przenieść nadmiarowe obrażenia na inne statki.

SHIPWPN_7_NAME         | Strumień Penetrujący
SHIPWPN_7_BRIEF        | Ignoruje połowę tarcz
SHIPWPN_7_DETAIL       | Energetyczna broń promieniowa ignorująca efektywność tarcz deflektorowych wroga i zadająca 8-12 pkt obrażeń.

SHIPWPN_8_NAME         | Strumień Fuzyjny
SHIPWPN_8_ITEM2        | Ciężki Strumień Fuzyjny
SHIPWPN_8_DETAIL       | Broń strumieniowa o wysokiej intensywności zdolna zadać 4-16 pkt obrażeń. Ciężki Promień Fuzyjny uderza za 4-30 pkt obrażeń i posiada zasięg 2 pól.

SHIPWPN_9_NAME         | Mega Działo
SHIPWPN_9_BRIEF        | +3 poziomy do szansy trafienia
SHIPWPN_9_DETAIL       | Emituje wiele impulsów czystej energii na dużym obszarze. Posiada +30% szans na trafienie i uderza za 2-20 pkt obrażeń.

SHIPWPN_10_NAME        | Fazor
SHIPWPN_10_ITEM2       | Ciężki Fazor
SHIPWPN_10_DETAIL      | Strumień fazowej energii zdolne zadać 5-20 pkt obrażeń. Ciężki fazor zadaje 5-40 pkt obrażeń i posiada zasięg 2 pól.

SHIPWPN_11_NAME        | Auto Miotacz
SHIPWPN_11_BRIEF       | 3 strzały/tura
SHIPWPN_11_DETAIL      | Zaawansowany miotacz neutronowy strzelający do 3 razy na turę każdym strzałem zadając 4-16 pkt obrażeń.

SHIPWPN_12_NAME        | Strumień Tachionowy
SHIPWPN_12_BRIEF       | Atak strumieniowy
SHIPWPN_12_DETAIL      | Emituje intensywny strumień cząsteczek tachionów. Uderza za 1-25 pkt obrażeń a ciągły efekt strumieniowy pozwala przenieść nadmiarowe obrażenia na inne statki.

SHIPWPN_13_NAME        | Automatyczne Działo Gaussa
SHIPWPN_13_BRIEF       | 1/2 tarcze, 4 strzały/tura
SHIPWPN_13_DETAIL      | Zaawansowany akcelerator liniowy obsługujący 4 eksplodujące ładunki na turę, z których każdy zadaje 7-10 pkt obrażeń i ignoruje część tarcz wroga.

SHIPWPN_14_NAME        | Strumień Cząsteczkowy
SHIPWPN_14_BRIEF       | Ignoruje połowę tarcz
SHIPWPN_14_DETAIL      | Akceleratory cząsteczek o wysokiej intensywności, zadające 10-20 pkt obrażeń i ignorujące połowę tarcz deflektorowych.

SHIPWPN_15_NAME        | Działo Plazmowe
SHIPWPN_15_DETAIL      | Strzela intensywnymi ładunkami energii zadającymi 6-30 pkt obrażeń o zasięgu 1 pola.

SHIPWPN_16_NAME        | Promień Śmierci
SHIPWPN_16_DETAIL      | Starożytna broń o potężnej sile zadająca 200-1000 pkt obrażeń o zasięgu 1 pola.

SHIPWPN_17_NAME        | Zaburzacz
SHIPWPN_17_DETAIL      |  Uwalnia potężne ładunki czystej energii zadające 10-40 pkt obrażeń wrogom w zasięgu do 2 pól.

SHIPWPN_18_NAME        | Dazor Pulsacyjny
SHIPWPN_18_BRIEF       | 3 strzały/tura
SHIPWPN_18_DETAIL      | Zaawansowany fazor zdolny emitować 3 wiązki na turę, z których każda zadaje 5-20 pkt obrażeń.

SHIPWPN_19_NAME        | Trójdzielne Działo Plazmowe
SHIPWPN_19_DETAIL      | Emituje potrójną wiązkę promieni plazmy o wysokiej intensywności, zadającą 20-50 pkt obrażeń.

SHIPWPN_20_NAME        | Konwerter Gwiezdny
SHIPWPN_20_BRIEF       | Trafia wszystkie 4 tarcze
SHIPWPN_20_DETAIL      | Otacza cel ekstremalnie silnym polem konwertującym materię i energię, powodującym cztery ataki po 10-35 pkt obrażeń każdy. Posiada zasięg 3 pól.

SHIPWPN_21_NAME        | Urządzenie Masakrujące
SHIPWPN_21_DETAIL      | Uwalnia olbrzymie ilości skupionej energii w kierunku wroga, zadając 20-100 pkt obrażeń.

SHIPWPN_22_NAME        | Strumień Ameba
SHIPWPN_22_DETAIL      | Strumień zadający 250-1000 pkt obrażeń i posiadający zasięg 3 pól, którego efekt ze względu na swój ciągły charakter pozwala przenieść nadmiarowe obrażenia na inne statki.

SHIPWPN_23_NAME        | Kryształowy Promień
SHIPWPN_23_DETAIL      | Promień okalający tarcze wroga, powodujący 4 ataki po 100-300 pkt obrażeń każdy. Posiada zasięg 3 pól.



//
