

//
// Armor techs
// 
ARMOR_0_NAME     | Титанијум Оклоп
FUTUREFORCE_7_DETAIL  | Општа Побољшања Технологија Поља Силе.

FUTUREFORCE_8_NAME    | Будућа Поља Силе IX
FUTUREFORCE_8_DETAIL  | Општа Побољшања Технологија Поља Силе.

FUTUREFORCE_9_NAME    | Будућа Поља Силе X
FUTUREFORCE_9_DETAIL  | Општа Побољшања Технологија Поља Силе.


//
// Future Planetology techs
//
FUTUREPLANET_0_NAME    | Будућа Планетологија I
FUTUREPLANET_0_DETAIL  | Општа Побољшања Технологија Планетологије.

FUTUREPLANET_1_NAME    | Будућа Планетологија II
FUTUREPLANET_1_DETAIL  | Општа Побољшања Технологија Планетологије.

FUTUREPLANET_2_NAME    | Будућа Планетологија III
FUTUREPLANET_2_DETAIL  | Општа Побољшања Технологија Планетологије.

FUTUREPLANET_3_NAME    | Будућа Планетологија IV
FUTUREPLANET_3_DETAIL  | Општа Побољшања Технологија Планетологије.

FUTUREPLANET_4_NAME    | Будућа Планетологија V
FUTUREPLANET_4_DETAIL  | Општа Побољшања Технологија Планетологије.

FUTUREPLANET_5_NAME    | Будућа Планетологија VI
FUTUREPLANET_5_DETAIL  | Општа Побољшања Технологија Планетологије.

FUTUREPLANET_6_NAME    | Будућа Планетологија VII
FUTUREPLANET_6_DETAIL  | Општа Побољшања Технологија Планетологије.

FUTUREPLANET_7_NAME    | Будућа Планетологија VIII
FUTUREPLANET_7_DETAIL  | Општа Побољшања Технологија Планетологије.

FUTUREPLANET_8_NAME    | Будућа Планетологија IX
FUTUREPLANET_8_DETAIL  | Општа Побољшања Технологија Планетологије.

FUTUREPLANET_9_NAME    | Будућа Планетологија X
FUTUREPLANET_9_DETAIL  | Општа Побољшања Технологија Планетологије.


//
// Future Propulsion techs
//
FUTUREPROP_0_NAME    | Будући Погон I
FUTUREPROP_0_DETAIL  | Општа Побољшања Технологија Погона.

FUTUREPROP_1_NAME    | Будући Погон II
FUTUREPROP_1_DETAIL  | Општа Побољшања Технологија Погона.

FUTUREPROP_2_NAME    | Будући Погон III
FUTUREPROP_2_DETAIL  | Општа Побољшања Технологија Погона.

FUTUREPROP_3_NAME    | Будући Погон IV
FUTUREPROP_3_DETAIL  | Општа Побољшања Технологија Погона.

FUTUREPROP_4_NAME    | Будући Погон V
FUTUREPROP_4_DETAIL  | Општа Побољшања Технологија Погона.

FUTUREPROP_5_NAME    | Будући Погон VI
FUTUREPROP_5_DETAIL  | Општа Побољшања Технологија Погона.

FUTUREPROP_6_NAME    | Будући Погон VII
FUTUREPROP_6_DETAIL  | Општа Побољшања Технологија Погона.

FUTUREPROP_7_NAME    | Будући Погон VIII
FUTUREPROP_7_DETAIL  | Општа Побољшања Технологија Погона.

FUTUREPROP_8_NAME    | Будући Погон IX
FUTUREPROP_8_DETAIL  | Општа Побољшања Технологија Погона.

FUTUREPROP_9_NAME    | Будући Погон X
FUTUREPROP_9_DETAIL  | Општа Побољшања Технологија Погона.


//
// Future Weapon techs
//
FUTUREWEAPON_0_NAME    | Будуће Оружје I
FUTUREWEAPON_0_DETAIL  | Општа Побољшања Технологија Оружја.

FUTUREWEAPON_1_NAME    | Будуће Оружје II
FUTUREWEAPON_1_DETAIL  | Општа Побољшања Технологија Оружја.

FUTUREWEAPON_2_NAME    | Будуће Оружје III
FUTUREWEAPON_2_DETAIL  | Општа Побољшања Технологија Оружја.

FUTUREWEAPON_3_NAME    | Будуће Оружје IV
FUTUREWEAPON_3_DETAIL  | Општа Побољшања Технологија Оружја.

FUTUREWEAPON_4_NAME    | Будуће Оружје V
FUTUREWEAPON_4_DETAIL  | Општа Побољшања Технологија Оружја.

FUTUREWEAPON_5_NAME    | Будуће Оружје VI
FUTUREWEAPON_5_DETAIL  | Општа Побољшања Технологија Оружја.

FUTUREWEAPON_6_NAME    | Будуће Оружје VII
FUTUREWEAPON_6_DETAIL  | Општа Побољшања Технологија Оружја.

FUTUREWEAPON_7_NAME    | Будуће Оружје VIII
FUTUREWEAPON_7_DETAIL  | Општа Побољшања Технологија Оружја.

FUTUREWEAPON_8_NAME    | Будуће Оружје IX
FUTUREWEAPON_8_DETAIL  | Општа Побољшања Технологија Оружја.

FUTUREWEAPON_9_NAME    | Будуће Оружје X
FUTUREWEAPON_9_DETAIL  | Општа Побољшања Технологија Оружја. 


//
// Hand Weapon techs
//
HANDWEAPON_0_NAME      | 
HANDWEAPON_0_DETAIL    | 

HANDWEAPON_1_NAME      | Ручни Ласери
HANDWEAPON_1_DETAIL    | Лични ласери који додају 5 поена на све нападе на тлу.

HANDWEAPON_2_NAME      | Јонска Пушка
HANDWEAPON_2_DETAIL    | Лично зраковно оружје које додаје 10 поена на све нападе на тлу.

HANDWEAPON_3_NAME      | Фузиона Пушка
HANDWEAPON_3_DETAIL    | Непрецизно али невероватно снажно зраковно оружје које додаје 20 поена на све нападе на тлу.

HANDWEAPON_4_NAME      | Ручни Фазор
HANDWEAPON_4_DETAIL    | Моћно ручно енергетско оружје способно да раствори непријатеље у атоме. Додаје 25 поена на све нападе на тлу.

HANDWEAPON_5_NAME      | Плазма Пушка
HANDWEAPON_5_DETAIL    | Најразорније ручно оружје које је доступно. Додаје 30 поена на све нападе на тлу.


//
// Hyperspace Communication tech
//
HYPERSPACE_0_NAME      | Хиперпросторна Комуникација
HYPERSPACE_0_DETAIL    | Омогућава вам да комуницирате са бродским флотама у хиперпростору и мењате њихова одредишта док су на путу.


//
// Improved Industrial techs
//
IMPRINDUSTRY_0_NAME     | Побољшана Индустријска Тех 9
IMPRINDUSTRY_0_DETAIL   | Смањује цену производње фабрика на 9 МК.

IMPRINDUSTRY_1_NAME     | Побољшана Индустријска Тех 8
IMPRINDUSTRY_1_DETAIL   | Смањује цену производње фабрика на 8 МК.

IMPRINDUSTRY_2_NAME     | Побољшана Индустријска Тех 7
IMPRINDUSTRY_2_DETAIL   | Смањује цену производње фабрика на 7 МК.

IMPRINDUSTRY_3_NAME     | Побољшана Индустријска Тех 6
IMPRINDUSTRY_3_DETAIL   | Смањује цену производње фабрика на 6 МК.

IMPRINDUSTRY_4_NAME     | Побољшана Индустријска Тех 5
IMPRINDUSTRY_4_DETAIL   | Смањује цену производње фабрика на 5 МК.

IMPRINDUSTRY_5_NAME     | Побољшана Индустријска Тех 4
IMPRINDUSTRY_5_DETAIL   | Смањује цену производње фабрика на 4 МК.

IMPRINDUSTRY_6_NAME     | Побољшана Индустријска Тех 3
IMPRINDUSTRY_6_DETAIL   | Смањује цену производње фабрика на 3 МК.

IMPRINDUSTRY_7_NAME     | Побољшана Индустријска Тех 2
IMPRINDUSTRY_7_DETAIL   | Смањује цену производње фабрика на 2 МК.


//
// Improved Terraforming techs
//
IMPRTFORM_0_NAME        | Побољшано Тераформирање +10
IMPRTFORM_0_DETAIL      | Повећава капацитет становништва ваших планета за 10M по цени од 5 МК по милиону.

IMPRTFORM_1_NAME        | Побољшано Тераформирање +20
IMPRTFORM_1_DETAIL      | Повећава капацитет становништва ваших планета за 20M по цени од 5 МК по милиону.

IMPRTFORM_2_NAME        | Побољшано Тераформирање +30
IMPRTFORM_2_DETAIL      | Повећава капацитет становништва ваших планета за 30M по цени од 4 МК по милиону.

IMPRTFORM_3_NAME        | Побољшано Тераформирање +40
IMPRTFORM_3_DETAIL      | Повећава капацитет становништва ваших планета за 40M по цени од 4 МК по милиону.

IMPRTFORM_4_NAME        | Побољшано Тераформирање +50
IMPRTFORM_4_DETAIL      | Повећава капацитет становништва ваших планета за 50M по цени од 3 МК по милиону.

IMPRTFORM_5_NAME        | Побољшано Тераформирање +60
IMPRTFORM_5_DETAIL      | Повећава капацитет становништва ваших планета за 60M по цени од 3 МК по милиону.

IMPRTFORM_6_NAME        | Побољшано Тераформирање +80
IMPRTFORM_6_DETAIL      | Повећава капацитет становништва ваших планета за 80M по цени од 2 МК по милиону.

IMPRTFORM_7_NAME        | Побољшано Тераформирање +100
IMPRTFORM_7_DETAIL      | Повећава капацитет становништва ваших планета за 100M по цени од 2 МК по милиону.

IMPRTFORM_8_NAME        | Потпуно Тераформирање
IMPRTFORM_8_DETAIL      | Повећава капацитет становништва ваших планета за 120M по цени од 2 МК по милиону.


//
// Industrial Waste techs
//
INDWASTE_0_NAME         | Смањен Индустријски Отпад 80%
INDWASTE_0_DETAIL       | Смањује загађење фабрика на ниво који је 80% од нормалне стопе.

INDWASTE_1_NAME         | Смањен Индустријски Отпад 60%
INDWASTE_1_DETAIL       | Смањује загађење фабрика на ниво који је 60% од нормалне стопе.

INDWASTE_2_NAME         | Смањен Индустријски Отпад 40%
INDWASTE_2_DETAIL       | Смањује загађење фабрика на ниво који је 40% од нормалне стопе.

INDWASTE_3_NAME         | Смањен Индустријски Отпад 20%
INDWASTE_3_DETAIL       | Смањује загађење фабрика на ниво који је 20% од нормалне стопе.

INDWASTE_4_NAME         | Смањен Индустријски Отпад
INDWASTE_4_DETAIL       | Фабрике престају да загађују.


//
// Missile Defense techs
//
MISSDEF_0_NAME      | Против-Ракетни Систем
MISSDEF_0_BRIEF     | 40% шанси за уништење пројектила
MISSDEF_0_DETAIL    | Над-светлосне ракете способне да униште надолазеће непријатељске пројектиле у 40% случајева, -1% по технолошком нивоу пројектила.

MISSDEF_1_NAME      | Нулти Штит
MISSDEF_1_BRIEF     | 75% шанси за уништење пројектила
MISSDEF_1_DETAIL    | Енергетско поље које уништава непријатељске ракете и торпеда у 75% случајева, -1% по технолошком нивоу пројектила.

MISSDEF_2_NAME      | Електро-Енергетски Штит
MISSDEF_2_BRIEF     | 100% шанси за уништење пројектила
MISSDEF_2_DETAIL    | Енергетско поље које уништава непријатељске ракете и торпеда у 100% случајева, -1% по технолошком нивоу пројектила.


//
// Missile Weapon techs
//
MISSWPN_0_NAME      | Нуклеарна Ракета
MISSWPN_0_BRIEF     | 2 хица, +1 брзина
MISSWPN_0_BRIEF2    | 5 хитаца
MISSWPN_0_DETAIL    | Ракете са нуклеарном бојевом главом је експлодирају наносећи 4 поена штете и крећу се брзином 2.

MISSWPN_1_NAME      | Хипер-В Ракете
MISSWPN_1_BRIEF     | 2 хица, +1 брзина
MISSWPN_1_BRIEF2    | 5 хитаца
MISSWPN_1_DETAIL    | Брзе ракете које експлодирају наносећи 6 поена штете и крећу се брзином of 2.5.

MISSWPN_2_NAME      | Хипер-Икс Ракете
MISSWPN_2_BRIEF     | 2 хица, +1 да погоди
MISSWPN_2_BRIEF2    | 5 хитаца, +1 да погоди
MISSWPN_2_DETAIL    | Ракете опремљене високо енергетским бојевим главама које експлодирају наносећи 8 поена штете, крећу се брзином 2.5, и контролисане су +1 рачунаром за циљање.

MISSWPN_3_NAME      | Распрскавајуће V Ракете
MISSWPN_3_BRIEF     | 2 хица, +1 брзина
MISSWPN_3_BRIEF2    | 5 хитаца
MISSWPN_3_DETAIL    | Касетне верзије Хипер-В Ракета, распрашују се у 5 одвојени бојевих глава од којих свака експлодира наносећи 6 поена штете и крећу се брзином 2.5.

MISSWPN_4_NAME      | Меркулитне Ракете
MISSWPN_4_BRIEF     | 2 хица, +2 да погоди
MISSWPN_4_BRIEF2    | 5 хитаца, +2 да погоди
MISSWPN_4_DETAIL    | Разарајуће, брзе ракете које експлодирају наносећи 10 поена штете, крећу се брзином 3, и контролисане су +2 рачунаром за циљање.

MISSWPN_5_NAME      | Стингер Ракете
MISSWPN_5_BRIEF     | 2 хица, +3 да погоди
MISSWPN_5_BRIEF2    | 5 хитаца, +3 да погоди
MISSWPN_5_DETAIL    | Споре, ултра прецизне ракете које наносе 15 поена штете, крећу се брзином of 3.5, и контролисане су софистицираним +3 рачунаром за циљање.

MISSWPN_6_NAME      | Распрскавајуће VII Ракете
MISSWPN_6_BRIEF     | 2 хица, Распрашује у 7
MISSWPN_6_BRIEF2    | 5 хитаца, Распрашује у 7
MISSWPN_6_DETAIL    | Касетне верзије Хипер-Икс Ракете, раздвајају се у 7 одвојених бојевих глава од којих свака експлодира наносећи 10 поена штете, крећу се брзином 3, и наводи их +2 рачунар за циљање.

MISSWPN_7_NAME      | Пулсонске Ракете
MISSWPN_7_BRIEF     | 2 хица, +4 да погоди
MISSWPN_7_BRIEF2    | 5 хитаца, +4 да погоди
MISSWPN_7_DETAIL    | Моћне ракете опремљене анти-материјским бојевим главама које експлодирају наносећи 20 поена штете, крећу се брзином 4, и наводи их +4 рачунар за циљање.

MISSWPN_8_NAME      | Херкуларне Ракете
MISSWPN_8_BRIEF     | 2 хица, +5 да погоди
MISSWPN_8_BRIEF2    | 5 хитаца, +5 да погоди
MISSWPN_8_DETAIL    | Високо напредне ракете које експлодирају наносећи 25 поена штете. Херкуларне ракете се крећу брзином 4.5 и котролисане су +5 рачунаром за циљање.

MISSWPN_9_NAME      | Зеон Ракете
MISSWPN_9_BRIEF     | 2 хица, +6 да погоди
MISSWPN_9_BRIEF2    | 5 хитаца, +6 да погоди
MISSWPN_9_DETAIL    | Најнапредније доступне ракете. Способне да својом експлозијом нанесу 30 поена штете и крећу се брзином 5. Ракете наводи +6 рачунар за циљање.

MISSWPN_10_NAME      | Распрскавајуће X Ракете
MISSWPN_10_BRIEF     | 2 хица, Распрашује у 10
MISSWPN_10_BRIEF2    | 5 хитаца, Распрашује у 10
MISSWPN_10_DETAIL    | Касетне верзије Стингер Ракета, раздваја се у 10 одвојених бојевих глава од којих свака експлодира наносећи 15 поена штете, крећу се брзином 3.5, и наводи их +3 рачунар за циљање.


//
// Personal Shield techs for ground combat
//
// default "no shield" tech that each player starts with
PERSSHIELD_0_NAME     | 
PERSSHIELD_0_DETAIL   | 

PERSSHIELD_1_NAME     | Лични Дефлекторски Штит
PERSSHIELD_1_DETAIL   | Штити индивидуалне копнене трупе својим дирекционалним пољем силе. Додаје +10 на све борбе на тлу.

PERSSHIELD_2_NAME     | Лични Апсорпцијски Штит
PERSSHIELD_2_DETAIL   | Апсорбује штету нанету свим ручним оружјем. Додаје +20 на све борбе на тлу.

PERSSHIELD_3_NAME     | Лични Баријера Штит
PERSSHIELD_3_DETAIL   | Комплетно ограђује војника у готово непробојно поље силе. Додаје +30 на све борбе на тлу.


//
// Planetary Shield techs 
//
PLANETSHIELD_0_NAME    | Класа V Планетарни Штитови
PLANETSHIELD_0_DETAIL  | Апсорбује 5 поена штете свих напада против планетарне површине, додајући на постојећу заштиту дефлекторских штитова ракетних база.

PLANETSHIELD_1_NAME    | Класа X Планетарни Штитови
PLANETSHIELD_1_DETAIL  | Апсорбује 10 поена штете свих напада против планетарне површине, додајући на постојећу заштиту дефлекторских штитова ракетних база.

PLANETSHIELD_2_NAME    | Класа XV Планетарни Штитови
PLANETSHIELD_2_DETAIL  | Апсорбује 15 поена штете свих напада против планетарне површине, додајући на постојећу заштиту дефлекторских штитова ракетних база.

PLANETSHIELD_3_NAME    | Класа XX Планетарни Штитови
PLANETSHIELD_3_DETAIL  | Апсорбује 20 поена штете свих напада против планетарне површине, додајући на постојећу заштиту дефлекторских штитова ракетних база.


//
// Repulsor tech 
//
REPULSOR_0_NAME    | Одбијајући Зрак
REPULSOR_0_BRIEF   | Одбија непријатељске бродове назад 1 место
REPULSOR_0_DETAIL  | Одбија непријатељске бродове једно место уназад од одбрамбеног брода. Ово специјално оружје има домет један квадрат.


//
// Reserve Fuel tech 
//
RSRVFUEL_0_NAME    | Резервни Горивни Танкери
RSRVFUEL_0_BRIEF   | Повећава домет бродова за %1 светлосне године
RSRVFUEL_0_DETAIL  | Резервни горивни танкери повећавају домет бродова.


//
// Robotic Controls techs 
//
ROBOTCTRL_0_NAME     | Побољшана Контрола Фабрика III
ROBOTCTRL_0_DETAIL   | Дозвољава да се управља са 3 фабрике по становнику. Цена преправке да би се фабрике надоградиле је пола цене сваке фабрике.

ROBOTCTRL_1_NAME     | Побољшана Контрола Фабрика IV
ROBOTCTRL_1_DETAIL   | Дозвољава да се управља са 4 фабрике по становнику. Цена преправке да би се фабрике надоградиле је једнака стандардној цени сваке фабрике.

ROBOTCTRL_2_NAME     | Побољшана Контрола Фабрика V
ROBOTCTRL_2_DETAIL   | Дозвољава да се управља са 5 фабрике по становнику. Цена преправке да би се фабрике надоградиле је једна и по од цене сваке фабрике.

ROBOTCTRL_3_NAME     | Побољшана Контрола Фабрика VI
ROBOTCTRL_3_DETAIL   | Дозвољава да се управља са 6 фабрике по становнику. Цена преправке да би се фабрике надоградиле је дупло од цене сваке фабрике.

ROBOTCTRL_4_NAME     | Побољшана Контрола Фабрика VII
ROBOTCTRL_4_DETAIL   | Дозвољава да се управља са 7 фабрике по становнику. Цена преправке да би се фабрике надоградиле је два и по пута од цене сваке фабрике.


//
// Scanner techs 
//
SCANNER_0_NAME       | Борбени Скенер
SCANNER_0_BRIEF      | Скенира непријатељске бродове у борби
SCANNER_0_DETAIL     | Открива техничке спецификације непријатељских бродова у борби.

SCANNER_1_NAME       | Дубоки Свемирски Скенер
SCANNER_1_BRIEF      | Детектује бродове удаљене до 5 светлосних година
SCANNER_1_DETAIL     | Детектује непријатељске бродове удаљене до 5 светлосних година од ваших колонија и до 1 светлосну годину од ваших бродова.

SCANNER_2_NAME       | Побољшани Свемирски Скенер
SCANNER_2_BRIEF      | Детектује бродове и њихове дестинације дестинације удаљени до 7 светлосних година
SCANNER_2_DETAIL     | Детектује непријатељске бродове удаљене до 7 светлосних година од ваших колонија и до 2 светлосне године од ваших бродова. Могу се утврдити непријатељске дестинације.

SCANNER_3_NAME       | Напредни Свемирски Скенер
SCANNER_3_BRIEF      | Омогућава истраживање планета удаљених до 9 светлосних година  
SCANNER_3_DETAIL     | Омогућава истраживање планета из ваших колонија удаљених до 9 светлосних година и открива непријатељске бродове удаљене до 3 светлосне године од ваших бродова. 


//
// Ship Inertial techs 
//
SHIPINERTIAL_0_NAME     | Инерцијални Стабилизатор 
SHIPINERTIAL_0_BRIEF    | Додаје +2 маневарску способност
SHIPINERTIAL_0_DETAIL   | Смањује инерцију бродова, додајући 2 класе маневарске способности у борби (+2 одбрана и +1 борбена брзина).

SHIPINERTIAL_1_NAME     | Инерцијални Нулификатор
SHIPINERTIAL_1_BRIEF    | Додаје +4 маневарску способност
SHIPINERTIAL_1_DETAIL   | Негира инерцију бродова, додајући 4 класе маневарске способности у борби. Такође смањује ефекат напада Црном Рупом за -30%.


//
// Ship Inertial techs 
//
SHIPNULLIFIER_0_NAME     | Технолошки Нулификатор
SHIPNULLIFIER_0_BRIEF    | Уништава непријатељске рачунаре
SHIPNULLIFIER_0_DETAIL   | Компромитује непријатељске борбене рачунаре и ЕПМ, смањујући их за 2-6 нивоа по нападу. Његов домет премашује већину бродског наоружања.

SHIPNULLIFIER_1_NAME     | Расипач Хипербрзине
SHIPNULLIFIER_1_BRIEF    | Смањује брзину непријатељских бродова
SHIPNULLIFIER_1_DETAIL   | Расипачи Хипербрзине су оружја великог домета која ометају непријатељске бродове, смањујући њихову брзину сваким нападом.


//
// Ship Weapon techs 
//
SHIPWPN_0_NAME         | Ласер
SHIPWPN_0_ITEM2        | Тежак Ласер
SHIPWPN_0_DETAIL       | Оружје директне ватре које наноси 1-4 поена штете. Тешки ласери имају домет два квадрата и наносе 1-7 поена штете.

SHIPWPN_1_NAME         | Рафални Ласер
SHIPWPN_1_BRIEF        | Испаљује 4 пута/потезу
SHIPWPN_1_DETAIL       | Напредни ласер који испаљује до четири пута по потезу за 1-4 поена оштећења сваким хицем.

SHIPWPN_2_NAME         | Неутронска Сачмара
SHIPWPN_2_BRIEF        | Преполовљава Снагу Штитова
SHIPWPN_2_DETAIL       | Оружје са тешким честицама које преполовљава ефикасност непријатељских штитова и наноси 2 до 5 поена оштећења.

SHIPWPN_3_NAME         | Јонски Топ
SHIPWPN_3_ITEM2        | Тежак Јонски Топ
SHIPWPN_3_DETAIL       | Оружје високог интензитета које може нанети 3-8 поена оштећења. Тешки јонски топови погађају за 3-15 и имају домет два квадрата.

SHIPWPN_4_NAME         | Акцелератор Масе
SHIPWPN_4_BRIEF        | Преполовљава Снагу Штитова
SHIPWPN_4_DETAIL       | Линеарни акцелератор који преполовљава ефикасност непријатељских штитова и наноси 5-8 поена оштећења.

SHIPWPN_5_NAME         | Неутронски Бластер
SHIPWPN_5_ITEM2        | Тежак Неутронски Бластер
SHIPWPN_5_DETAIL       | Оружје велике моћи које може нанети 3-12 поена штете. Тешки неутронски бластери ударају за 3-24 поена и имају домет 2.

SHIPWPN_6_NAME         | Гравитонски Зрак
SHIPWPN_6_BRIEF        | Струјни Напад
SHIPWPN_6_DETAIL       | Сноп који великом брзином привлачи и одбија бродове, способан да разбије бродове у комадиће. Наноси 1-15 поена штете, и непрекидни струјни ефекат дозвољава да се оштећење пренесе на друге бродове.

SHIPWPN_7_NAME         | Тврди Зрак
SHIPWPN_7_BRIEF        | Преполовљава Снагу Штитова
SHIPWPN_7_DETAIL       | Енергија-у-материју зраковно оружје које преполовљава снагу непријатељских дефлекторских штитова, и наноси 8-12 поена оштећења.

SHIPWPN_8_NAME         | Фузиони Зрак
SHIPWPN_8_ITEM2        | Тежак Фузиони Зрак
SHIPWPN_8_DETAIL       | Оружје високог интензитета које може нанети 4-16 поена оштећења. Тешки фузиони зрак удара за 4-30 поена и има домет 2.

SHIPWPN_9_NAME         | Мегагром Топ
SHIPWPN_9_BRIEF        | +3 нивоа да погоди
SHIPWPN_9_DETAIL       | Ослобађа више снопова чисте енергије у широком пољу. Има +30% бонус шанси да погоди и задаје 2-20 поена оштећења.

SHIPWPN_10_NAME        | Фазор
SHIPWPN_10_ITEM2       | Тежак Фазор
SHIPWPN_10_DETAIL      | Оружје које користи фазну енергију способно да нанесе 5 до 20 поена оштећења. Тешки фазори ударају за 5-40 поена оштећења и имају домет од два квадрата.

SHIPWPN_11_NAME        | Ауто Бластер
SHIPWPN_11_BRIEF       | Испаљује 3 пута/потезу
SHIPWPN_11_DETAIL      | Напредни неутронски бластер који пуца до три пута по потезу за 4-16 поена оштећења по поготку.

SHIPWPN_12_NAME        | Тахионски Зрак
SHIPWPN_12_BRIEF       | Струјни Напад
SHIPWPN_12_DETAIL      | Испаљује интензивну струју честица тахиона који ударају непријатељске бродове за 1-25 поена. Ефекат континуираног струјања омогућава да се вишак оштећења пренесе на друге бродове.

SHIPWPN_13_NAME        | Гаус Аутомат
SHIPWPN_13_BRIEF       | 1/2 Штитови, Испаљује 4x
SHIPWPN_13_DETAIL      | Напредни линеарни акцелератор који може да испали 4 експлозивна метка по потезу од којих сваки наноси 7 до 10 поена оштећења. Ови пројектили такође преполовљавају ефикасност непријатељских штитова.

SHIPWPN_14_NAME        | Зрак Честица
SHIPWPN_14_BRIEF       | Преполовљава Снагу Штитова
SHIPWPN_14_DETAIL      | Убрзивачи честица високог интензитета способни су погодити непријатељске бродове за 10-20 поена оштећења и преполовити ефикасност дефлекторских штитова.

SHIPWPN_15_NAME        | Плазма Топ
SHIPWPN_15_DETAIL      | Пуца снажном енергијом која наноси 6-30 поена оштећења и домета 1.

SHIPWPN_16_NAME        | Зрак Смрти
SHIPWPN_16_DETAIL      | Древно оружје невероватно разорне моћи које наноси 200-1000 поена оштећења и има домет један квадрат.

SHIPWPN_17_NAME        | Реметник
SHIPWPN_17_DETAIL      | Ослобађа огромне гомиле чисте енергије које могу погодити непријатељске циљеве у домету до два квадрата за 10-40 поена оштећења.

SHIPWPN_18_NAME        | Пулсирајући Фазор
SHIPWPN_18_BRIEF       | Испаљује 3 пута/потезу
SHIPWPN_18_DETAIL      | Напредни фазор способан да испуца 3 рафала по потезу за 5-20 поена оштећења при сваком поготку.

SHIPWPN_19_NAME        | Три-фокусни Плазма Топ
SHIPWPN_19_DETAIL      | Испаљује тријаду плазма зрака високог интензитета који могу нанети 20 до 50 поена оштећења.

SHIPWPN_20_NAME        | Стеларни Конвертор
SHIPWPN_20_BRIEF       | Погађа Сва Четири Штита
SHIPWPN_20_DETAIL      | Окружује мету изузетно моћним пољем за претварање енергије у материју, наносећи четири напада од 10 до 35 поена. Има домет од 3 квадрата.

SHIPWPN_21_NAME        | Изобличујући Уређај
SHIPWPN_21_DETAIL      | Ослобађа огромне количине усредсређене енергије на непријатељске циљеве, наносећи 20-100 поена штете.

SHIPWPN_22_NAME        | Амеба Ток
SHIPWPN_22_DETAIL      | Ток који наноси 250-1000 поена оштећења и има домет од 3 квадрата. Његов континуирани ефекат струјања омогућава му да преноси штету са једног брода на други.

SHIPWPN_23_NAME        | Сноп Кристала
SHIPWPN_23_DETAIL      | Сноп који окружује штитове мете, испоручујући 4 напада са по 100-300 поена оштећења. Има домет од 3 квадрата.


//
// Soil Enrichment techs
//
SOILENRICH_0_NAME     | Обогаћивање Земљишта
SOILENRICH_0_DETAIL   | Претвара стандардне планете у плодно окружење, повећавајући раст становништва за 50% и повећавајући базну планетарну величину за +25% по једнократним трошковима од 150 МК.

SOILENRICH_1_NAME     | Напредно Обогаћивање Земљишта
SOILENRICH_1_DETAIL   | Претвара стандардне и плодне планете у рајске, удвостручујући раст становништва и повећавајући базну величину планете за +50% по једнократним трошковима од 300 МК.


//
// Stargate tech
//
STARGATE_0_NAME      | Интергалактичке Звездане Капије
STARGATE_0_DETAIL    | Омогућава вашим бродовима да се крећу између било које две планете опремљене Звезданим Капијама у само једном потезу. Изградња кошта 3000 МК.


//
// Stasis Field tech
//
STASIS_0_NAME      | Поље Застоја
STASIS_0_BRIEF     | Непријатељ замрзнут на 1 потез
STASIS_0_DETAIL    | Замрзава једну групу непријатељских бродова, удаљену до једног места, на један потез. Смрзнути бродови не могу напасти нити бити нападнути.


//
// Stream Weapon techs
//
STREAMWPN_0_NAME    | Пројектор Јонског Снопа
STREAMWPN_0_BRIEF   | Смањује непријатељски оклоп за 20%
STREAMWPN_0_DETAIL  | Испушта снажну јонску експлозију, смањујући оклоп сваке мете у противничкој групи за 20% плус 1% на 2 брода који испаљују сноп, смањујући максимално до 50% од почетних поена трупа.

STREAMWPN_1_NAME    | Пројектор Неутронског Снопа
STREAMWPN_1_BRIEF   | Смањује непријатељски оклоп за 40%
STREAMWPN_1_DETAIL  | Испаљује сноп концентрисаних неутрина, смањујући оклоп сваке мете у противничкој групи за 40% плус 1% по броду који испаљује сноп, смањујући максимално до 75% од почетних поена трупа.


//
// Subspace Interdictor tech
//
SUBSPACEINT_0_NAME    | Под-Просторни Ометач
SUBSPACEINT_0_DETAIL  | Спречава употребу непријатељских Под-Просторних Телепорта и борбених транспортера. Уређај се аутоматски уграђује у ракетне базе.


//
// Subspace Teleporter tech
//
SUBSPACETEL_0_NAME    | Под-Просторни Телепорт
SUBSPACETEL_0_BRIEF   | Телепортује бродове у борби
SUBSPACETEL_0_DETAIL  | Телепортује броде у било које место на борбеној мапи и пре него што се активира иницијатива других бродова.


//
// Ship Torpedo Weapon techs
//
TORPEDO_0_NAME        | Анти-Материјски Торпедо
TORPEDO_0_BRIEF       | Испаљује једном у 2 потеза
TORPEDO_0_DETAIL      | Високо енергетска пратећа Торпеда која наносе 30 поена штете, али се могу испалити само при сваком другом потезу. Сваки торпедо је опремљен +4 нивоа рачунаром за циљање.

TORPEDO_1_NAME        | Паклени Торпедо
TORPEDO_1_BRIEF       | Погађа сва четири штита
TORPEDO_1_DETAIL      | Обмотавајућа енергетска торпеда која истовремено погађају све штитове. Крећу се брзином 5, наводе се +6 нивоа рачунаром за циљање, наносећи штету једнаку четири напада од 25 поена.

TORPEDO_2_NAME        | Протонски Торпедо
TORPEDO_2_BRIEF       | Испаљује једном у 2 потеза
